Compound Id	BCUT [BCUTp-1l]
692	2.1249
6153	1.7782
127983	1.6090
291	2.612
21106179	1.8259
16425	4.2198
23208	1.1503
6105	1.8732
11148	1.9204
274	1.9476
6086	2.8285
9256	2.4214
923	2.2776
937	1.4380
6085	3.6910
217	2.2510
9484	2.4772
22814	1.161
22408	1.161
9286	2.4673
12577	2.4444
6084	3.7595
6128	2.5228
9243	2.5692
62827	2.7727
6132	2.8649
391	3.974
38403	2.5634
1087	4.0756
16641	2.6250
7954	4.4661
864	2.6664
11153	2.9108
748	2.3345
6095	3.7672
6094	4.4795
518	N/A
16841	2.9435
6148	3.5008
2056044	2.8904
6151	3.8460
6087	3.9674
9095782	3.4152
4514529	2.73
10675065	2.9535
21106169	2.5949
172	2.8040
763	1.7985
7956	3.6687
7577	2.7666
6089	3.4588
6111	4.64
29040	3.2327
10606755	2.8637
6098	4.7850
6120	5.1173
13837650	5.0980
13853215	3.9402
61149	2.9077
12197	4.1660
682	3.3125
61346	3.0134
7558	4.0816
7556	4.7995
454215	3.2555
7557	4.8872
278	2.4522
7957	5.1705
654	4.3045
9461	2.8518
6130	3.8917
7555	4.7999
11727	2.7981
1114	4.9481
14441700	3.8110
8960	3.231
6083	5.1244
454209	3.4659
56442	4.9666
6101	4.1372
6097	4.6162
175	3.4865
4449912	4.9666
6102	3.0875
9016	3.4502
7559	3.2140
2018165	3.0053
7733	4.5951
3644	3.9457
6156	4.6851
512	3.1278
171	3.0930
9646	5.7491
9254	3.9670
7734	2.9238
9411	2.9112
13835550	4.3987
6135	2.6442
13837190	3.9636
10325078	3.7217
7732	4.6025
6335	3.4074
7738	4.9345
14829	4.5252
4481813	3.3339
10765	5.1585
71390	4.4711
6149	4.8711
13872989	3.7145
9391	2.9092
6146	4.5764
3631	2.8210
6121	5.2450
61213	3.6405
3441	3.7445
11099	5.0061
11806	4.2388
6308	5.1174
3168	4.5595
6104	4.9577
1004	3.6296
66567	3.1835
1039	6.2047
7713	4.9626
73583	3.7653
6103	5.3727
7566	3.4266
9994	4.2672
10709	4.1662
6309	5.2169
6088	7.4144
13299573	3.1580
13836674	5.0074
13835316	5.7690
6092	5.4183
14694	3.9860
6313	3.4481
11230	5.0432
7564	4.4411
7616	3.6067
2062437	3.5651
7712	4.9588
4483639	5.0542
10437	4.9306
30713	4.0088
2282428	4.2563
6188	4.4560
4483638	5.0542
7330	6.2926
12442	3.3414
7546	4.4848
9251	4.2759
18971812	3.9321
71433	4.9001
10113	5.2911
11755	3.0810
7790	4.5498
107412	3.0298
56144	4.0027
56020	5.0857
13835977	4.5262
256	3.3173
10054	5.8737
1005	3.4074
553742	5.2662
558883	5.0857
99596	4.3008
6333	3.4917
6321	3.8009
23055	4.8396
8525	3.5646
6125	5.5933
4514586	3.887
11526	3.3282
6322	3.8852
6320	4.2674
13836549	3.7594
6163	5.4337
62826	3.1750
6108	6.6222
11729	5.6871
14672	4.6442
6118	6.0491
7730	4.8742
11756	2.7223
8544	6.2215
23255	5.0751
6312	3.9457
6338	2.9586
12201	5.1585
62597	3.8380
8329688	3.9298
13837797	4.8919
10653	3.7217
13835336	3.5967
7782	3.0024
21106015	3.8053
7727	4.1448
558928	5.2662
6093	5.5384
693	2.7620
11110	5.0653
6311	3.82
8896	6.0910
5977	5.9384
7728	3.5991
2340753	4.2756
6340	5.7491
9253	4.4756
7626	5.3539
7604	5.1174
7553	5.3080
12209	4.2409
394562	3.4017
10325184	4.5683
83734	4.5025
6315	5.2932
7627	3.7217
7717	3.5924
387	3.2730
60524	3.6542
11109	5.0436
63631	5.5810
6100	6.5665
13866746	3.7701
7010	5.2756
14998	4.6247
12446	5.1630
7560	5.2412
258	3.7877
10053	6.6789
124968	3.4996
7716	4.6088
7552	5.2680
7737	5.0170
10571	4.0361
17619	3.7781
11809	3.8755
13836713	5.2814
13836589	4.1460
11833	4.2464
13835235	3.4312
7767	5.0381
7030	3.2315
13836021	3.7456
10124	5.8886
59573	4.0818
10777	4.1152
6341	3.7217
10018	4.8829
558020	3.5832
12626	3.8955
13836591	3.6689
11996	4.8790
6165	4.8961
7714	5.0470
13862665	3.6642
6042	6.5713
7630	3.6038
259	3.5646
7607	3.9581
5894	2.8572
21108550	3.8325
7772	3.3959
21111806	3.8268
236	6.0934
