Compound Id	FragmentComplexity
692	1.01
6153	4.04
127983	1.02
291	0.0
21106179	3.03
16425	6.07
23208	2.03
6105	2.02
11148	1.01
274	2.02
6086	1.0
9256	6.05
923	2.03
937	0.01
6085	1.0
217	0.01
9484	4.03
22814	0.01
22408	0.01
9286	5.04
12577	5.04
6084	1.0
6128	3.02
9243	2.01
62827	7.05
6132	3.03
391	0.01
38403	9.07
1087	2.03
16641	2.03
7954	2.0
864	1.01
11153	2.02
748	1.01
6095	2.0
6094	2.0
518	0.01
16841	6.05
6148	4.03
2056044	11.08
6151	4.04
6087	1.01
9095782	7.04
4514529	0.01
10675065	8.05
21106169	5.04
172	2.01
763	1.02
7956	2.01
7577	3.02
6089	1.01
6111	3.0
29040	6.05
10606755	9.07
6098	2.01
6120	3.0
13837650	3.02
13853215	7.06
61149	11.08
12197	3.0
682	2.01
61346	8.06
7558	3.0
7556	3.0
454215	6.05
7557	3.0
278	2.02
7957	3.0
654	2.01
9461	7.04
6130	3.03
7555	3.0
11727	3.02
1114	3.01
14441700	5.03
8960	1.02
6083	1.01
454209	5.02
56442	3.0
6101	2.01
6097	2.01
175	3.01
4449912	3.0
6102	2.01
9016	6.05
7559	3.01
2018165	4.03
7733	4.01
3644	3.01
6156	4.01
512	3.01
171	3.02
9646	4.0
9254	6.05
7734	4.02
9411	8.05
13835550	3.02
6135	3.03
13837190	4.02
10325078	7.06
7732	4.01
6335	4.02
7738	5.01
14829	4.03
4481813	3.02
10765	4.0
71390	3.03
6149	4.04
13872989	3.01
9391	6.04
6146	4.01
3631	9.07
6121	3.01
61213	5.03
3441	6.05
11099	4.0
11806	4.0
6308	4.0
3168	4.01
6104	2.02
1004	3.01
66567	10.07
1039	2.01
7713	4.0
73583	7.05
6103	2.01
7566	3.01
9994	4.01
10709	4.01
6309	4.0
6088	1.01
13299573	8.06
13836674	3.01
13835316	3.02
6092	2.01
14694	5.04
6313	4.01
11230	4.01
7564	3.01
7616	5.02
2062437	6.04
7712	4.0
4483639	4.0
10437	3.01
30713	5.04
2282428	6.05
6188	7.06
4483638	4.0
7330	5.0
12442	3.02
7546	5.01
9251	6.05
18971812	7.04
71433	5.01
10113	4.0
11755	5.02
7790	6.03
107412	7.05
56144	9.07
56020	4.0
13835977	3.01
256	4.01
10054	4.01
1005	4.02
553742	4.02
558883	4.0
99596	6.04
6333	4.02
6321	4.01
23055	5.03
8525	5.02
6125	3.02
4514586	0.01
11526	5.03
6322	4.01
6320	4.01
13836549	12.06
6163	5.0
62826	7.05
6108	2.02
11729	3.01
14672	5.01
6118	3.01
7730	4.01
11756	5.04
8544	5.0
23255	4.01
6312	4.01
6338	4.03
12201	5.0
62597	4.01
8329688	5.03
13837797	6.01
10653	5.02
13835336	3.02
7782	5.02
21106015	3.02
7727	4.02
558928	4.02
6093	2.02
693	2.02
11110	5.0
6311	4.01
8896	5.0
5977	3.03
7728	4.02
2340753	5.04
6340	5.0
9253	6.05
7626	6.01
7604	5.0
7553	3.01
12209	5.0
394562	4.01
10325184	5.04
83734	6.05
6315	4.01
7627	6.02
7717	4.01
387	5.03
60524	4.02
11109	5.0
63631	5.01
6100	2.01
13866746	11.05
7010	5.0
14998	6.02
12446	5.0
7560	3.01
258	4.01
10053	4.01
124968	7.03
7716	4.01
7552	3.01
7737	5.01
10571	6.02
17619	6.03
11809	4.02
13836713	3.01
13836589	5.02
11833	5.01
13835235	3.02
7767	5.0
7030	6.03
13836021	4.02
10124	5.0
59573	6.03
10777	5.01
6341	5.02
10018	6.02
558020	7.03
12626	5.01
13836591	5.02
11996	6.01
6165	5.01
7714	4.01
13862665	6.02
6042	4.03
7630	6.03
259	5.02
7607	5.01
5894	4.03
21108550	8.02
7772	5.01
21111806	8.02
236	6.0
9614	7.01
62808	7.03
10492	6.02
7736	5.01
11055	6.0
10446	7.02
7463	6.02
7619	6.0
7016	5.01
13871721	4.01
7739	5.01
7706	6.02
7028	6.01
5730	4.04
6316	4.02
8903	6.02
24590970	6.04
21011	5.01
9325	8.02
415	4.02
55090	5.01
10947	5.01
10772140	4.03
28994	3.02
13839553	4.02
3973	7.05
71312	6.05
3951	5.02
592	5.03
8904	6.02
8899	5.02
60329	5.02
6406	6.02
2916	2.02
2293678	6.05
6119	3.03
29015	6.02
11680	6.02
7624	6.01
7615	5.03
7090	10.03
6122	3.01
7024	6.0
55188	6.01
11117	6.0
13835224	4.02
6176	6.01
62249	7.02
13803	7.04
10755	6.0
9377	6.01
15077490	6.05
7823	6.01
11125	6.02
6307	4.01
7787	6.0
6334	4.02
13255	7.01
109838	6.02
11849	6.01
173	3.02
66656	7.03
13837280	4.03
11845	6.0
11094	6.0
13854944	5.02
29000	5.01
8398	5.01
10791	6.01
8733	4.02
10786	6.0
8554	6.01
92731	8.06
7788	6.0
9233	4.01
1020	6.01
11992	7.02
6187	7.06
8158	6.01
11023	6.0
11731	3.02
11207996	7.02
1609	5.02
7721	4.01
1095	5.01
11121	6.0
10498	4.02
7065	7.02
7791	6.01
109705	18.09
7636	7.03
7621	6.01
11551	6.0
13835836	7.02
7711	4.01
8543	4.02
6040	5.01
10445	7.0
11351244	22.0
7770	5.01
23150	8.03
12161	8.05
13874867	7.03
31029	3.01
4444456	5.02
7769	5.01
18607	4.01
10001	6.02
7747	7.02
10788	6.01
23621376	5.03
5993	4.02
8560	6.0
555074	6.0
10437074	7.03
13861343	6.06
7705	6.02
8141	6.01
10512	5.01
11180	6.01
7701	6.02
62589	7.01
7686	7.01
5439	5.03
11056	6.01
7026	6.01
66675	7.02
2005981	3.03
7622	6.01
7684	7.02
8900	5.03
11025	6.01
7475	7.02
59674	5.01
21171407	3.01
11095	6.01
13837537	6.02
10614293	7.0
6326	4.03
56117	8.03
7466	6.03
29036	3.03
7761	7.02
21168808	6.01
11104	7.0
16778	6.02
13835376	7.02
127750	7.02
10790	6.01
2018460	7.05
68503	8.04
13863629	7.02
7674	7.0
1143	3.03
1108	7.0
7029	6.02
29001	6.02
11788	7.01
11732	6.01
7688	7.02
7515	7.02
11794	6.01
13836520	8.02
11678	6.01
2038738	8.03
8562	6.01
29012	7.02
21106535	5.03
13875283	8.01
13867413	6.03
13837702	5.02
5949	6.01
71089	7.02
7551	3.02
11706	7.02
66996	7.03
61487	5.01
10797	7.01
26325086	9.03
7478	7.03
11799	6.03
13839199	7.01
13835459	6.02
11793	6.01
10534	7.0
9326	8.02
63863	8.05
659	3.02
7459	6.01
10787	6.01
12228	7.01
18688	8.02
10795	7.0
55130	8.02
11086	7.0
11841	8.01
12012	7.02
4489	8.02
48024	7.02
11024	6.01
512621	8.03
66655	9.03
21106032	5.02
6330	4.02
11035	7.0
13439	8.0
7021	5.03
7018	5.03
120464	6.01
11864	7.0
4444608	6.01
10948	5.02
11761	6.01
12229	7.02
24099	5.02
22453	8.02
12499	12.06
7833	7.0
7657	8.02
7013	5.03
13837281	5.04
5708	6.03
7703	6.02
4512642	7.0
4516601	7.0
11244	5.03
4516599	7.0
11846	6.01
7812	6.01
10652594	15.1
7766	5.01
844	6.04
13816	5.02
19953955	6.03
7776	5.01
1141	8.04
11857	7.0
66021	7.03
10497	4.01
70715	7.03
21106520	7.01
66809	8.02
10452	12.06
10433	8.02
29107	5.02
10265264	44.0
13874733	7.01
11911	5.04
7811	6.01
13836399	7.02
7676	7.01
7064	7.02
349	7.0
10488	7.02
4514549	0.01
11193	7.02
4512361	7.0
11739	7.01
8552	7.02
8908	7.0
28986	7.01
10526	6.01
17443	8.03
68832	7.02
21800	44.0
10179173	44.0
81815	8.06
29016	8.02
7003	8.02
59447	7.02
13839109	8.03
13865426	8.03
7678	7.01
13842613	8.01
71430	9.03
7760	7.01
971	7.01
10420	8.02
11695	7.03
12643	7.01
7219	8.0
11784	7.02
7482	8.02
13838404	3.03
7679	7.01
15443	8.01
11434292	11.05
65936	8.03
13835209	5.02
7677	7.01
6342	5.04
15438	8.0
1348	6.02
11216	7.01
68328	10.03
4517338	5.03
11194	7.01
11819	7.01
13402	8.0
20843	8.02
55091	6.05
10487	7.01
15954	7.01
11045	8.02
11210	7.01
7521	8.0
7641	8.0
11543	7.01
13638	8.01
11752	5.02
7242	8.01
11843	8.02
7530	8.02
15765	44.0
10101	7.05
16791	7.0
11029	7.01
9633	8.01
28992	8.02
18717	7.01
6106	2.02
99440	7.01
7838	7.01
120621	6.02
9581	9.02
15413	10.04
7710	4.02
7536	8.02
7689	7.02
10710415	8.03
14751	8.0
7073	9.02
24533	8.02
7238	8.01
13835293	6.02
13866593	6.02
13875196	9.02
120489	8.03
10197150	7.04
374462	6.02
13839575	8.03
8569	8.01
11600	8.02
5889	7.01
191367	7.03
6967	8.0
192642	6.02
1078	7.04
23101	12.05
17558	8.0
55123	8.02
68179	8.02
733	5.03
11042	8.01
21132380	8.01
9349	8.02
73412	5.02
235	8.01
7827	6.01
68156	6.02
773	5.02
17880	8.0
20119	6.02
70714	7.03
7225	8.02
7786	5.02
7224	8.01
13448	9.0
7673	7.01
10940	8.01
10939	8.01
13842993	7.04
29025	8.0
1664	7.02
7128	9.0
455420	8.01
11866	7.01
21105905	8.01
10772050	6.05
26765	6.02
7681	7.01
7837	7.01
553642	8.0
21106560	8.01
11830	5.01
7810	6.01
7815	6.01
13842001	7.02
21169510	8.05
11930	7.03
10437135	9.03
7835	7.01
19956441	7.03
78	8.02
67991	8.05
455353	8.02
13875281	8.01
2039535	9.03
13837686	8.02
7240	8.01
123993	8.01
7849	8.0
7803	8.02
11783	7.02
13839441	6.02
18219	4.03
83866	44.02
13875160	8.01
11865	7.01
11077	8.01
21106586	9.03
13835772	8.01
83850	44.02
7221	8.01
11699	8.03
7385	9.0
7391	9.01
7670	9.01
13860335	8.01
19231	8.03
29005	9.02
7443	9.03
22191	8.02
7802	8.01
7389	9.02
7241	8.02
6179	6.05
7694	9.02
24972	9.02
62489	8.02
6286	9.04
7528	8.02
11660	9.0
62230	8.01
8568	9.02
7129	9.0
69371	8.03
10784857	18.12
21105871	8.01
13839082	8.01
63889	8.03
21109330	7.02
10937	8.01
7236	8.02
1577	6.04
122090	13.05
8909	8.0
11716	9.02
12231	8.02
10384035	9.03
6270	12.05
156255	7.02
7659	9.0
11409	9.0
6402	31.0
11919	8.01
7856	8.01
13257	8.02
21106036	11.05
13840690	8.01
7765	5.02
7538	9.02
71787	7.04
441	8.01
2606	6.05
11795	6.02
6287	10.05
14692	9.0
7223	8.01
7685	7.02
123860	9.02
7672	7.01
9970	8.01
13857694	8.02
16159	6.03
7088	10.0
28969	10.02
12069	8.03
11265	8.03
13648	9.02
13876539	9.01
7533	8.01
7131	9.01
7434	8.01
13866817	8.02
6977	9.0
13854136	8.01
447	9.02
13837760	8.02
13835151	8.01
191	9.04
7234	8.01
71628	8.02
7132	9.01
11087	7.01
18801	7.02
13837988	8.02
10696	16.08
76894	14.07
12456	9.0
12445	7.02
69569	12.07
12809	9.0
7138	9.03
10236	9.0
13863618	9.02
4446445	8.01
3954	6.05
55205	7.02
11021	9.01
14198	31.0
29026	8.01
5976	9.05
13875258	8.01
9903	28.0
7183	10.0
21181	7.02
13839416	7.02
7851	8.01
18410	10.0
13865680	9.01
21112023	10.02
503239	9.03
4878	8.02
932	8.01
12010	6.01
63908	9.03
5830	9.01
13839308	9.01
14680	7.01
28682	9.03
14169248	8.03
63310	10.04
11671339	15.06
391428	79.0
122446	7.02
238	9.02
7239	8.01
11863	7.01
2041618	15.07
13851576	8.01
13854248	8.02
10437215	10.03
8070	10.02
370	9.02
455090	9.03
11632	8.03
14840	9.0
2656	34.01
78828	14.05
10422	9.03
20939	10.0
69914	15.06
9976	9.01
73479	10.03
924	9.01
6883	10.02
5979	7.06
577	8.04
13658	10.02
21106366	10.01
7419	10.0
14299946	16.09
331	10.03
7448	10.0
7509	10.02
12632	9.01
61001	13.04
28982	9.01
11604	9.01
62534	10.02
62408	10.02
123207	8.03
75951	9.02
13837787	10.04
13839123	9.01
59483	12.06
18724	10.01
7850	8.01
13875432	8.02
8665	9.02
13839128	9.01
13875219	8.02
456015	8.03
55084	10.02
6974	8.02
8657	9.02
13849981	10.01
26824	16.07
72793	9.02
21106014	9.02
6296	10.01
14256731	13.03
13860775	9.02
7140	10.02
13869339	8.02
13647	9.03
764	8.02
7800	10.02
8071	10.03
13835932	7.04
7809	6.02
4449	8.02
13839110	9.01
29029	9.01
21106525	9.01
7142	10.03
132	10.03
12220	10.01
20570	9.02
21106144	10.03
7190	10.02
8140	9.03
13869451	8.02
15461	11.0
76394	9.03
7518	8.02
8520	16.07
8883	54.0
6079	10.03
2931	10.07
10536	8.01
25552	10.02
13848808	11.03
10181341	10.02
10328	8.02
15846	9.01
5596	8.02
4962	9.02
13869462	9.01
11871	7.02
10265270	79.0
222538	10.04
768	31.05
2849146	10.04
8674	10.02
13869480	9.02
12635	10.0
65523	10.04
6999	10.0
2441	34.01
7662	9.03
13856352	9.01
7506	10.01
6897	11.02
8186	10.01
15431	9.01
58234	34.01
21106146	10.03
15387	9.01
8574	9.01
1015	28.04
26325090	9.03
13842573	8.02
9564	9.02
221226	10.03
8912	12.04
7848	8.01
13875441	8.02
13863774	10.03
13871718	10.01
10179239	79.0
10227261	15.04
776	28.01
906	31.0
21168813	10.01
4366810	10.03
7170	12.0
12821	9.02
13619	10.0
392	8.02
8097	31.0
299166	10.03
21106013	10.04
13869414	9.02
21111817	9.02
7511	11.02
24641	10.02
21106020	10.04
17131	13.04
10756	11.01
7984	8.04
10404	11.0
13853953	10.04
12218	10.01
21105897	12.03
13862559	9.03
5593	28.02
123	9.02
11773	10.02
13846663	11.01
10451	20.1
7852	8.01
7872	11.02
13662	10.05
12637	11.04
376	10.04
6780	31.01
6794	11.01
21106018	9.02
72551	10.02
15427	10.01
13859497	34.03
11576	11.02
6635	9.06
21111781	10.02
11080	8.02
13835630	9.04
105291	9.06
14846	11.02
13868640	8.02
21105859	10.02
11862	7.02
8910	10.0
14227	10.02
10437210	10.04
11589	11.02
64699	8.06
8098	31.01
589165	10.03
6781	11.04
12933	13.05
13853758	10.01
9893	11.01
6621	31.02
558878	10.01
8855	31.02
10980	10.03
206561	11.04
15855	34.01
13835126	10.02
5882	12.05
13864445	9.03
21170967	11.04
12478	9.02
21105870	10.01
13229	10.03
13849989	10.01
24535	11.02
18019	20.09
73390	11.04
6674	10.03
11591	11.03
67360	10.01
553578	10.01
10437335	11.04
14593	10.05
10432	8.02
7745	7.04
21159695	10.01
7891	11.0
10972	10.03
11557190	18.07
8183	12.05
12219	9.01
880	10.02
1446	11.04
2923	10.03
6775	10.02
12954	10.03
8576	10.01
21105848	11.03
68109	16.09
7882	10.01
120548	10.03
10181339	11.02
6788	34.0
13853943	10.04
11672	10.02
57726	59.01
10892	11.03
6898	12.02
1905	9.06
21106470	31.02
6950	28.03
13860434	11.03
12972	11.01
21106148	11.04
10664	10.04
7890	11.0
71876	12.02
7176	11.03
15965	12.02
67653	9.02
13487	12.0
9088156	15.06
7871	11.01
68224	20.08
18	11.04
4511751	13.07
10181338	11.03
10756390	20.08
84971	31.05
388391	31.05
13871489	13.06
11629	11.03
2241	9.02
21106519	11.01
11460	10.02
7189	10.02
8521	20.09
13876103	12.02
11510	9.03
14349	9.01
7211	12.06
2937774	12.04
11584	11.03
21105998	11.01
6736	34.0
4963	10.03
6789	34.01
6737	34.01
59482	12.01
81814	15.06
14021447	22.09
71	11.04
80863	64.02
955	10.04
7145	10.04
917	37.02
3350	11.04
10616	12.05
7172	12.06
10257	12.06
953	10.03
1151	34.06
21106571	10.04
6827	37.0
11422	11.02
21106163	10.04
10025	11.04
13835344	11.02
15853	11.01
21106140	13.02
10801109	14.05
86394	12.05
21106145	12.04
62310	13.03
13835706	14.06
7092	10.04
1448	13.07
8182	12.04
21106518	10.02
10437239	10.06
13848793	34.02
68676	12.04
16180	12.0
7600	11.02
13846959	10.04
6773	13.04
7340	12.01
13837329	14.04
21106581	12.04
16475	11.04
7146	11.04
185	31.05
6828	37.0
11488212	11.03
6646	54.05
10801842	9.03
16387	15.06
11586	13.05
62472	13.05
16388	15.06
21108576	10.02
6480	31.01
23083	13.03
10628694	31.04
7892	11.01
71437	59.01
5644	11.08
10909	37.0
10918	37.0
8935	64.02
4510206	9.05
7757	13.02
13846749	12.03
2298886	13.07
6550	34.03
8341	34.01
7208	12.04
11882	12.0
4611	12.02
13835351	13.04
8374	13.02
70682	9.02
13492	13.0
13677	37.0
6739	34.01
17347	10.03
7875	13.02
11777	9.03
7310	12.03
11465	11.02
2157	13.04
8150	13.06
7302	40.01
7202	11.04
7042	13.06
6035	11.02
11776	9.03
10908	37.0
10850	37.0
556589	12.02
7299	40.0
8577	10.01
21106900	12.03
17652	8.04
5915	10.03
10106	13.05
63518	13.01
17868	37.02
6706	11.04
10851	37.0
11588	10.03
79969	13.02
6675	10.03
71193	11.04
2206	13.05
13867714	37.02
4445317	14.01
10849	37.0
11595	12.03
1906	11.03
6193	13.06
67270	11.04
16177	12.01
6033	11.04
6478	64.0
15517	37.03
10841	37.0
13574	11.07
8319	34.01
7964	12.06
15789876	19.05
21105699	37.02
13622	13.0
10829	37.0
11507	9.03
7585	16.09
6790	34.01
15495	14.03
13860	9.02
10831	37.0
56515	46.06
20124	34.02
744	34.06
10343	14.07
218253	40.01
454319	61.42
76154	12.04
33084	9.04
67414	18.06
220998	12.03
15867	17.08
7901	12.01
14627	34.02
21106570	11.05
10449	24.12
10813	37.0
199342	15.01
15755	37.02
15702	16.06
62484	11.03
4522053	13.07
8273	40.03
11883	13.0
8262	40.03
642951	14.06
15747	14.0
15524	37.02
13837303	16.04
305	12.07
230	64.06
14995	37.02
10733068	25.1
256210	34.02
33421	43.02
67470	37.02
33416	15.05
14994	37.02
15756	37.02
12938	11.06
6588	40.03
15475	37.02
7279	12.03
23886	43.02
14472	8.04
15476	37.02
42330	14.05
2991	43.01
12682	40.0
4762	14.03
361	12.05
6592	69.0
11884	13.01
15488	40.01
15478	37.02
21106573	13.07
11003	40.01
15489	40.01
15861	40.0
7155	15.08
64155	13.03
2627	14.04
24142	14.0
8073	16.09
44152	14.05
26325080	26.11
8916	13.06
4267	12.09
33455	43.02
15619	40.0
96749	93.06
18336	13.04
5236	40.06
440	11.06
2973	11.07
3173	12.05
2185	43.02
1361549	15.01
7915	13.01
30600	43.02
1438	10.04
15477	37.02
10437836	13.06
8120	14.05
26010	43.02
7152	12.06
13846658	40.01
8470	13.04
3544	15.02
15621	40.0
33934	43.02
7913	15.02
7994	13.08
2468	49.04
6840	74.01
12133	14.06
11632871	16.05
34863	46.03
63968	40.02
