Compound Id	MannholdLogP
692	1.46
6153	1.130
127983	1.24
291	1.57
21106179	1.24
16425	0.69
23208	1.13
6105	1.35
11148	1.46
274	1.35
6086	1.68
9256	1.13
923	1.13
937	1.350
6085	1.68
217	1.350
9484	1.350
22814	1.350
22408	1.350
9286	1.24
12577	1.24
6084	1.68
6128	1.46
9243	1.570
62827	1.24
6132	1.24
391	1.350
38403	1.02
1087	1.13
16641	1.13
7954	1.79
864	1.46
11153	1.35
748	1.46
6095	1.79
6094	1.79
518	1.350
16841	1.13
6148	1.350
2056044	1.02
6151	1.130
6087	1.46
9095782	1.46
4514529	1.350
10675065	1.350
21106169	1.24
172	1.570
763	1.24
7956	1.570
7577	1.46
6089	1.46
6111	1.79
29040	1.13
10606755	1.02
6098	1.570
6120	1.9
13837650	1.46
13853215	1.02
61149	1.02
12197	1.9
682	1.570
61346	1.13
7558	1.9
7556	1.9
454215	1.13
7557	1.9
278	1.35
7957	1.9
654	1.570
9461	1.46
6130	1.24
7555	1.9
11727	1.46
1114	1.68
14441700	1.46
8960	1.24
6083	1.46
454209	1.68
56442	1.9
6101	1.570
6097	1.570
175	1.68
4449912	1.9
6102	1.570
9016	1.13
7559	1.68
2018165	1.350
7733	1.790
3644	1.68
6156	1.790
512	1.68
171	1.46
9646	2.01
9254	1.13
7734	1.57
9411	1.350
13835550	1.46
6135	1.24
13837190	1.57
10325078	1.02
7732	1.790
6335	1.57
7738	1.790
14829	1.350
4481813	1.46
10765	2.01
71390	1.24
6149	1.130
13872989	1.68
9391	1.35
6146	1.790
3631	1.02
6121	1.68
61213	1.46
3441	1.13
11099	2.01
11806	2.01
6308	2.01
3168	1.790
6104	1.35
1004	1.68
66567	1.13
1039	1.570
7713	2.01
73583	1.24
6103	1.570
7566	1.68
9994	1.68
10709	1.790
6309	2.01
6088	1.46
13299573	1.13
13836674	1.68
13835316	1.46
6092	1.570
14694	1.24
6313	1.790
11230	1.790
7564	1.68
7616	1.68
2062437	1.35
7712	2.01
4483639	2.01
10437	1.68
30713	1.24
2282428	1.13
6188	1.02
4483638	2.01
7330	2.01
12442	1.46
7546	1.790
9251	1.13
18971812	1.46
71433	1.9
10113	2.01
11755	1.68
7790	1.46
107412	1.24
56144	1.02
56020	2.01
13835977	1.68
256	1.790
10054	1.790
1005	1.57
553742	1.46
558883	2.01
99596	1.35
6333	1.57
6321	1.790
23055	1.46
8525	1.68
6125	1.46
4514586	1.350
11526	1.46
6322	1.790
6320	1.790
13836549	1.46
6163	2.12
62826	1.24
6108	1.35
11729	1.68
14672	1.9
6118	1.68
7730	1.790
11756	1.24
8544	2.01
23255	1.790
6312	1.790
6338	1.350
12201	2.12
62597	1.790
8329688	1.46
13837797	2.010
10653	1.68
13835336	1.46
7782	1.68
21106015	1.46
7727	1.57
558928	1.46
6093	1.35
693	1.35
11110	2.12
6311	1.790
8896	2.01
5977	1.24
7728	1.57
2340753	1.24
6340	2.12
9253	1.13
7626	2.010
7604	2.12
7553	1.68
12209	2.12
394562	1.790
10325184	1.24
83734	1.13
6315	1.790
7627	1.790
7717	1.790
387	1.46
60524	1.57
11109	2.12
63631	1.9
6100	1.570
13866746	1.57
7010	2.12
14998	1.790
12446	2.12
7560	1.68
258	1.790
10053	1.790
124968	1.570
7716	1.790
7552	1.68
7737	1.790
10571	1.790
17619	1.570
11809	1.57
13836713	1.68
13836589	1.68
11833	1.9
13835235	1.46
7767	2.12
7030	1.46
13836021	1.57
10124	2.12
59573	1.570
10777	1.9
6341	1.68
10018	1.68
558020	1.570
12626	1.9
13836591	1.68
11996	2.010
6165	1.9
7714	1.790
13862665	1.790
6042	1.350
7630	1.570
259	1.68
7607	1.9
5894	1.350
21108550	1.9
7772	1.9
21111806	1.9
236	2.12
9614	2.010
62808	1.570
10492	1.790
7736	1.790
11055	2.23
10446	1.9
7463	1.790
7619	2.23
7016	1.9
13871721	1.790
7739	1.790
7706	1.790
7028	1.9
5730	1.130
6316	1.57
8903	1.68
24590970	1.35
21011	1.9
9325	1.9
415	1.57
55090	1.9
10947	1.9
10772140	1.350
28994	1.46
13839553	1.57
3973	1.24
71312	1.13
3951	1.68
592	1.46
8904	1.68
8899	1.57
60329	1.68
6406	1.790
2916	1.35
2293678	1.13
6119	1.24
29015	1.68
11680	1.790
7624	2.010
7615	1.46
7090	1.9
6122	1.68
7024	2.12
55188	2.010
11117	2.12
13835224	1.57
6176	2.010
62249	1.9
13803	1.46
10755	2.23
9377	2.010
15077490	1.13
7823	2.010
11125	1.790
6307	1.790
7787	2.12
6334	1.57
13255	2.010
109838	1.790
11849	2.010
173	1.46
66656	1.680
13837280	1.350
11845	2.23
11094	2.23
13854944	1.68
29000	1.9
8398	1.9
10791	2.010
8733	1.57
10786	2.23
8554	1.9
92731	1.13
7788	2.12
9233	1.790
1020	1.9
11992	1.9
6187	1.02
8158	2.010
11023	2.23
11731	1.46
11207996	1.9
1609	1.68
7721	1.790
1095	1.790
11121	2.23
10498	1.57
7065	1.9
7791	1.9
109705	1.460
7636	1.570
7621	2.010
11551	2.23
13835836	1.9
7711	1.790
8543	1.57
6040	1.9
10445	2.34
11351244	2.23
7770	1.9
23150	1.79
12161	1.350
13874867	1.680
31029	1.68
4444456	1.57
7769	1.9
18607	1.790
10001	1.790
7747	1.9
10788	2.010
23621376	1.46
5993	1.57
8560	2.23
555074	2.23
10437074	1.570
13861343	0.91
7705	1.790
8141	1.9
10512	1.9
11180	2.010
7701	1.790
62589	2.010
7686	2.010
5439	1.46
11056	2.010
7026	1.9
66675	1.9
2005981	1.24
7622	2.010
7684	1.790
8900	1.350
11025	2.010
7475	1.9
59674	1.9
21171407	1.68
11095	2.010
13837537	1.68
10614293	2.34
6326	1.350
56117	1.79
7466	1.570
29036	1.24
7761	1.9
21168808	1.9
11104	2.34
16778	1.790
13835376	1.9
127750	1.9
10790	2.010
2018460	1.24
68503	1.570
13863629	1.790
7674	2.23
1143	1.24
1108	2.23
7029	1.68
29001	1.790
11788	2.010
11732	2.010
7688	1.790
7515	1.9
11794	2.010
13836520	1.9
11678	2.010
2038738	1.680
8562	2.010
29012	1.9
21106535	1.46
13875283	2.12
13867413	1.570
13837702	1.68
5949	2.010
71089	1.790
7551	1.46
11706	1.9
66996	1.570
61487	1.9
10797	2.12
26325086	1.79
7478	1.680
11799	1.570
13839199	2.010
13835459	1.68
11793	2.010
10534	2.23
9326	1.9
63863	1.350
659	1.46
7459	2.010
10787	2.010
12228	2.010
18688	2.01
10795	2.34
55130	2.01
11086	2.23
11841	2.23
12012	1.9
4489	1.9
48024	1.790
11024	2.010
512621	1.79
66655	1.9
21106032	1.68
6330	1.57
11035	2.34
13439	2.45
7021	1.46
7018	1.46
120464	2.010
11864	2.34
4444608	2.010
10948	1.68
11761	2.010
12229	1.790
24099	1.68
22453	2.01
12499	1.46
7833	2.34
7657	2.01
7013	1.46
13837281	1.24
5708	1.570
7703	1.790
4512642	2.34
4516601	2.34
11244	1.46
4516599	2.34
11846	2.010
7812	2.010
10652594	0.910
7766	1.9
844	1.35
13816	1.68
19953955	1.570
7776	1.9
1141	1.46
11857	2.23
66021	1.570
10497	1.790
70715	1.570
21106520	2.010
66809	1.9
10452	1.46
10433	2.01
29107	1.68
10265264	2.34
13874733	2.010
11911	1.24
7811	2.010
13836399	1.9
7676	2.010
7064	1.9
349	2.34
10488	1.790
4514549	1.350
11193	1.9
4512361	2.34
11739	2.12
8552	1.9
8908	2.23
28986	2.12
10526	2.010
17443	1.680
68832	1.9
21800	2.34
10179173	2.34
81815	1.02
29016	2.01
7003	2.01
59447	1.790
13839109	1.79
13865426	1.79
7678	2.010
13842613	2.12
71430	1.79
7760	2.12
971	2.010
10420	2.01
11695	1.680
12643	2.010
7219	2.34
11784	1.790
7482	2.01
13838404	1.24
7679	2.010
15443	2.12
11434292	1.68
65936	1.680
13835209	1.68
7677	2.010
6342	1.24
15438	2.34
1348	1.68
11216	2.12
68328	2.01
4517338	1.46
11194	2.12
11819	2.12
13402	2.45
20843	1.9
55091	1.13
10487	2.010
15954	2.12
11045	2.01
11210	2.12
7521	2.34
7641	2.34
11543	2.12
13638	2.12
11752	1.68
7242	2.12
11843	2.01
7530	1.9
15765	2.34
10101	1.24
16791	2.34
11029	2.12
9633	2.23
28992	1.9
18717	2.12
6106	1.35
99440	2.12
7838	2.12
120621	1.790
9581	2.01
15413	1.79
7710	1.57
7536	2.01
7689	1.790
10710415	1.79
14751	2.34
7073	2.120
24533	1.9
7238	2.12
13835293	1.790
13866593	1.790
13875196	2.01
120489	1.680
10197150	1.46
374462	1.68
13839575	1.79
8569	2.23
11600	1.9
5889	2.010
191367	1.680
6967	2.34
192642	1.790
1078	1.46
23101	1.790
17558	2.45
55123	2.01
68179	2.01
733	1.46
11042	2.12
21132380	2.12
9349	1.9
73412	1.68
235	2.12
7827	2.010
68156	1.790
773	1.57
17880	2.45
20119	1.790
70714	1.570
7225	1.9
7786	1.68
7224	2.12
13448	2.56
7673	2.010
10940	2.12
10939	2.12
13842993	1.46
29025	2.45
1664	1.790
7128	2.45
455420	2.23
11866	2.12
21105905	2.12
10772050	1.13
26765	1.790
7681	2.010
7837	2.12
553642	2.34
21106560	2.12
11830	1.9
7810	2.010
