Compound Id	PetitjeanNumber
692	0.0
6153	0.5
127983	0.0
291	0.0
21106179	0.5
16425	0.5
23208	0.5
6105	0.5
11148	0.0
274	0.5
6086	0.0
9256	0.333
923	0.5
937	0.0
6085	0.0
217	0.0
9484	0.5
22814	0.0
22408	0.0
9286	0.333
12577	0.333
6084	0.0
6128	0.5
9243	0.5
62827	0.5
6132	0.5
391	0.0
38403	0.4
1087	0.5
16641	0.5
7954	0.5
864	0.0
11153	0.5
748	0.0
6095	0.5
6094	0.5
518	0.0
16841	0.333
6148	0.5
2056044	0.4
6151	0.5
6087	0.0
9095782	0.333
4514529	0.0
10675065	0.4
21106169	0.333
172	0.5
763	0.0
7956	0.5
7577	0.333
6089	0.0
6111	0.0
29040	0.333
10606755	0.5
6098	0.5
6120	0.5
13837650	0.333
13853215	0.333
61149	0.4
12197	0.333
682	0.5
61346	0.5
7558	0.333
7556	0.333
454215	0.333
7557	0.333
278	0.5
7957	0.5
654	0.5
9461	0.4
6130	0.5
7555	0.333
11727	0.333
1114	0.5
14441700	0.333
8960	0.0
6083	0.0
454209	0.333
56442	0.333
6101	0.5
6097	0.5
175	0.5
4449912	0.333
6102	0.5
9016	0.333
7559	0.333
2018165	0.333
7733	0.5
3644	0.5
6156	0.5
512	0.333
171	0.5
9646	0.5
9254	0.333
7734	0.5
9411	0.4
13835550	0.333
6135	0.5
13837190	0.5
10325078	0.333
7732	0.5
6335	0.333
7738	0.0
14829	0.5
4481813	0.333
10765	0.333
71390	0.5
6149	0.5
13872989	0.333
9391	0.333
6146	0.5
3631	0.4
6121	0.5
61213	0.333
3441	0.333
11099	0.5
11806	0.5
6308	0.333
3168	0.5
6104	0.5
1004	0.333
66567	0.5
1039	0.5
7713	0.5
73583	0.333
6103	0.5
7566	0.333
9994	0.0
10709	0.5
6309	0.333
6088	0.0
13299573	0.5
13836674	0.333
13835316	0.5
6092	0.5
14694	0.333
6313	0.333
11230	0.333
7564	0.333
7616	0.5
2062437	0.333
7712	0.5
4483639	0.5
10437	0.333
30713	0.333
2282428	0.333
6188	0.333
4483638	0.5
7330	0.0
12442	0.333
