Compound Id	BCUT [BCUTc-1l]
692	-0.394532110757527
6153	-0.157070169395391
127983	-0.331974029788376
291	-0.077922923146016
21106179	-0.195242201876534
16425	-0.095060841158137
23208	-0.2100000000000
6105	-0.239393235409262
11148	-0.287298674925307
274	-0.291304937455752
6086	-0.433050408607692
9256	-0.200910086630177
923	-0.109873053720014
937	-0.411000247848443
6085	-0.315819182587230
217	-0.343435673461848
9484	-0.172297888628833
22814	-0.152622591811186
22408	9.212828167831981
9286	-0.226873280662695
12577	-0.240485602790131
6084	-0.177757819850023
6128	-0.211224440605442
9243	-0.250930139889788
62827	-0.243959162190003
6132	-0.206951348658604
391	-0.195976570420901
38403	-0.279637807148572
1087	-0.261316444542850
16641	-0.252625698677991
7954	-0.308595292985590
864	-0.425376469352967
11153	-0.253124689016085
748	-0.443253347380605
6095	-0.178480849371831
6094	-0.171994663421725
518	N/A
16841	-0.2352790137803
6148	-0.182851587906888
2056044	-0.234539591669578
6151	-0.178399912391814
6087	-0.223427551482310
9095782	-0.222385380452541
4514529	-0.192471858437651
10675065	-0.240749397367344
21106169	-0.408655593620663
172	-0.390170709780652
763	-0.363699434220604
7956	-0.413989067099258
7577	-0.352092492971151
6089	-0.367455384569290
6111	-0.152797442108960
29040	-0.240447572999234
10606755	-0.350435874116951
6098	-0.243254314179091
6120	-0.166165951905911
13837650	-0.214484807142895
13853215	-0.191822073718457
61149	-0.225936830249265
12197	-0.267875458497285
682	-0.422125210921521
61346	-0.202864920651403
7558	-0.138262146359417
7556	-0.307078383989216
454215	-0.202589635350410
7557	-0.294572410762131
278	-0.354296388261433
7957	-0.175211977592063
654	-0.357422035877071
9461	-0.344499647242296
6130	-0.220307348111595
7555	-0.170621072609785
11727	-0.284160363955775
1114	-0.348090481903355
14441700	-0.203516867268117
8960	-0.383635504541353
6083	-0.201366208660120
454209	-0.207621680556148
56442	-0.181285491003409
6101	-0.330243518466205
6097	-0.173736656223687
175	-0.299794849716148
4449912	-0.181285491003409
6102	-0.437787237514880
9016	-0.186584854279056
7559	-0.382195266039863
2018165	-0.233023032651726
7733	-0.326367140573815
3644	-0.418896894870653
6156	-0.166606562375243
512	-0.389508149961228
171	-0.351666803410558
9646	-0.160865699071729
9254	-0.236877749723359
7734	-0.318586849378787
9411	-0.308799193030937
13835550	-0.361754279002868
6135	-0.190467816276013
13837190	-0.386460740975953
10325078	-0.207625547228941
7732	-0.353927529083687
6335	-0.319190270431842
7738	-0.368305063743932
14829	-0.193294536795556
4481813	-0.266970070887163
10765	-0.155063464998674
71390	-0.225651425220428
6149	-0.188947734046024
13872989	-0.416968967345574
9391	-0.383602042603762
6146	-0.415690964849120
3631	-0.287999603729859
6121	-0.170381195503431
61213	-0.205705374565504
3441	-0.168223464032568
11099	-0.304995312003472
11806	-0.165191096706396
6308	-0.169263061234027
3168	-0.381188044916673
6104	-0.185134112248296
1004	-0.421734982730327
66567	-0.373674241075112
