Compound Id	LongestAliphaticChain
692	0
6153	0
127983	0
291	0
21106179	0
16425	0
23208	0
6105	0
11148	0
274	0
6086	0
9256	2
923	0
937	0
6085	0
217	0
9484	0
22814	0
22408	0
9286	2
12577	2
6084	0
6128	0
9243	0
62827	3
6132	0
391	0
38403	2
1087	0
16641	0
7954	3
864	0
11153	0
748	0
6095	3
6094	3
518	0
16841	2
6148	0
2056044	4
6151	0
6087	0
9095782	4
4514529	0
10675065	4
21106169	2
172	2
763	0
7956	0
7577	0
6089	0
6111	0
29040	2
10606755	3
6098	0
6120	3
13837650	2
13853215	2
61149	4
12197	4
682	2
61346	3
7558	4
7556	4
454215	2
7557	4
278	0
7957	3
654	0
9461	2
6130	0
7555	4
11727	0
1114	0
14441700	3
8960	0
6083	0
454209	4
56442	4
6101	0
6097	0
175	3
4449912	4
6102	2
9016	2
7559	3
2018165	2
7733	0
3644	3
6156	0
512	3
171	2
9646	3
9254	2
7734	0
9411	2
13835550	2
6135	0
13837190	0
10325078	2
7732	0
6335	0
7738	0
14829	0
4481813	0
10765	4
71390	0
6149	0
13872989	3
9391	3
6146	3
3631	2
6121	0
61213	3
3441	2
11099	5
11806	5
6308	4
3168	2
6104	0
1004	3
66567	3
1039	0
7713	5
73583	3
6103	2
7566	3
9994	0
10709	3
6309	4
6088	0
13299573	3
13836674	3
13835316	2
6092	0
14694	2
6313	3
11230	0
7564	3
7616	2
2062437	3
7712	5
4483639	5
10437	3
30713	2
2282428	2
6188	2
4483638	5
7330	0
12442	2
7546	0
9251	2
18971812	4
71433	0
10113	4
11755	0
7790	0
107412	3
56144	3
56020	5
13835977	3
256	4
10054	0
1005	3
553742	2
558883	5
99596	3
6333	3
6321	4
23055	3
8525	0
6125	0
4514586	0
11526	0
6322	4
6320	4
13836549	0
6163	4
62826	3
6108	0
11729	0
14672	0
6118	0
7730	0
11756	2
8544	0
23255	4
6312	3
6338	2
12201	5
62597	4
8329688	3
13837797	3
10653	3
13835336	2
7782	3
21106015	2
7727	2
558928	2
6093	0
693	0
11110	6
6311	3
8896	0
5977	0
7728	2
2340753	2
6340	4
9253	2
7626	0
7604	5
7553	3
12209	6
394562	4
10325184	2
83734	2
6315	4
7627	0
7717	4
387	3
60524	0
11109	6
63631	0
6100	0
13866746	0
7010	5
14998	0
12446	5
7560	3
258	4
10053	0
124968	0
7716	4
7552	3
7737	0
10571	3
17619	0
11809	3
13836713	3
13836589	2
11833	4
13835235	2
7767	6
7030	0
13836021	2
10124	4
59573	0
10777	4
6341	3
10018	0
558020	0
12626	5
13836591	2
11996	0
6165	4
7714	4
13862665	3
6042	0
7630	2
259	4
7607	5
5894	0
21108550	0
7772	5
21111806	0
236	0
9614	0
62808	0
10492	3
7736	0
11055	5
10446	0
7463	3
7619	5
7016	5
13871721	4
7739	0
7706	3
7028	0
5730	0
6316	3
8903	0
24590970	3
21011	5
9325	0
415	3
55090	4
10947	5
10772140	2
28994	0
13839553	3
3973	2
71312	2
3951	3
592	3
8904	0
8899	0
60329	2
6406	3
2916	0
2293678	2
6119	0
29015	0
11680	4
7624	0
7615	3
7090	0
6122	0
7024	0
55188	4
11117	0
13835224	3
6176	4
62249	3
13803	0
10755	5
9377	6
15077490	2
7823	3
11125	4
6307	3
7787	0
6334	0
13255	0
109838	2
11849	4
173	0
66656	0
13837280	2
11845	7
11094	6
13854944	2
29000	4
8398	4
10791	5
8733	3
10786	5
8554	0
92731	3
7788	0
9233	0
1020	0
11992	3
6187	2
8158	2
11023	6
11731	0
11207996	5
1609	3
7721	4
1095	0
11121	7
10498	3
7065	3
7791	0
109705	0
7636	0
7621	5
11551	5
13835836	2
7711	4
8543	3
6040	5
10445	5
11351244	0
7770	5
23150	0
12161	0
13874867	4
31029	3
4444456	3
7769	5
18607	3
10001	4
7747	3
10788	5
23621376	2
5993	0
8560	7
555074	7
10437074	0
13861343	0
7705	2
8141	0
10512	5
11180	4
7701	5
62589	0
7686	0
5439	0
11056	5
7026	0
66675	0
2005981	0
7622	5
7684	0
8900	0
11025	6
7475	4
59674	5
21171407	3
11095	6
13837537	0
10614293	5
6326	2
56117	0
7466	0
29036	0
7761	4
21168808	0
11104	6
16778	3
13835376	2
127750	3
10790	5
2018460	3
68503	0
13863629	0
7674	0
1143	0
1108	0
7029	0
29001	5
11788	0
11732	4
7688	0
7515	3
11794	6
13836520	3
11678	6
2038738	0
8562	3
29012	4
21106535	3
13875283	0
13867413	3
13837702	4
5949	6
71089	0
7551	2
11706	5
66996	0
61487	4
10797	5
26325086	0
7478	0
11799	4
13839199	0
13835459	0
11793	5
10534	0
9326	0
63863	0
659	0
7459	5
10787	5
12228	0
18688	3
10795	5
55130	4
11086	0
11841	3
12012	5
4489	0
48024	0
11024	5
512621	0
66655	0
21106032	4
6330	3
11035	7
13439	5
7021	0
7018	3
120464	5
11864	8
4444608	6
10948	4
11761	0
12229	0
24099	4
22453	4
12499	0
7833	8
7657	4
7013	3
13837281	2
5708	0
7703	3
4512642	8
4516601	8
11244	0
4516599	8
11846	6
7812	6
10652594	0
7766	5
844	3
13816	3
19953955	3
7776	5
1141	0
11857	0
66021	0
10497	4
70715	0
21106520	0
66809	0
10452	0
10433	3
29107	0
10265264	0
13874733	0
11911	2
7811	6
13836399	4
7676	0
7064	5
349	8
10488	0
4514549	0
11193	4
4512361	8
11739	6
8552	6
8908	0
28986	7
10526	6
17443	0
68832	6
21800	0
10179173	0
81815	0
29016	4
7003	3
59447	0
13839109	2
13865426	4
7678	0
13842613	0
71430	0
7760	7
971	0
10420	5
11695	0
12643	0
7219	2
11784	0
7482	4
13838404	0
7679	0
15443	0
11434292	0
65936	0
13835209	4
7677	0
6342	2
15438	3
1348	0
11216	6
68328	0
4517338	0
11194	5
11819	6
13402	5
20843	0
55091	2
10487	0
15954	6
11045	4
11210	5
7521	0
7641	0
11543	6
13638	0
11752	0
7242	0
11843	5
7530	0
15765	0
10101	0
16791	8
11029	7
9633	8
28992	0
18717	5
6106	0
99440	5
7838	7
120621	0
9581	0
15413	0
7710	3
7536	6
7689	0
10710415	3
14751	2
7073	3
24533	0
7238	0
13835293	3
13866593	5
13875196	0
120489	0
10197150	4
374462	0
13839575	2
8569	4
11600	0
5889	0
191367	5
6967	0
192642	3
1078	4
23101	0
17558	8
55123	6
68179	6
733	3
11042	0
21132380	0
9349	0
73412	4
235	0
7827	3
68156	5
773	0
17880	9
20119	3
70714	0
7225	0
7786	0
7224	0
13448	6
7673	0
10940	0
10939	0
13842993	3
29025	9
1664	0
7128	3
455420	7
11866	7
21105905	2
10772050	2
26765	4
7681	0
7837	7
553642	0
21106560	2
11830	5
7810	6
7815	6
13842001	2
21169510	2
11930	0
10437135	2
7835	7
19956441	4
78	0
67991	0
455353	5
13875281	0
2039535	0
13837686	0
7240	0
123993	6
7849	9
7803	7
11783	0
13839441	5
18219	0
83866	0
13875160	0
11865	7
11077	0
21106586	4
13835772	0
83850	0
7221	2
11699	3
7385	3
7391	0
7670	7
13860335	0
19231	0
29005	6
7443	0
22191	7
7802	8
7389	0
7241	0
6179	2
7694	4
24972	0
62489	0
6286	0
7528	0
11660	0
62230	6
8568	6
7129	3
69371	0
10784857	0
21105871	0
13839082	0
63889	0
21109330	4
10937	0
7236	0
1577	0
122090	0
8909	0
11716	5
12231	0
10384035	2
6270	2
156255	0
7659	0
11409	0
6402	0
11919	2
7856	4
13257	0
21106036	0
13840690	0
7765	4
7538	7
71787	3
441	8
2606	2
11795	5
6287	0
14692	10
7223	0
7685	0
123860	3
7672	0
9970	0
13857694	0
16159	4
7088	0
28969	2
12069	6
11265	0
13648	0
13876539	2
7533	6
7131	2
7434	7
13866817	0
6977	0
13854136	0
447	0
13837760	0
13835151	0
191	6
7234	0
71628	3
7132	2
11087	0
18801	6
13837988	0
10696	0
76894	0
12456	10
12445	0
69569	0
12809	10
7138	0
10236	0
13863618	0
4446445	8
3954	0
55205	4
11021	0
14198	0
29026	8
5976	0
13875258	0
9903	0
7183	0
21181	5
13839416	6
7851	8
18410	5
13865680	2
21112023	0
503239	0
4878	0
932	8
12010	6
63908	0
5830	2
13839308	2
14680	7
28682	0
14169248	6
63310	0
11671339	0
391428	0
122446	3
238	0
7239	0
11863	7
2041618	0
13851576	0
13854248	0
10437215	3
8070	0
370	8
455090	0
11632	3
14840	10
2656	0
78828	0
10422	3
20939	0
69914	0
9976	9
73479	0
924	0
6883	0
5979	2
577	0
13658	0
21106366	3
7419	4
14299946	0
331	0
7448	0
7509	7
12632	9
61001	0
