Compound Id	ALOGP [ALogP]
11678	-1.272
2038738	0.035
8562	-0.871
29012	-0.594
21106535	1.001
13875283	1.122
13867413	0.081
13837702	-2.053
5949	-0.970
71089	0.051
7551	1.801
11706	-0.479
66996	0.3
61487	1.246
10797	1.205
26325086	0.139
7478	1.165
11799	-0.077
13839199	0.440
13835459	-0.794
11793	0.092
10534	1.466
9326	0.019
63863	1.257
659	-0.317
7459	-0.296
10787	-0.563
12228	0.0
18688	1.818
10795	1.279
55130	-0.241
11086	0.656
11841	1.015
12012	-0.961
4489	-0.019
48024	-0.259
11024	-0.840
512621	2.693
66655	4.241
21106032	0.936
6330	-0.549
11035	-0.372
13439	3.569
7021	-0.423
7018	-0.203
120464	0.426
11864	-0.273
4444608	0.188
10948	-1.196
11761	0.695
12229	-0.392
24099	-1.763
22453	0.320
12499	1.938
7833	-0.138
7657	0.869
7013	2.206
13837281	2.429
5708	0.592
7703	-0.797
4512642	0.506
4516601	0.350
11244	-0.423
4516599	0.506
11846	-0.743
7812	-1.549
10652594	1.385
7766	0.088
844	-0.445
13816	-0.446
19953955	-1.773
7776	-0.290
1141	-0.751
11857	0.115
66021	0.534
10497	0.907
70715	0.503
21106520	0.642
66809	-0.052
10452	3.036
10433	0.580
29107	-0.420
10265264	1.289
13874733	0.642
11911	2.444
7811	-1.839
13836399	-1.104
7676	0.744
7064	0.074
349	-1.625
10488	-0.621
4514549	0.0
11193	0.981
4512361	0.350
11739	-0.135
8552	-1.018
8908	-2.016
28986	-0.668
10526	-0.345
17443	-0.052
68832	-0.397
21800	0.202
10179173	1.289
81815	0.660
29016	0.215
7003	1.782
59447	-0.805
13839109	0.141
13865426	0.043
7678	-1.951
13842613	0.879
71430	-0.569
7760	-1.032
971	-0.460
10420	-0.228
11695	0.621
12643	-0.363
7219	0.307
11784	0.744
7482	-0.518
13838404	2.229
7679	-1.058
15443	-0.690
11434292	5.274
65936	0.035
13835209	-1.473
7677	-2.240
6342	2.399
15438	-0.352
1348	0.115
11216	-0.524
68328	4.328
4517338	0.621
11194	0.031
11819	0.081
13402	0.858
20843	0.879
55091	1.053
10487	-0.746
15954	-0.307
11045	-0.518
11210	-1.455
7521	1.284
7641	1.284
11543	-0.462
13638	-1.837
11752	-0.272
7242	-0.237
11843	-0.882
7530	0.277
15765	0.202
10101	0.208
16791	0.482
11029	-1.560
9633	-1.185
28992	0.879
18717	0.809
6106	2.3
99440	1.159
7838	-1.258
120621	-0.573
9581	0.428
15413	2.228
7710	1.513
7536	-0.767
7689	0.534
10710415	0.931
14751	-0.896
7073	1.228
24533	-0.237
7238	-0.052
13835293	0.017
13866593	-2.341
13875196	0.428
120489	-0.052
10197150	-0.225
374462	-2.177
13839575	-0.211
8569	-1.180
11600	0.093
5889	-0.750
191367	-0.365
6967	1.284
192642	0.202
1078	-0.410
23101	5.166
17558	-0.272
55123	-1.249
68179	-1.948
733	-1.408
11042	1.082
21132380	1.082
9349	-0.270
73412	1.080
235	-0.192
7827	0.140
68156	-2.051
773	-0.420
17880	-0.561
20119	-0.850
70714	0.889
7225	0.035
7786	1.887
7224	0.035
13448	3.237
7673	0.889
10940	1.082
10939	-0.255
13842993	1.822
29025	-0.426
1664	-0.750
7128	0.573
455420	-1.429
11866	-1.031
21105905	0.307
10772050	1.448
26765	-0.734
7681	0.511
7837	-1.837
553642	-0.173
21106560	0.307
11830	0.619
7810	-0.2
7815	-0.578
13842001	0.282
21169510	1.950
11930	-0.219
10437135	0.199
7835	-2.127
19956441	-2.061
78	0.035
67991	3.245
455353	-1.392
13875281	1.386
2039535	0.199
13837686	0.284
7240	0.708
123993	-1.527
7849	-1.913
7803	-1.306
11783	0.889
13839441	-1.761
18219	1.976
83866	-2.173
13875160	1.386
11865	-0.633
11077	1.284
21106586	0.303
13835772	0.182
83850	-2.173
7221	0.708
11699	0.044
7385	-0.174
7391	0.199
7670	0.952
13860335	-0.449
19231	-0.811
29005	-0.516
7443	-0.484
22191	-0.685
7802	-1.320
7389	-0.635
7241	0.035
6179	2.888
7694	-0.806
24972	1.318
62489	-0.052
6286	0.083
7528	-0.816
11660	0.949
62230	-1.2
8568	-1.170
7129	1.154
69371	4.899
10784857	2.573
21105871	0.182
13839082	0.182
63889	0.352
21109330	0.268
10937	1.284
7236	-1.016
1577	-0.750
122090	5.641
8909	-2.304
11716	-0.806
12231	-0.225
10384035	0.199
6270	2.313
156255	-2.465
7659	1.926
11409	0.949
6402	1.516
11919	2.959
7856	-1.447
13257	0.250
21106036	1.620
13840690	0.756
7765	1.225
7538	-1.055
71787	-0.665
441	-1.546
2606	0.9
11795	-1.125
6287	0.959
14692	0.774
7223	-0.738
7685	0.745
123860	-0.735
7672	-0.602
9970	-2.239
13857694	1.489
16159	2.526
7088	1.556
28969	-0.081
12069	-0.653
11265	-0.009
13648	-0.254
13876539	-0.158
7533	-0.356
7131	-0.459
7434	-1.261
13866817	1.489
6977	1.926
13854136	-0.108
447	-0.512
13837760	-0.921
13835151	-0.108
191	-0.986
7234	-0.318
71628	0.8
7132	-0.254
11087	1.420
18801	-2.339
13837988	1.489
10696	4.048
76894	3.493
12456	-0.849
12445	0.409
69569	4.257
12809	-0.714
7138	0.660
10236	1.926
13863618	-0.653
4446445	-0.388
3954	0.120
55205	-1.138
11021	0.193
14198	1.369
29026	-1.319
5976	-0.840
13875258	1.531
9903	-0.163
7183	1.215
21181	-1.022
13839416	-2.049
7851	-2.415
18410	-0.928
13865680	-0.153
21112023	0.226
503239	0.218
4878	-0.921
932	-2.125
12010	0.331
63908	-0.444
5830	-0.193
13839308	0.069
14680	-0.866
28682	-0.254
14169248	-0.926
63310	-0.707
11671339	4.461
391428	2.143
122446	1.024
238	-0.240
7239	0.693
11863	-0.488
2041618	6.0
13851576	0.9
13854248	-0.006
10437215	-0.379
8070	0.402
370	-1.594
455090	0.218
11632	-0.564
14840	-2.201
2656	1.311
78828	5.340
10422	0.853
20939	2.142
69914	4.461
9976	-1.244
73479	0.158
924	0.218
6883	0.011
5979	3.376
577	-1.378
13658	1.758
21106366	-0.219
7419	-0.462
14299946	4.054
331	-0.7
7448	0.614
7509	-0.804
12632	-1.608
61001	0.844
28982	-0.153
11604	-0.153
62534	0.007
62408	0.007
123207	0.497
75951	-0.973
13837787	-0.507
13839123	0.824
59483	2.237
18724	1.556
7850	-0.921
13875432	0.284
8665	-0.512
13839128	0.824
13875219	0.284
456015	0.693
55084	-1.094
6974	0.429
8657	-0.512
13849981	2.469
26824	7.633
72793	-0.609
21106014	0.552
6296	1.949
14256731	-0.480
13860775	-0.802
7140	0.402
13869339	-0.006
13647	-0.942
764	-0.921
7800	-1.343
8071	0.505
13835932	-1.919
7809	0.937
4449	-2.753
13839110	0.824
29029	-1.834
21106525	-0.443
7142	-0.7
132	-0.7
12220	-1.756
20570	0.218
21106144	1.302
7190	0.402
8140	1.028
13869451	-0.006
15461	1.221
76394	-0.357
7518	1.633
8520	6.178
8883	-0.850
6079	0.505
2931	1.033
10536	-0.436
25552	-0.473
13848808	-0.449
10181341	-0.205
10328	0.960
15846	-1.607
5596	-1.210
4962	-0.909
13869462	0.534
11871	0.731
10265270	-0.742
222538	0.011
768	-1.476
2849146	0.011
8674	-0.104
13869480	-0.802
12635	-1.002
65523	0.011
6999	2.568
2441	0.969
7662	2.233
13856352	-0.483
7506	2.043
6897	0.262
