Compound Id	G2e
1	0.208
2	0.193
3	0.207
4	0.276
5	0.204
6	0.2
7	1
8	0.25
9	0.25
10	0.175
11	1
12	0.24
13	0.224
14	0.165
15	0.272
16	0.182
17	0.188
18	0.229
19	0.182
20	0.228
21	0.179
22	0.179
23	0.244
24	0.215
25	0.215
26	0.204
27	0.216
28	0.174
29	0.188
30	0.205
31	0.174
32	0.174
33	0.174
34	0.197
35	0.174
36	0.165
37	0.197
38	0.204
39	0.188
40	0.821
41	0.2
42	0.185
43	0.205
44	0.169
45	0.179
46	0.174
47	0.195
48	0.165
49	0.204
50	0.24
51	0.231
52	0.213
53	0.191
54	0.216
55	0.179
56	0.179
57	0.177
58	0.183
59	0.185
60	0.215
61	0.185
62	0.228
63	0.218
64	0.213
65	0.219
66	0.23
67	0.195
68	0.228
69	0.185
70	0.201
71	0.193
72	0.195
73	0.215
74	0.179
75	0.179
76	0.182
77	0.182
78	0.185
79	0.185
80	0.185
81	0.188
82	0.185
83	0.174
84	0.174
85	0.204
86	0.216
87	0.192
88	0.188
89	0.169
90	0.174
91	0.197
92	0.169
93	0.211
94	0.183
95	0.183
96	0.191
97	0.169
98	0.188
99	0.186
100	0.174
101	0.195
102	0.172
103	0.191
104	0.23
105	0.193
106	0.213
107	0.25
108	0.165
109	0.218
110	0.181
111	0.426
112	0.197
113	0.231
114	0.174
115	0.188
116	0.195
117	0.174
118	0.174
119	0.206
120	0.162
121	0.231
122	0.208
123	0.2
124	0.238
125	0.165
126	0.215
127	0.204
128	0.195
129	0.188
130	0.205
131	0.179
132	0.207
133	0.169
134	0.188
135	0.192
136	0.177
137	0.183
138	0.193
139	0.215
140	0.174
141	0.197
142	0.174
143	0.204
144	0.185
145	0.183
146	0.206
147	0.195
148	0.183
149	0.41
150	0.192
151	0.228
