Compound Id	IVDM
1	2.25
2	2.752
3	2.95
4	3.391
5	3.044
6	2.953
7	2.522
8	2.25
9	2.156
10	3.407
11	2.522
12	1.918
13	2.753
14	3.422
15	3.384
16	3.384
17	2.753
18	2.585
19	3.346
20	2.807
21	2.842
22	2.807
23	2.522
24	2.522
25	2.953
26	2.753
27	2.753
28	3.222
29	3.086
30	2.953
31	2.983
32	2.983
33	2.953
34	3.209
35	3.284
36	3.284
37	3.284
38	2.788
39	3.155
40	4.372
41	2.522
42	2.689
43	3.078
44	3.17
45	2.842
46	3
47	3.031
48	3.346
49	2.807
50	1.5
51	1.918
52	2.753
53	4.146
54	2.896
55	2.896
56	2.896
57	4.063
58	2.95
59	2.752
60	2.689
61	2.689
62	2.156
63	1.792
64	2.25
65	2.95
66	2.446
67	3.078
68	2.896
69	2.689
70	2.689
71	2.371
72	3
73	3.031
74	2.807
75	2.842
76	3.309
77	3.322
78	2.626
79	2.585
80	2.626
81	3.128
82	3.031
83	3
84	3.031
85	2.842
86	2.842
87	2.842
88	3.197
89	3.17
90	3
91	3.322
92	3.17
93	2.875
94	2.906
95	2.906
96	2.585
97	3.281
98	3.239
99	4.225
100	3.125
101	3.078
102	3.974
103	2.752
104	2.522
105	2.446
106	2.25
107	1.918
108	3.322
109	1.918
110	3.852
111	3.668
112	2.753
113	3.184
114	3.748
115	3.128
116	2.953
117	2.953
118	2.875
119	3.059
120	3.55
121	1.918
122	2.156
123	2.446
124	2.95
125	3.384
126	2.585
127	2.842
128	2.983
129	3.128
130	2.953
131	2.753
132	3.125
133	3.17
134	3.17
135	2.95
136	4.039
137	2.753
138	2.446
139	2.689
140	3.031
141	3.17
142	2.953
143	2.807
144	2.585
145	2.906
146	3.239
147	3.078
148	3.184
149	3.879
150	3.777
151	2.664
