Compound Id	Hy
1	2.69
2	2.214
3	1.882
4	-0.877
5	1.83
6	-0.158
7	1.164
8	0.132
9	0.132
10	0.509
11	1.164
12	0.538
13	-0.088
14	-0.294
15	-0.294
16	-0.294
17	-0.039
18	-0.088
19	-0.294
20	-0.158
21	-0.158
22	-0.158
23	-0.088
24	-0.088
25	-0.213
26	-0.158
27	-0.158
28	-0.294
29	-0.257
30	-0.213
31	-0.213
32	-0.213
33	-0.213
34	-0.294
35	-0.294
36	-0.294
37	-0.294
38	-0.158
39	-0.257
40	-0.479
41	0.158
42	-0.088
43	-0.213
44	-0.257
45	-0.158
46	-0.213
47	-0.213
48	-0.294
49	-0.158
50	0.638
51	1.769
52	0.046
53	-0.443
54	-0.158
55	-0.158
56	-0.158
57	-0.429
58	0.846
59	-0.088
60	-0.088
61	-0.088
62	0.132
63	0.323
64	0.312
65	0.079
66	0.004
67	-0.213
68	-0.158
69	-0.088
70	-0.088
71	0.004
72	-0.213
73	-0.213
74	-0.158
75	-0.158
76	-0.294
77	-0.294
78	-0.088
79	-0.088
80	-0.088
81	-0.257
82	-0.213
83	-0.213
84	-0.213
85	-0.158
86	-0.158
87	-0.158
88	-0.257
89	-0.257
90	-0.213
91	-0.294
92	-0.257
93	-0.158
94	-0.158
95	-0.158
96	0.984
97	-0.257
98	-0.257
99	-0.456
100	-0.213
101	-0.213
102	-0.413
103	0.984
104	0.004
105	0.004
106	1.41
107	0.323
108	-0.294
109	0.323
110	-0.395
111	0.679
112	0.046
113	-0.294
114	-0.375
115	-0.257
116	-0.213
117	-0.213
118	-0.213
119	-0.257
120	-0.325
121	0.323
122	2.69
123	1.164
124	-0.039
125	-0.294
126	-0.088
127	-0.158
128	-0.213
129	-0.257
130	-0.213
131	-0.158
132	-0.001
133	-0.257
134	-0.257
135	-0.158
136	-0.429
137	0.846
138	0.004
139	-0.088
140	-0.213
141	-0.257
142	-0.213
143	-0.158
144	-0.088
145	-0.158
146	-0.257
147	-0.213
148	-0.257
149	-0.395
150	-0.375
151	-0.158
