Compound Id	Trolox equivalent antioxidant capacity
Tab4-1	4.9
Tab4-2	4.8
Tab4-3	3.8
Tab4-4	2.5
Tab4-5	1.9
Tab4-6	2.4
Tab4-7	2.94
Tab4-8	4.65
Tab4-9	4.78
Tab4-10	6.18
Tab4-11	4.7
Tab4-12	3.1
Tab4-13	2.55
Tab4-14	2.4
Tab4-15	1.34
Tab4-16	2.1
Tab4-17	1.74
Tab4-18	1.45
Tab4-19	1.43
Tab4-20	0.79
Tab4-21	1.53
Tab4-22	1.37
Tab4-23	1.08
Tab4-24	0.76
Tab4-25	1.39
Tab4-26	1.8
Tab4-27	4.44
Tab4-28	4.4
Tab4-29	2.35
Tab4-30	2.22
Tab4-31	2.06
Tab4-32	1.3
Tab4-33	3.25
Tab4-34	2.9
Tab4-35	1.78
Tab4-36	2.9
Tab4-37	1.24
Tab4-38	1.25
Tab4-39	1.15
Tab4-40	1.16
Tab4-41	0.11
Tab4-42	0.05
