Compound Id	Redox potential at pH 7
Tab1-1	1.23
Tab1-2	1.17
Tab1-3	1.09
Tab1-4	1.06
Tab1-5	1.04
Tab1-6	0.97
Tab1-7	0.96
Tab1-8	0.94
Tab1-9	0.93
Tab1-10	0.89
Tab1-11	0.89
Tab1-12	0.87
Tab1-13	0.85
Tab1-14	0.84
Tab1-15	0.81
Tab1-16	0.73
Tab1-17	0.68
Tab1-18	0.67
Tab1-19	0.66
Tab1-20	0.62
Tab1-21	0.6
Tab1-22	0.58
Tab1-23	0.58
Tab1-24	0.56
Tab1-25	0.54
Tab1-26	0.53
Tab1-27	0.52
Tab1-28	0.48
Tab1-29	0.46
Tab1-30	0.41
Tab1-31	0.36
Tab2-1	1.15
Tab2-2	1.13
Tab2-3	1.13
Tab2-4	1.12
Tab2-5	1.11
Tab2-6	0.98
Tab2-7	0.85
Tab2-8	0.84
Tab2-9	0.84
Tab2-10	0.82
Tab2-11	0.8
Tab2-12	0.77
Tab2-13	0.77
