Compound Id	E
26325084	-1.137
26325083	-1.027
18019	-0.989
8521	-0.936
26325082	-0.898
10449	-0.88
61149	-0.79
2056044	-0.79
26325081	-0.787
26824	-0.739
8520	-0.717
10451	-0.698
2041618	-0.693
6191	-0.69
26325080	-0.643
76894	-0.631
16425	-0.6
6153	-0.58
10784857	-0.55
38403	-0.54
14021447	-0.519
9256	-0.51
23101	-0.498
10675065	-0.492
10652594	-0.488
10696	-0.471
62827	-0.45
11434292	-0.448
21106179	-0.427
122090	-0.424
11557190	-0.421
9095782	-0.392
12577	-0.39
9286	-0.39
61346	-0.386
6190	-0.36
6270	-0.343
9484	-0.33
6105	-0.32
16841	-0.31
4927801	-0.309
109705	-0.293
9088156	-0.289
56144	-0.282
23150	-0.27
108106	-0.266
78828	-0.26
6128	-0.25
10452	-0.246
10606755	-0.24
3631	-0.236
69569	-0.234
15413	-0.23
66656	-0.22
9411	-0.2
454209	-0.196
10733068	-0.195
17619	-0.192
13837650	-0.19
13853215	-0.19
9392	-0.19
66567	-0.19
18971812	-0.19
66655	-0.188
68328	-0.177
13299573	-0.162
56117	-0.15
12161	-0.139
107412	-0.13
67414	-0.111
13803	-0.104
14441700	-0.095
10756390	-0.095
68224	-0.095
61213	-0.092
9254	-0.086
9016	-0.086
73583	-0.086
14998	-0.086
2018165	-0.08
6148	-0.08
69914	-0.077
11671339	-0.077
29040	-0.07
67991	-0.066
454215	-0.064
62826	-0.064
7626	-0.063
59573	-0.06
6156	-0.057
10106	-0.05
10801109	-0.049
512621	-0.038
12933	-0.021
11996	-0.02
13835836	-0.02
9633	-0.02
15789876	-0.02
18688	-0.01
12586	-0.009
71433	-0.005
68503	-0.005
937	0
692	0
23208	0
291	0
274	0
6084	0
6132	0
7956	0
6094	0
11749	0
7555	0
6120	0
7712	0
6308	0
9646	0
10781	0
15802	0
17976	0
7767	0
7604	0
7010	0
6163	0
6340	0
7671	0
9377	0
8560	0
11094	0
11023	0
11055	0
10786	0
7619	0
10755	0
11551	0
349	0
11035	0
11104	0
10795	0
10445	0
8569	0
11841	0
7073	0
123860	0
7849	0
17558	0
13439	0
13402	0
6287	0
10227261	0
14840	0
13448	0
12220	0
13619	0
7890	0
11882	0
11883	0
10540	0
7929	0
11897	0
11899	0
12017	0
12072	0
11900	0
11901	0
11146	0
11902	0
10542	0
11906	0
7823	0.008
13835376	0.008
55130	0.009
6188	0.01
127750	0.01
14299946	0.01
30713	0.012
14694	0.012
99596	0.012
11849	0.013
7757	0.013
21106169	0.015
20545	0.015
10441	0.02
14672	0.024
7511	0.024
10446	0.025
7657	0.025
22453	0.026
6151	0.027
7509	0.027
7872	0.029
10433	0.032
55084	0.033
7875	0.033
2062437	0.034
7065	0.034
11992	0.035
7913	0.038
10325078	0.04
92731	0.04
14256731	0.04
3168	0.041
11153	0.042
29005	0.043
7472	0.044
11207996	0.044
7694	0.044
11833	0.045
16388	0.046
455420	0.048
62249	0.049
10420	0.049
9243	0.05
55188	0.05
7482	0.05
11716	0.05
29016	0.051
7670	0.051
7340	0.051
7747	0.052
7624	0.053
7627	0.055
8568	0.056
14846	0.056
11045	0.058
11228	0.059
10709	0.06
109838	0.06
7478	0.06
10765	0.063
13849665	0.064
7800	0.065
11148	0.066
11843	0.067
923	0.068
7475	0.068
12201	0.07
7515	0.07
29012	0.071
10797	0.072
11109	0.078
7538	0.079
7536	0.08
12972	0.083
61266	0.083
24142	0.083
14829	0.084
23055	0.084
13622	0.085
7463	0.087
10571	0.087
16180	0.087
13836549	0.088
7891	0.089
12446	0.09
55123	0.09
10614293	0.09
29025	0.09
11755	0.091
12635	0.091
7706	0.092
7761	0.092
11121	0.092
7713	0.093
12809	0.093
11230	0.094
7833	0.094
10492	0.095
13837190	0.099
13839109	0.099
7556	0.1
12012	0.101
8158	0.101
66675	0.101
7871	0.101
3441	0.102
7954	0.103
9976	0.103
21153	0.103
14688	0.104
9391	0.105
8525	0.106
7514	0.106
11680	0.106
6176	0.106
6085	0.107
63631	0.107
13865630	0.107
7856	0.107
11706	0.108
7802	0.108
12218	0.108
56232	0.108
3973	0.109
6130	0.11
7534	0.11
10788	0.11
7621	0.111
10101	0.113
28986	0.113
13839575	0.113
12632	0.113
13836589	0.116
83734	0.116
9253	0.116
215929	0.117
10791	0.117
555074	0.119
7957	0.12
11125	0.121
7760	0.123
4516601	0.123
8562	0.124
2863	0.124
56442	0.126
4483639	0.126
11919	0.126
10653	0.128
8329688	0.132
7782	0.132
4516599	0.133
16387	0.133
10777	0.134
4512361	0.135
11095	0.136
11025	0.136
26325086	0.136
21106173	0.136
13835706	0.136
441	0.137
2282428	0.138
9251	0.138
13850879	0.138
217	0.14
1114	0.14
7838	0.14
15486	0.14
56559	0.14
11898	0.14
4483638	0.141
6335	0.142
4449912	0.142
11526	0.142
6311	0.142
10054	0.142
7081	0.143
7607	0.143
7074	0.143
12456	0.143
72522	0.143
6313	0.144
7817	0.144
4512642	0.144
7928	0.145
7734	0.146
5949	0.146
62632	0.148
14348	0.148
7803	0.149
7076	0.149
78998	0.149
17880	0.15
370	0.15
29029	0.15
11884	0.15
2581	0.151
16177	0.152
7730	0.154
13866746	0.154
7016	0.154
15853	0.154
11864	0.155
9053802	0.155
21106586	0.156
67360	0.156
63863	0.157
11891	0.157
7732	0.158
18920	0.158
10113	0.159
11866	0.159
15846	0.159
11845	0.16
15954	0.16
11819	0.16
7566	0.162
29026	0.162
7772	0.163
11739	0.163
7917	0.163
6321	0.166
12209	0.166
11846	0.166
7622	0.167
11861	0.168
15016	0.168
11056	0.169
7915	0.169
23255	0.17
10787	0.17
123993	0.17
55090	0.171
11806	0.172
7630	0.174
8552	0.174
68179	0.174
7901	0.175
6121	0.177
7770	0.177
7558	0.178
11036	0.178
10001	0.178
7064	0.178
175	0.179
6146	0.18
6649	0.18
11029	0.18
6123	0.181
7892	0.181
8576	0.182
6095	0.183
9461	0.183
14692	0.184
11099	0.185
11193	0.186
256	0.187
11794	0.187
7851	0.187
15387	0.187
8012	0.188
7717	0.188
11732	0.188
10511	0.188
654	0.189
6315	0.189
6086	0.19
99440	0.19
11194	0.19
455353	0.19
11110	0.191
13848341	0.191
10265264	0.191
7850	0.191
7882	0.191
7577	0.192
29000	0.192
8574	0.193
11239	0.194
6165	0.194
11865	0.194
21011	0.195
4366810	0.195
512	0.196
11793	0.196
7811	0.197
7835	0.197
11216	0.198
13862665	0.199
932	0.199
22814	0.2
6341	0.2
11678	0.2
11543	0.2
62230	0.2
7533	0.2
13836399	0.201
10526	0.201
10422	0.202
12069	0.203
59483	0.203
13255	0.204
10179173	0.204
7701	0.205
6149	0.207
10790	0.207
71430	0.207
120464	0.207
172	0.208
11180	0.208
13865426	0.208
7434	0.209
259	0.21
7714	0.21
10512	0.21
7812	0.21
7769	0.211
7459	0.211
11024	0.211
7837	0.211
3644	0.212
16778	0.212
7705	0.212
191367	0.212
748	0.213
5091	0.213
10437	0.216
387	0.216
6312	0.217
6320	0.217
10947	0.218
6040	0.219
8398	0.219
960	0.219
6164	0.22
18410	0.22
7546	0.222
11756	0.222
7616	0.223
258	0.224
7716	0.224
7564	0.225
7024	0.225
7090	0.225
15438	0.225
11699	0.225
16791	0.225
6097	0.227
11799	0.227
6187	0.227
21800	0.227
18717	0.227
13837797	0.228
16641	0.23
10205670	0.23
12442	0.23
6186	0.23
60329	0.232
7790	0.233
1005	0.233
11210	0.234
6101	0.236
1004	0.236
2340753	0.236
10325184	0.236
24590970	0.236
11695	0.236
6102	0.237
13836591	0.237
7028	0.241
7615	0.242
13884973	0.242
7674	0.244
6406	0.245
682	0.246
13874867	0.246
10710415	0.249
6089	0.25
6087	0.25
6098	0.258
7733	0.259
9990	0.261
11727	0.262
7600	0.262
8896	0.263
7466	0.263
14751	0.263
1609	0.264
171	0.265
7727	0.266
71628	0.267
22408	0.268
7728	0.269
6338	0.27
13811	0.274
13871489	0.277
864	0.278
220998	0.28
221117	0.281
15765	0.281
11647	0.283
7506	0.287
7737	0.289
5439	0.29
7003	0.29
6322	0.291
13867413	0.291
553171	0.292
11525	0.293
8554	0.296
13571291	0.297
12066	0.298
7703	0.3
11265	0.3
12954	0.3
13229	0.3
59577	0.304
10053	0.305
10018	0.308
7787	0.31
26765	0.31
192642	0.31
11788	0.31
63156	0.31
122446	0.31
21181	0.31
26325090	0.31
13836520	0.311
6135	0.313
6309	0.313
12626	0.315
11632	0.318
9994	0.319
7636	0.319
13854944	0.319
7557	0.32
6125	0.32
120621	0.32
4449	0.32
55205	0.32
12445	0.32
14169248	0.32
7964	0.32
6193	0.32
62597	0.322
7559	0.324
7677	0.326
12197	0.327
13836674	0.327
11761	0.328
29015	0.329
9642	0.33
156255	0.33
20119	0.33
6118	0.332
363458	0.333
7684	0.333
71390	0.334
8544	0.335
12219	0.336
6307	0.337
7848	0.339
13816	0.34
15077490	0.34
19956441	0.34
12637	0.34
13872989	0.342
11752	0.342
8577	0.342
278	0.343
61487	0.343
11863	0.343
5708	0.345
10536	0.345
14349	0.347
7810	0.349
391	0.35
13835977	0.35
6334	0.35
592	0.35
13871721	0.35
374462	0.35
558883	0.35
56020	0.35
8908	0.35
376	0.35
10025	0.35
5004	0.35
2275	0.351
4446445	0.351
10124	0.352
7852	0.353
3951	0.354
7530	0.354
7766	0.356
6333	0.357
14680	0.357
7827	0.358
4514529	0.36
13835316	0.36
7711	0.36
12499	0.36
19953955	0.36
21109330	0.36
13638	0.36
72056	0.36
10948	0.361
7815	0.361
71312	0.362
2293678	0.362
2018460	0.362
29107	0.363
21169510	0.365
7552	0.366
5993	0.367
13835293	0.367
62589	0.368
7738	0.369
7686	0.369
7480	0.369
7776	0.369
127983	0.37
1087	0.37
6092	0.37
6042	0.37
6316	0.37
8878	0.37
34095	0.37
7568	0.372
10340	0.372
4444608	0.372
10939	0.372
11107	0.372
13835224	0.373
8141	0.373
9233	0.373
23621376	0.374
21111806	0.374
69371	0.374
66565	0.375
18685	0.375
15443	0.379
844	0.38
18607	0.38
11930	0.38
62628	0.38
67653	0.38
7030	0.381
11875	0.381
7721	0.382
2656	0.383
21108550	0.384
7560	0.385
13839416	0.385
13836021	0.386
13835861	0.386
7029	0.387
394562	0.387
10498	0.387
13839441	0.388
21112738	0.39
6104	0.39
4481813	0.39
60524	0.39
11729	0.39
9325	0.39
11694	0.39
11086	0.391
13849981	0.391
6103	0.392
5894	0.393
13835209	0.395
7788	0.395
13839553	0.397
6083	0.4
6314	0.4
61707	0.4
63054	0.4
4510484	0.4
15803	0.4
26563	0.4
70660	0.402
7679	0.403
13835235	0.404
1039	0.404
10772140	0.404
28994	0.405
4937830	0.406
29008	0.406
11809	0.407
8543	0.408
6111	0.41
68832	0.41
13842001	0.41
22191	0.41
75951	0.41
72793	0.41
72551	0.41
24641	0.41
11632871	0.41
33416	0.411
29001	0.412
21106032	0.413
8909	0.413
11857	0.414
7330	0.417
69982	0.418
21106015	0.419
552744	0.419
10464	0.42
61191	0.42
61001	0.42
8912	0.42
7791	0.422
13866593	0.422
7098	0.425
7026	0.427
553742	0.43
5977	0.43
13837702	0.431
13837537	0.434
9724	0.434
18801	0.435
59674	0.436
558928	0.44
6330	0.44
11244	0.44
7021	0.44
11795	0.44
10488	0.441
13647	0.441
6402	0.441
68156	0.443
71876	0.445
415	0.446
10487	0.448
763	0.451
13835336	0.458
24099	0.458
173	0.46
5730	0.46
7678	0.46
553642	0.46
13861343	0.461
13835550	0.462
8733	0.465
48024	0.467
10265270	0.467
693	0.468
124968	0.47
62808	0.47
8910	0.474
9614	0.477
60886	0.482
28993	0.483
17131	0.487
13875283	0.488
9363	0.489
13849989	0.493
11351244	0.495
558020	0.496
7553	0.497
20939	0.497
518	0.5
6326	0.5
20198	0.5
1143	0.501
61111	0.504
4444456	0.506
2441	0.506
6296	0.511
391428	0.511
733	0.512
9970	0.513
8960	0.514
11117	0.515
191	0.515
13837280	0.52
659	0.522
1078	0.522
13835604	0.523
10772050	0.524
14198	0.525
71787	0.53
7528	0.53
6827	0.531
499714	0.535
7018	0.536
11911	0.54
6093	0.541
13836713	0.542
21106535	0.546
7013	0.547
59447	0.55
10179239	0.55
86007	0.551
390927	0.553
10756	0.553
7961	0.558
12643	0.559
19231	0.561
13835630	0.569
13835459	0.57
9581	0.571
13875196	0.571
73412	0.571
13492	0.577
15747	0.579
7236	0.58
10410	0.58
1348	0.589
558878	0.589
5978	0.59
13487	0.591
6119	0.593
10404	0.594
13839199	0.598
9228	0.598
71089	0.6
6342	0.6
9574	0.6
83866	0.6
83850	0.6
9454	0.6
7419	0.6
1108	0.601
7128	0.602
8356	0.603
62530	0.604
7385	0.604
7170	0.605
8903	0.606
13842613	0.607
16159	0.607
7183	0.607
236	0.61
553578	0.61
7736	0.613
7242	0.613
7219	0.613
7521	0.613
7672	0.615
12010	0.615
24533	0.616
789	0.617
7088	0.619
1019	0.62
