Compound Id	Experimental 3T3 NRU Phototoxicity
1	P
2	P
3	P
4	P
5	P
6	P
7	P
8	P
9	P
10	P
11	P
12	P
13	P
14	P
15	P
16	P
17	P
18	P
19	P
20	P
21	P
22	P
23	nP
24	nP
25	nP
26	nP
27	nP
28	nP
29	P
30	P
31	nP
32	nP
33	nP
34	nP
35	P
36	P
37	P
38	nP
39	nP
40	nP
41	nP
42	P
43	P
44	P
45	P
46	P
47	P
48	P
49	P
50	P
51	P
52	nP
53	nP
