Compound Id	Dipolarity/polarizability
96	0.57
97	0.83
98	1.64
99	1.62
100	2.39
101	1.43
102	2.47
103	1.33
104	1.60
105	2.01
106	1.66
107	2.05
108	1.28
109	1.14
110	1.14
111	1.14
112	1.17
113	1.14
114	1.14
115	1.14
116	2.75
117	1.82
118	2.20
119	1.54
120	1.95
121	1.49
122	2.50
123	2.50
124	1.74
125	1.11
126	1.83
127	1.83
128	1.88
129	1.14
130	1.50
131	3.41
132	1.00
133	1.25
134	1.56
135	3.41
136	3.41
137	2.58
138	2.95
139	1.20
140	1.72
141	1.72
142	2.18
143	2.00
144	2.02
145	1.57
146	1.57
147	1.57
148	2.71
149	1.34
150	1.92
151	1.95
152	1.49
153	1.49
154	2.05
155	1.82
156	1.66
157	2.25
158	1.68
159	1.78
160	1.55
161	1.55
162	1.78
163	1.45
164	2.93
165	1.72
166	1.51
167	1.04
168	1.75
169	1.75
170	2.28
171	2.33
172	2.15
173	2.41
174	1.88
175	1.30
176	2.17
177	1.43
178	1.37
179	1.37
180	2.21
181	3.32
182	1.99
183	0.59
184	1.60
185	3.83
186	1.35
187	1.35
188	2.03
189	1.47
190	1.28
191	1.28
192	3.39
193	2.26
194	1.34
195	0.79
196	1.55
197	1.67
198	2.01
199	2.01
200	2.01
201	1.81
202	1.73
203	1.64
204	1.88
205	3.14
206	1.80
207	2.22
208	0.88
209	1.94
210	1.40
211	1.98
212	1.52
213	2.00
214	1.87
215	1.80
216	1.10
217	1.10
218	1.63
219	1.84
220	1.15
221	1.15
222	1.11
223	1.11
224	1.24
225	1.83
226	0.97
227	2.62
228	1.03
229	2.19
230	2.19
231	1.66
232	1.65
233	1.65
234	2.47
235	1.30
236	1.26
237	1.70
238	1.70
239	0.88
240	0.88
241	1.43
242	1.20
243	1.71
244	1.92
245	1.23
246	2.17
247	2.45
248	1.54
249	1.35
250	0.60
251	1.43
252	0.84
253	0.84
254	4.63
255	2.17
256	2.36
257	2.30
258	2.68
259	1.52
260	1.00
261	1.95
262	2.92
263	2.55
264	3.28
265	2.63
266	2.25
267	2.51
268	2.40
269	2.54
270	1.52
271	2.30
272	2.34
273	2.69
274	1.86
275	0.62
276	2.80
277	1.76
278	2.86
279	1.38
280	1.49
281	1.60
282	1.60
283	1.36
284	1.36
285	1.68
286	2.10
287	2.10
288	2.10
289	2.60
290	1.98
291	1.16
292	1.16
293	2.20
294	1.80
295	1.78
296	0.57
297	2.91
298	2.91
299	0.45
300	0.80
301	1.20
302	1.70
303	2.64
304	1.60
305	2.10
306	2.70
307	2.53
308	2.96
309	1.74
310	2.07
311	2.80
312	2.71
313	2.58
314	3.01
315	2.84
316	3.06
317	1.94
318	2.46
319	1.36
320	1.97
321	1.95
322	2.20
323	1.30
324	2.75
325	2.09
326	2.52
327	2.95
328	3.25
1	0.00
2	0.00
3	0.00
4	0.00
5	0.00
6	0.00
7	0.35
8	0.00
9	0.00
10	0.00
11	0.00
12	0.00
13	0.00
14	0.00
15	0.00
16	0.00
17	0.00
18	0.00
19	0.00
20	0.00
21	0.00
22	0.23
23	0.10
24	0.10
25	0.06
26	0.23
27	0.10
28	0.21
29	0.57
30	0.49
31	0.49
32	0.64
33	0.41
34	0.68
35	0.63
36	0.40
37	0.40
38	0.35
39	0.21
40	0.38
41	-0.20
42	0.10
43	0.41
44	0.61
45	0.44
46	0.08
47	0.08
48	0.08
49	0.08
50	0.23
51	0.37
52	0.28
53	0.26
54	0.44
55	0.42
56	0.42
57	0.42
58	0.42
59	0.36
60	0.39
61	0.39
62	0.30
63	0.30
64	0.25
65	0.16
66	0.21
67	0.21
68	0.67
69	0.50
70	0.40
71	0.23
72	0.74
73	0.30
74	0.39
75	0.70
76	0.70
77	0.68
78	0.64
79	0.62
80	0.60
81	0.60
82	0.60
83	0.57
84	0.57
85	0.57
86	0.52
87	0.52
88	0.56
89	0.52
90	0.52
91	0.51
92	0.65
93	0.49
94	0.56
95	0.58
