Compound Id	Overall hydrogen bond acidity
96	0.38
97	0.03
98	0.00
99	0.00
100	0.96
101	0.00
102	0.35
103	0.00
104	0.00
105	0.34
106	0.00
107	0.00
108	0.48
109	0.47
110	0.47
111	0.47
112	0.46
113	0.47
114	0.47
115	0.47
116	0.32
117	0.26
118	0.28
119	0.48
120	0.51
121	0.00
122	0.00
123	0.00
124	0.00
125	0.47
126	0.00
127	0.00
128	0.69
129	0.47
130	0.25
131	0.00
132	0.08
133	0.31
134	0.99
135	0.00
136	0.00
137	0.00
138	0.24
139	0.29
140	0.05
141	0.05
142	0.76
143	0.13
144	0.77
145	0.00
146	0.00
147	0.00
148	0.00
149	0.55
150	0.00
151	0.22
152	0.00
153	0.00
154	0.92
155	0.09
156	0.22
157	0.25
158	0.26
159	0.25
160	0.00
161	0.00
162	0.58
163	0.00
164	0.42
165	0.00
166	0.49
167	0.32
168	0.00
169	0.00
170	0.00
171	0.01
172	0.00
173	0.02
174	0.32
175	0.10
176	0.93
177	0.72
178	0.17
179	0.17
180	0.10
181	0.00
182	0.00
183	0.59
184	0.00
185	1.12
186	0.57
187	0.57
188	0.35
189	0.06
190	0.45
191	0.45
192	0.40
193	0.86
194	0.43
195	0.09
196	0.21
197	0.00
198	0.00
199	0.00
200	0.00
201	0.36
202	0.00
203	0.00
204	0.49
205	0.00
206	0.59
207	0.30
208	0.00
209	0.21
210	0.23
211	0.00
212	0.13
213	0.30
214	0.25
215	0.00
216	0.45
217	0.45
218	1.04
219	0.37
220	0.60
221	0.60
222	0.47
223	0.47
224	0.00
225	0.00
226	0.00
227	0.00
228	0.01
229	0.85
230	0.85
231	0.26
232	0.30
233	0.30
234	0.00
235	0.59
236	0.23
237	0.00
238	0.00
239	0.32
240	0.32
241	0.44
242	0.31
243	0.00
244	0.00
245	0.37
246	1.05
247	0.00
248	0.39
249	0.55
250	0.27
251	0.95
252	0.71
253	0.71
254	1.45
255	1.05
256	0.40
257	0.70
258	0.40
259	0.75
260	0.75
261	0.98
262	1.25
263	1.46
264	0.26
265	0.40
266	0.46
267	0.46
268	0.40
269	0.35
270	0.37
271	0.20
272	0.28
273	0.40
274	0.87
275	0.26
276	0.24
277	0.75
278	0.00
279	0.00
280	0.03
281	0.50
282	0.54
283	0.55
284	0.55
285	0.59
286	0.00
287	0.00
288	0.00
289	0.22
290	1.18
291	0.15
292	0.15
293	0.00
294	0.00
295	0.00
296	0.60
297	0.00
298	0.00
299	0.82
300	0.00
301	0.16
302	0.47
303	0.40
304	0.26
305	0.58
306	0.67
307	0.66
308	0.66
309	0.58
310	0.85
311	0.83
312	1.07
313	0.63
314	0.62
315	0.65
316	0.65
317	0.26
318	0.37
319	0.36
320	0.17
321	0.22
322	0.14
323	0.58
324	0.37
325	0.36
326	0.00
327	0.35
328	0.60
1	0.00
2	0.00
3	0.00
4	0.00
5	0.00
6	0.00
7	0.00
8	0.00
9	0.00
10	0.00
11	0.00
12	0.00
13	0.00
14	0.00
15	0.00
16	0.00
17	0.00
18	0.00
19	0.00
20	0.00
21	0.00
22	0.00
23	0.00
24	0.00
25	0.00
26	0.00
27	0.00
28	0.00
29	0.10
30	0.15
31	0.10
32	0.10
33	0.00
34	0.13
35	0.10
36	0.15
37	0.00
38	0.00
39	0.20
40	0.15
41	0.00
42	0.00
43	0.09
44	0.11
45	0.00
46	0.00
47	0.00
48	0.00
49	0.00
50	0.00
51	0.08
52	0.15
53	0.00
54	0.43
55	0.37
56	0.37
57	0.37
58	0.37
59	0.33
60	0.37
61	0.37
62	0.31
63	0.31
64	0.00
65	0.00
66	0.00
67	0.00
68	0.07
69	0.10
70	0.12
71	0.08
72	0.07
73	0.00
74	0.00
75	0.04
76	0.00
77	0.00
78	0.00
79	0.00
80	0.00
81	0.00
82	0.00
83	0.00
84	0.00
85	0.00
86	0.00
87	0.00
88	0.00
89	0.00
90	0.00
91	0.00
92	0.00
93	0.00
94	0.00
95	0.00
