Compound Id	McGowan characteristic volume in units of (cm3 mol-1)/100
96	0.504
97	0.502
98	1.152
99	1.856
100	2.217
101	2.475
102	2.322
103	2.193
104	1.502
105	2.322
106	2.648
107	1.743
108	2.301
109	1.656
110	2.078
111	1.938
112	1.233
113	2.219
114	1.797
115	1.515
116	3.098
117	2.269
118	2.804
119	1.391
120	1.624
121	1.554
122	2.204
123	2.204
124	1.866
125	1.797
126	1.485
127	1.485
128	2.176
129	1.374
130	2.311
131	3.462
132	1.198
133	2.620
134	1.864
135	3.321
136	3.603
137	2.701
138	3.180
139	1.595
140	1.363
141	1.363
142	1.811
143	1.389
144	2.350
145	2.406
146	2.406
147	2.406
148	2.133
149	1.532
150	2.298
151	2.206
152	1.387
153	1.387
154	1.787
155	2.261
156	2.120
157	1.992
158	1.933
159	2.142
160	2.074
161	2.074
162	1.595
163	2.187
164	3.060
165	2.287
166	1.313
167	1.313
168	2.840
169	2.840
170	2.106
171	2.088
172	2.143
173	2.247
174	1.409
175	2.240
176	3.898
177	1.595
178	1.786
179	1.786
180	2.923
181	3.312
182	2.404
183	1.777
184	2.402
185	4.899
186	2.530
187	2.530
188	2.645
189	2.059
190	2.114
191	2.114
192	3.178
193	1.306
194	2.328
195	1.380
196	2.090
197	2.152
198	2.263
199	2.263
200	2.263
201	1.668
202	2.111
203	1.151
204	2.065
205	3.146
206	1.700
207	1.995
208	1.371
209	2.761
210	2.374
211	2.658
212	1.952
213	2.170
214	2.092
215	2.092
216	1.992
217	1.992
218	1.172
219	1.222
220	2.446
221	2.446
222	1.797
223	1.797
224	1.050
225	1.485
226	2.149
227	2.433
228	1.536
229	1.869
230	1.869
231	2.141
232	2.009
233	2.009
234	2.735
235	1.540
236	1.977
237	2.283
238	2.283
239	1.621
240	1.621
241	2.148
242	1.454
243	1.585
244	2.387
245	2.551
246	2.239
247	3.040
248	2.141
249	2.232
250	0.869
251	1.979
252	0.990
253	0.990
254	5.296
255	2.239
256	2.179
257	2.004
258	2.753
259	1.605
260	1.138
261	1.705
262	2.002
263	2.298
264	2.387
265	3.137
266	2.409
267	2.548
268	2.432
269	2.899
270	2.093
271	2.701
272	2.626
273	2.890
274	2.291
275	0.711
276	3.005
277	1.563
278	3.019
279	2.606
280	2.826
281	1.222
282	1.222
283	1.901
284	1.901
285	2.330
286	2.902
287	2.902
288	2.902
289	2.579
290	2.276
291	1.920
292	1.920
293	2.327
294	2.891
295	2.400
296	1.310
297	3.786
298	3.786
299	0.167
300	1.339
301	0.982
302	1.819
303	2.995
304	1.933
305	1.543
306	2.179
307	2.004
308	2.753
309	1.605
310	1.705
311	2.002
312	2.298
313	2.247
314	2.996
315	2.409
316	2.548
317	2.432
318	2.899
319	2.093
320	2.701
321	2.626
322	2.890
323	1.138
324	3.080
325	1.886
326	2.464
327	2.523
328	2.582
1	0.190
2	0.246
3	0.085
4	0.384
5	0.329
6	0.222
7	0.281
8	0.250
9	0.813
10	0.954
11	1.095
12	1.236
13	1.377
14	1.518
15	0.954
16	1.236
17	1.377
18	1.518
19	0.954
20	1.095
21	0.954
22	0.423
23	0.845
24	0.845
25	0.986
26	1.127
27	1.409
28	1.268
29	0.494
30	0.617
31	0.635
32	0.635
33	0.758
34	0.758
35	0.880
36	0.566
37	0.706
38	0.706
39	0.636
40	0.741
41	0.464
42	0.347
43	0.592
44	0.592
45	0.837
46	0.488
47	1.193
48	1.334
49	1.475
50	0.586
51	0.715
52	0.505
53	0.491
54	0.308
55	0.449
56	0.590
57	0.731
58	0.872
59	0.590
60	0.731
61	0.872
62	0.731
63	0.872
64	0.731
65	1.013
66	0.872
67	1.013
68	0.870
69	0.801
70	0.801
71	0.855
72	0.341
73	0.741
74	0.645
75	0.547
76	0.688
77	0.829
78	0.606
79	0.747
80	0.888
81	1.028
82	1.169
83	0.888
84	1.028
85	1.169
86	0.716
87	0.857
88	0.998
89	0.998
90	0.998
91	0.998
92	0.955
93	1.280
94	1.139
95	1.033
