Compound Id	Carbon atoms contribution to the solvent-accessible surface area
1	0.86
2	0.85
3	0.8
4	0.54
5	0.56
6	0.89
7	0.55
8	0.85
9	0.56
10	0.55
11	0.86
12	0.69
13	0.68
14	0.65
15	0.69
16	0.66
17	0.62
18	0.67
19	0.56
20	0.64
21	0.61
22	0.61
23	0.62
24	0.59
25	0.62
26	0.59
27	0.58
28	0.55
29	0.7
30	0.65
31	0.61
32	0.62
33	0.6
34	0.52
35	0.55
36	0.55
37	0.52
38	0.67
39	0.64
40	0.65
41	0.59
42	0.6
43	0.61
44	0.57
45	0.67
46	0.65
47	0.61
48	0.59
49	0.54
50	0.64
51	0.6
52	0.63
53	0.81
54	0.64
55	0.59
56	0.51
57	0.57
58	0.6
59	0.66
60	0.59
61	0.6
62	0.57
63	0.63
64	0.6
65	0.58
66	0.66
67	0.55
68	0.55
69	0.51
70	0.61
71	0.55
72	0.59
73	0.55
74	0.6
75	0.58
76	0.55
77	0.56
78	0.74
79	0.52
80	0.56
81	0.53
82	0.74
83	0.56
84	0.54
85	0.46
86	0.46
87	0.51
88	0.49
89	0.45
90	0.72
91	0.74
92	0.63
93	0.61
94	0.62
95	0.65
96	0.53
97	0.57
98	0.62
99	0.52
100	0.55
101	0.5
102	0.64
103	0.63
104	0.61
105	0.59
106	0.61
107	0.58
108	0.6
109	0.59
110	0.64
111	0.67
112	0.66
113	0.66
114	0.62
115	0.61
116	0.63
117	0.62
118	0.59
119	0.58
120	0.58
121	0.56
122	0.67
123	0.57
124	0.55
125	0.59
126	0.57
127	0.56
128	0.51
129	0.47
130	0.7
131	0.66
132	0.6
133	0.63
134	0.62
135	0.53
136	0.47
137	0.48
138	0.5
139	0.51
140	0.45
141	0.55
142	0.58
143	0.6
144	0.61
145	0.63
146	0.6
147	0.59
148	0.57
149	0.63
150	0.61
151	0.56
152	0.49
153	0.51
154	0.6
155	0.68
156	0.67
157	0.52
158	0.49
159	0.52
160	0.5
161	0.54
162	0.53
163	0.6
164	0.52
165	0.57
166	0.58
167	0.57
168	0.53
169	0.55
170	0.53
171	0.34
172	0.38
173	0.62
174	0.43
175	0.84
176	0.35
177	0.44
178	0.39
179	0.38
180	0.42
181	0.36
182	0.33
183	0.58
184	0.58
185	0.57
186	0.54
187	0.54
188	0.53
189	0.61
