Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	-2.67
2	-2.31
3	-1.88
4	-1.43
5	-1.37
6	-1.79
7	-1.24
8	-0.38
9	0.58
10	0.86
11	1.34
12	1.95
13	2.15
14	-1.96
15	-0.77
16	-0.46
17	-1.37
18	-2.20
19	-1.75
20	-1.46
21	-0.15
22	0.07
23	0.58
24	-1.17
25	-0.45
26	-0.46
27	-1.44
28	-1.21
29	0.87
30	-1.23
31	1.09
32	0.55
33	-0.29
34	-0.13
35	0.53
36	1.08
37	0.87
38	1.07
39	-0.50
40	0.12
41	0.14
42	0.05
43	0.05
44	0.17
45	0.56
46	0.59
47	-0.46
48	-0.29
49	-0.03
50	-0.21
51	-0.04
52	0.12
53	0.28
54	0.21
55	0.64
56	0.91
57	1.30
58	1.58
59	1.23
60	0.33
61	1.09
62	0.75
63	0.54
64	0.80
65	1.20
66	-0.33
67	-0.14
68	1.36
69	0.09
70	-0.23
71	-0.55
72	-0.42
73	-0.05
74	0.28
75	-0.35
76	-0.14
77	0.05
78	1.07
79	0.78
80	-0.25
81	0.01
82	0.58
83	0.71
84	0.88
85	1.38
86	0.08
87	0.03
88	1.35
89	0.56
90	1.37
91	1.35
92	1.30
93	1.01
94	0.77
95	-0.02
96	0.20
97	0.75
98	0.76
99	1.98
100	0.53
101	1.13
102	0.39
103	0.63
104	0.21
105	1.07
106	0.99
107	1.13
108	1.13
109	0.68
110	0.82
111	1.25
112	0.76
113	1.30
114	0.64
115	-0.75
116	-0.48
117	-0.11
118	-0.25
119	-0.09
120	0.36
121	1.20
122	-0.53
123	-0.41
124	-0.42
