Compound Id	Mode of action
1	Non-covalent narcotic
2	Non-covalent narcotic
3	Non-covalent narcotic
4	Non-covalent narcotic
5	Non-covalent narcotic
6	Non-covalent narcotic
7	Non-covalent narcotic
8	Non-covalent narcotic
9	Non-covalent narcotic
10	Non-covalent narcotic
11	Non-covalent narcotic
12	Non-covalent narcotic
13	Non-covalent narcotic
14	Non-covalent narcotic
15	Non-covalent narcotic
16	Non-covalent narcotic
17	Non-covalent narcotic
18	Non-covalent narcotic
19	Non-covalent narcotic
20	Non-covalent narcotic
21	Non-covalent narcotic
22	Non-covalent narcotic
23	Non-covalent narcotic
24	Non-covalent narcotic
25	Non-covalent narcotic
26	Non-covalent narcotic
27	Non-covalent narcotic
28	Non-covalent narcotic
29	Non-covalent narcotic
30	Non-covalent narcotic
31	Non-covalent narcotic
32	Non-covalent narcotic
33	Non-covalent narcotic
34	Non-covalent narcotic
35	Non-covalent narcotic
36	Non-covalent narcotic
37	Non-covalent narcotic
38	Non-covalent narcotic
39	Non-covalent narcotic
40	Non-covalent narcotic
41	Non-covalent bioreactive
42	Non-covalent bioreactive
43	Non-covalent bioreactive
44	Non-covalent bioreactive
45	Non-covalent bioreactive
46	Non-covalent bioreactive
47	Non-covalent bioreactive
48	Non-covalent bioreactive
49	Non-covalent bioreactive
50	Non-covalent bioreactive
51	Non-covalent bioreactive
52	Non-covalent bioreactive
53	Non-covalent bioreactive
54	Non-covalent bioreactive
55	Non-covalent bioreactive
56	Non-covalent bioreactive
57	Non-covalent bioreactive
58	Non-covalent bioreactive
59	Non-covalent bioreactive
60	Non-covalent bioreactive
61	Non-covalent bioreactive
62	Non-covalent bioreactive
63	Non-covalent bioreactive
64	Non-covalent bioreactive
65	Non-covalent bioreactive
66	Non-covalent bioreactive
67	Non-covalent bioreactive
68	Non-covalent bioreactive
69	Non-covalent bioreactive
70	Non-covalent bioreactive
71	Non-covalent bioreactive
72	Non-covalent bioreactive
73	Non-covalent bioreactive
74	Non-covalent bioreactive
75	Non-covalent bioreactive
76	Non-covalent bioreactive
77	Non-covalent bioreactive
78	Non-covalent bioreactive
79	Non-covalent bioreactive
80	Non-covalent bioreactive
81	Non-covalent bioreactive
82	Non-covalent bioreactive
83	Non-covalent bioreactive
84	Non-covalent bioreactive
85	Non-covalent bioreactive
86	Non-covalent bioreactive
87	Non-covalent bioreactive
88	Non-covalent bioreactive
89	Non-covalent bioreactive
90	Non-covalent bioreactive
91	Non-covalent bioreactive
92	Non-covalent bioreactive
93	Non-covalent bioreactive
94	Non-covalent bioreactive
95	Non-covalent bioreactive
96	Non-covalent bioreactive
97	Covalent bioreactive
98	Covalent bioreactive
99	Covalent bioreactive
100	Covalent bioreactive
101	Covalent bioreactive
102	Covalent bioreactive
103	Covalent bioreactive
104	Covalent bioreactive
105	Covalent bioreactive
106	Covalent bioreactive
107	Covalent bioreactive
108	Covalent bioreactive
109	Covalent bioreactive
110	Covalent bioreactive
111	Covalent bioreactive
112	Covalent bioreactive
113	Covalent bioreactive
114	Covalent bioreactive
115	Covalent bioreactive
116	Covalent bioreactive
117	Covalent bioreactive
118	Covalent bioreactive
119	Covalent bioreactive
120	Covalent bioreactive
121	Covalent bioreactive
122	Covalent bioreactive
123	Covalent bioreactive
124	Covalent bioreactive
