Compound Id	96-h Guppy toxicity as log(1/LC50)
1	-2.94
2	-2.44
3	-2.16
4	-1.37
5	-1.29
6	-1.68
7	-1.05
8	0.02
9	0.98
10	1.40
11	1.81
12	2.21
13	2.26
14	-1.96
15	-0.85
16	-0.31
17	-0.92
18	-2.10
19	-1.65
20	-1.26
21	0.55
22	0.66
23	1.43
24	-1.01
25	0.16
26	-0.13
27	0.06
28	-0.71
29	1.07
30	-0.73
31	1.69
32	0.48
33	0.36
34	0.77
35	1.40
36	1.83
37	1.74
38	1.60
39	0.13
40	0.48
41	-0.03
42	0.59
43	0.65
44	0.67
45	1.39
46	1.21
47	0.45
48	0.77
49	0.48
50	0.74
51	0.86
52	0.92
53	1.21
54	1.07
55	1.09
56	1.46
57	1.90
58	2.12
59	1.81
60	0.96
61	1.76
62	1.50
63	1.18
64	1.33
65	1.66
66	0.22
67	0.05
68	1.58
69	0.63
70	-0.09
71	0.12
72	0.47
73	0.72
74	0.33
75	0.21
76	0.65
77	0.52
78	1.16
79	1.06
80	1.31
81	0.98
82	1.99
83	1.62
84	1.34
85	1.78
86	1.15
87	0.24
88	0.67
89	1.41
90	1.39
91	2.15
92	1.92
93	0.56
94	0.77
95	0.78
96	0.69
97	0.93
98	0.85
99	3.19
100	1.48
101	1.63
102	0.72
103	1.01
104	1.42
105	1.66
106	1.46
107	1.59
108	1.58
109	1.52
110	1.44
111	2.15
112	1.64
113	2.63
114	1.16
115	0.59
116	0.72
117	0.82
118	1.01
119	1.11
120	1.21
121	1.69
122	0.43
123	0.94
124	1.42
