Compound Id	logKowmix
1	1.89
2	1.79
3	2.27
4	3.28
5	1.48
6	1.98
7	3.53
8	2
9	3.44
10	0.88
11	2.64
12	4.57
13	3
14	1.51
15	0.56
16	-0.54
17	3.33
18	3.8
19	3.84
20	3.15
21	2.82
22	2.17
23	3.45
24	3.72
25	3.52
26	3.69
27	2.73
28	2.78
29	3.06
30	4.24
31	1.68
32	2.3
33	2.75
34	3.06
35	1.83
36	2.33
37	2.76
38	2.75
39	3.15
40	2.36
41	0.83
42	1.9
43	2.15
44	1.74
45	2.47
46	0.05
47	-0.77
48	1.32
49	1.95
50	3.32
51	2.69
52	3.33
53	1.84
54	2.23
55	2.17
56	1.88
57	3.28
58	2.11
59	2.4
60	1.4
61	1.96
62	1.83
63	3.33
64	1.96
65	2.58
66	1.39
67	-0.24
68	0.9
69	2.13
70	3.18
71	3.44
72	1.23
73	0.81
74	1.25
75	0.89
76	0.73
77	-1.36
78	0.76
79	3.2
80	3.12
81	3.22
82	3.15
83	3.4
84	2.83
85	2.73
86	2.42
87	1.97
88	2.39
89	4.02
90	3.77
91	2.67
92	2.84
93	2.48
94	2.72
95	1.84
96	-0.32
97	0.35
98	3.95
99	2.9
100	3.62
101	2.35
102	2.5
103	1.21
104	2.39
105	1.94
106	2.03
107	2.84
108	1.46
