Compound Id	Elumo
1	0.324
2	0.5819
3	0.7594
4	-0.1422
5	1.1304
6	1.0511
7	-0.158
8	1.0193
9	-0.216
10	3.4247
11	1.5107
12	3.3318
13	3.3434
14	3.3909
15	2.2951
16	2.4835
17	-0.22
18	-0.4692
19	-0.5546
20	0.381
21	-9.93E-03
22	0.592
23	-0.2913
24	-0.5114
25	-0.2403
26	-0.5015
27	0.431
28	0.0158
29	-0.1969
30	-0.1489
31	0.6092
32	0.452
33	-0.0664
34	-0.2883
35	0.5654
36	0.3891
37	-6.24E-03
38	-0.2579
39	0.6068
40	0.3943
41	2.6583
42	0.2853
43	0.0655
44	0.6082
45	0.4053
46	2.6463
47	2.8031
48	0.6005
49	0.4092
50	-0.2197
51	3.95E-03
52	-0.2364
53	0.6092
54	0.4021
55	0.6071
56	0.2627
57	0.1815
58	0.6114
59	0.3859
60	0.6056
61	0.3765
62	0.2921
63	0.1351
64	0.622
65	0.4381
66	0.6156
67	0.8442
68	0.6393
69	0.5546
70	-0.4753
71	3.6556
72	3.3693
73	0.9216
74	0.5947
75	2.9805
76	1.1487
77	3.1397
78	3.4557
79	0.5297
80	0.5231
81	-0.6813
82	0.4871
83	-0.4374
84	-1.1168
85	0.5204
86	-0.0611
87	-0.3036
88	-0.0738
89	-0.4692
90	-0.5627
91	0.3646
92	-0.2487
93	0.3859
94	0.6298
95	0.5955
96	2.6744
97	3.4383
98	-0.1372
99	-0.0422
100	-0.2849
101	0.3887
102	0.0187
103	3.4813
104	0.0947
105	0.429
106	3.3679
107	0.1545
108	0.3974
