Compound Id	MW
1	133.4047
2	98.9596
3	147.4315
4	147.0036
5	98.9596
6	112.9864
7	147.0036
8	112.9864
9	147.0036
10	74.122
11	92.5681
12	158.2829
13	130.2292
14	88.1488
15	162.2273
16	134.1736
17	196.4636
18	197.4477
19	197.4477
20	136.1928
21	162.0185
22	121.1819
23	196.4636
24	197.4477
25	196.4636
26	197.4477
27	136.1928
28	162.0185
29	163.0026
30	161.0304
31	121.1819
32	122.166
33	162.0185
34	163.0026
35	121.1819
36	122.166
37	162.0185
38	163.0026
39	149.2356
40	122.166
41	118.1746
42	127.5734
43	128.5575
44	121.1819
45	122.166
46	104.1478
47	76.0942
48	107.1551
49	108.1392
50	196.4636
51	162.0185
52	163.0026
53	121.1819
54	122.166
55	121.1819
56	127.5734
57	126.5853
58	121.1819
59	122.166
60	107.1551
61	108.1392
62	127.5734
63	126.5853
64	121.1819
65	122.166
66	107.1551
67	58.0794
68	93.1283
69	78.1134
70	182.2211
71	84.1608
72	100.1598
73	98.144
74	84.9328
75	74.122
76	88.1052
77	62.0674
78	74.122
79	106.167
80	106.167
81	202.2949
82	106.167
83	165.834
84	153.823
85	92.1402
86	131.3889
87	119.3779
88	167.8498
89	181.4487
90	197.4477
91	136.1928
92	163.0026
93	122.166
94	135.2087
95	121.1819
96	90.121
97	74.122
98	161.0304
99	162.0185
100	163.0026
101	122.166
102	128.5575
103	88.1488
104	128.5575
105	108.1392
106	102.1756
107	112.5585
108	94.1124
