Compound Id	Hydrophobicity
1	2.62
2	2.03
3	0.05
4	0.84
5	1.51
6	4.57
7	4.02
8	3.07
9	-0.74
10	-0.31
11	0.25
12	1.28
13	0.89
14	0.89
15	1.42
16	1.21
17	1.28
18	1.31
19	0.61
20	0.76
21	0.35
22	1.23
23	2.90
24	-0.83
25	2.14
26	-0.92
27	1.65
28	2.31
29	1.76
30	2.24
31	2.90
32	4.28
33	1.71
34	1.75
35	2.73
36	3.07
37	2.73
38	3.22
39	3.71
40	2.73
41	0.62
42	-0.29
43	0.69
44	-0.29
45	0.27
46	0.76
47	2.66
48	2.73
49	3.60
50	0.58
51	2.09
52	2.85
53	4.70
54	4.70
55	3.71
56	4.21
57	3.22
58	2.73
59	5.15
60	5.26
61	5.75
62	5.19
63	5.19
64	0.20
65	2.37
66	0.29
67	0.82
68	2.71
69	3.77
70	1.73
71	4.68
72	-0.24
73	3.16
74	1.88
75	1.98
76	4.68
77	4.09
78	0.56
79	1.31
80	1.31
81	1.38
82	4.18
83	3.20
84	0.81
85	1.20
86	1.05
87	1.54
88	0.64
89	0.76
90	0.20
91	0.80
92	-1.26
93	-0.66
94	-0.21
95	0.24
96	-1.05
97	-0.21
98	0.29
99	0.67
100	-0.77
101	-0.21
102	-0.25
103	-0.11
104	0.50
105	2.96
106	2.11
107	2.79
108	2.81
109	2.74
110	3.80
111	2.68
112	2.98
113	3.47
114	3.74
115	2.40
116	2.81
117	3.23
118	3.15
119	3.66
120	3.63
121	4.26
122	4.90
123	2.99
124	3.92
125	3.53
126	3.08
127	3.79
128	3.25
129	3.09
130	3.72
131	3.55
132	2.95
133	2.84
134	4.02
135	3.38
136	3.44
137	4.17
138	4.17
139	4.05
140	3.53
141	4.19
142	2.13
143	4.34
144	4.79
145	4.05
146	2.87
147	2.27
148	2.76
149	2.20
150	2.64
151	3.01
152	3.74
153	3.97
154	3.59
155	2.70
156	3.74
157	2.40
158	2.95
159	2.40
160	4.23
161	2.96
162	3.21
163	3.49
164	2.52
165	4.28
166	3.23
167	3.79
168	3.12
169	2.84
170	1.05
171	1.96
172	1.36
173	2.99
174	2.53
175	2.11
176	1.58
177	1.97
178	1.60
179	1.28
180	1.62
181	1.77
182	1.97
183	1.31
184	2.24
185	2.84
186	2.08
187	1.95
188	1.94
189	3.98
190	4.63
191	4.80
192	3.96
193	3.18
194	3.10
195	2.69
196	3.65
197	1.49
198	1.41
199	0.96
200	0.18
201	0.73
202	1.24
203	1.82
204	1.72
205	2.34
206	1.21
207	2.34
208	2.26
209	2.23
210	2.76
211	0.84
212	1.85
213	1.29
214	1.85
215	2.83
216	4.32
217	3.32
218	2.83
219	2.34
220	2.83
221	4.79
222	1.83
223	2.20
224	1.96
225	1.38
226	4.41
227	4.79
228	2.83
229	1.56
230	2.47
231	2.57
232	3.18
233	4.72
234	3.27
235	2.34
236	2.83
237	2.34
238	2.83
239	3.67
240	0.29
241	2.59
242	4.11
243	2.18
244	4.09
245	2.69
246	-0.67
247	0.31
248	0.31
249	0.27
250	3.86
251	2.85
252	3.97
253	0.03
254	0.83
255	1.30
256	1.23
257	1.19
258	2.26
259	0.97
260	3.81
261	1.78
262	1.71
263	2.28
264	1.79
265	1.15
266	1.63
267	2.56
268	1.28
269	1.78
270	2.68
271	1.83
272	1.77
273	1.77
274	3.67
275	5.15
276	1.76
277	4.00
278	0.83
279	1.07
280	2.51
281	2.67
282	4.12
283	3.22
284	2.24
285	2.46
286	2.40
287	2.25
288	4.36
289	3.80
290	2.75
291	4.89
292	3.37
293	3.90
294	3.97
295	3.83
296	3.07
297	3.07
298	2.58
299	2.28
300	4.15
301	2.57
302	2.75
303	3.06
304	3.54
305	4.52
306	2.87
307	2.64
308	2.86
309	3.90
310	3.39
311	3.35
312	3.87
313	3.63
314	3.74
315	4.93
316	4.00
317	4.37
318	4.31
319	4.07
320	2.95
321	2.37
322	2.36
323	2.45
324	2.74
325	3.37
326	3.90
327	4.06
328	4.34
329	3.97
330	4.40
331	2.43
332	1.56
333	1.74
334	2.21
335	2.09
336	2.09
337	2.45
338	2.18
339	2.47
340	3.30
341	1.56
342	3.12
343	4.77
344	0.60
345	-0.34
346	1.66
347	0.16
348	2.75
349	4.27
350	0.94
351	1.72
352	2.21
353	1.08
354	0.85
355	1.98
356	0.46
357	2.31
358	0.40
359	1.54
360	1.11
361	0.59
362	-0.32
363	1.47
364	2.70
365	0.87
366	2.01
367	3.65
368	-0.13
369	1.69
370	3.17
371	0.91
372	1.36
373	2.21
374	2.11
375	1.42
376	1.98
377	2.97
378	2.48
379	2.48
380	3.43
381	2.51
382	2.03
383	2.05
384	3.44
385	4.04
386	3.18
387	3.79
388	3.69
389	3.79
390	3.69
391	3.35
392	1.63
393	2.19
394	2.77
395	4.62
396	3.64
397	3.15
398	4.13
399	2.15
400	1.96
401	1.74
402	1.22
403	1.67
404	1.28
405	1.11
406	1.20
407	1.34
408	1.33
409	2.63
410	2.57
411	3.06
412	3.06
413	-0.23
414	1.90
415	2.00
416	2.39
417	1.90
418	1.60
419	1.42
420	0.84
