Compound Id	Logarithm of vapor pressure
88	-3.52
89	-4.07
90	-0.97
91	-2.43
92	-1.40
93	-1.42
94	-2.41
95	-2.17
96	-0.36
97	-0.65
98	-1.30
99	-1.35
100	0.30
101	0.06
102	-1.90
103	0.10
104	-0.13
105	-0.69
106	0.55
107	-0.39
108	0.08
109	-0.31
110	-0.95
111	-0.62
112	-0.30
113	-0.78
114	-1.89
115	0.31
116	-0.08
117	0.48
118	0.95
119	0.65
120	0.32
121	0.03
122	-0.36
123	0.62
124	-0.15
125	-0.59
126	0.57
127	-1.24
128	0.03
129	-0.61
130	-0.87
131	-0.87
132	-0.04
133	1.08
134	-0.34
135	0.17
136	0.24
137	-1.79
138	-1.77
139	-0.68
140	0.33
141	-0.34
142	1.98
143	-0.85
144	-1.14
145	-2.27
146	-1.15
147	-1.93
148	-1.24
149	-0.42
150	-0.57
151	-0.87
152	-2.00
153	-3.65
154	-2.77
155	-0.99
156	-1.71
157	-1.71
158	-2.02
159	-2.02
160	-2.19
161	-1.34
162	-2.09
163	-2.73
164	-0.71
165	-2.23
166	-1.38
167	-2.07
168	-1.82
169	-5.58
170	-1.03
171	-2.57
172	-1.40
173	-2.93
174	-2.50
175	-2.30
176	-1.96
177	-2.80
178	-1.54
179	-1.16
180	-1.92
181	-2.42
182	-2.80
183	-1.16
184	-3.98
185	-5.58
186	-0.68
187	-0.28
188	-2.13
189	-2.05
190	-2.19
191	-3.03
192	-2.11
193	-5.63
194	-5.19
195	-5.07
196	-5.25
197	-0.40
198	-3.85
199	-0.57
200	2.33
201	1.97
202	1.56
203	1.06
204	1.23
205	0.54
206	1.55
207	0.77
208	0.81
209	1.08
210	0.35
211	1.92
212	1.14
213	1.51
214	1.11
215	0.26
216	-0.74
217	-0.27
218	0.11
219	0.57
220	0.12
221	-1.51
222	-0.80
223	0.76
224	1.28
225	0.90
226	-1.43
227	-2.46
228	0.26
229	-2.51
230	-2.68
231	-2.32
232	-0.21
233	-4.70
234	-3.88
235	0.68
236	0.26
237	0.65
238	0.56
239	-0.64
240	-0.68
241	-0.54
242	-2.62
243	-0.75
244	-2.15
245	0.23
246	-3.49
247	-0.74
248	-0.74
249	0.13
250	-0.64
251	-1.74
252	-2.17
253	2.77
254	1.92
255	1.46
256	1.60
257	1.94
258	0.92
259	1.43
260	-0.66
261	1.23
262	1.12
263	0.49
264	0.99
265	-1.15
266	0.94
267	-0.15
268	1.78
269	1.25
270	0.64
271	1.55
272	1.40
273	1.35
274	-0.64
275	-1.88
276	1.67
277	-0.07
278	-0.06
279	2.03
280	0.18
281	-0.36
282	-3.08
283	-0.31
284	1.69
285	1.41
286	1.72
287	1.12
288	0.10
289	0.59
290	1.62
291	-0.42
292	1.10
293	-0.36
294	-1.26
295	-0.11
296	1.33
297	1.54
298	1.79
299	1.18
300	0.45
301	1.63
302	1.52
303	1.14
304	0.97
305	-0.02
306	1.31
307	2.00
308	1.95
309	2.18
310	2.71
311	-1.07
312	-1.17
313	-2.01
314	-2.26
315	-3.68
316	-1.26
317	-1.99
318	-1.90
319	-2.31
320	0.81
321	-4.35
322	-5.02
323	-4.65
324	-5.02
325	-0.77
326	-1.54
327	-2.01
328	-2.76
329	-2.58
330	-1.28
331	-2.14
332	-0.11
333	-0.33
334	-0.35
335	-0.73
336	-0.50
337	-2.47
338	-1.12
339	-1.66
340	-4.02
341	-1.05
342	-0.98
343	-2.63
344	1.29
345	1.95
346	0.45
347	1.68
348	-0.41
349	-1.63
350	0.86
351	-1.82
352	-1.97
353	1.54
354	0.86
355	-1.13
356	1.51
357	-0.08
358	1.27
359	0.47
360	0.61
361	-2.21
362	-3.17
363	0.54
364	-0.29
365	1.00
366	0.14
367	-4.26
368	0.74
369	0.07
370	-1.62
371	-1.55
372	-1.06
373	-2.84
374	-2.33
375	-1.26
376	-2.00
377	-2.83
378	-2.49
379	-2.33
380	-3.66
381	-4.62
382	-1.22
383	-4.62
384	-4.27
385	-1.97
386	-2.71
387	-3.95
388	-3.35
389	-3.86
390	-2.90
391	-3.03
392	-0.40
393	-0.77
394	-1.07
395	-2.37
396	-1.93
397	-1.45
398	-2.33
399	0.54
400	-1.11
401	-2.19
402	0.76
403	0.36
404	0.65
405	1.05
406	0.78
407	0.34
408	0.64
409	-2.35
410	-3.50
411	-2.20
412	-2.49
413	1.03
414	0.09
415	-0.09
416	0.16
417	0.50
418	0.24
419	-0.29
420	1.42
421	0.69
422	0.47
423	-1.40
424	-1.58
425	1.73
426	1.32
427	0.14
428	-3.50
429	-0.37
430	-0.59
431	-1.01
432	-0.55
433	-0.88
434	-1.19
435	0.81
436	0.08
437	-1.33
438	1.78
439	0.96
440	-2.04
441	-2.13
442	-1.99
443	-2.68
444	-2.46
445	-0.73
446	-1.64
447	-0.21
448	0.12
449	-0.96
450	0.60
451	-1.79
452	-0.62
453	-1.87
454	-1.58
455	-2.92
456	-0.92
457	-0.46
458	1.38
459	1.34
460	1.90
461	1.05
462	0.06
463	0.09
464	-0.33
465	-0.46
466	-0.50
467	-1.50
468	-0.38
469	1.45
470	1.20
471	-0.03
472	1.00
473	0.37
474	0.42
475	0.55
476	1.37
477	0.35
478	0.78
479	0.96
480	0.52
481	0.77
482	-0.09
483	1.17
484	-0.05
485	-0.28
486	-2.19
487	-0.03
488	0.14
489	-2.15
490	-0.07
491	-0.59
492	-0.87
493	0.71
494	-1.15
495	-1.71
496	1.10
497	-3.35
498	-1.70
499	-2.81
500	-2.33
501	-2.33
502	-1.90
503	-1.64
504	-1.83
505	-2.40
506	-3.88
507	-2.49
508	-1.53
509	-1.97
510	-2.30
