Compound Id	Hydrophobicity
1	1.46
2	2.12
3	1.94
4	2.30
5	3.42
6	3.42
7	2.58
8	3.18
9	0.33
10	2.64
11	3.31
12	3.98
13	3.36
14	0.88
15	0.80
16	1.58
17	1.34
18	3.75
19	2.15
20	2.48
21	3.10
22	1.97
23	2.92
24	3.69
25	4.45
26	4.21
27	4.29
28	4.02
29	1.85
30	1.91
31	1.75
32	1.54
33	3.36
34	2.56
35	0.90
36	1.39
37	1.96
38	3.15
39	2.79
40	3.66
41	1.90
42	3.33
43	4.10
44	2.22
45	2.62
46	2.62
47	2.47
48	3.66
49	3.78
50	4.26
51	4.91
52	4.09
53	2.86
54	3.38
55	4.02
56	4.82
57	4.22
58	4.34
59	2.99
60	1.85
61	2.45
62	1.80
63	2.41
64	2.24
65	1.46
66	2.00
67	2.49
68	2.65
69	0.16
70	1.34
71	1.12
72	-0.08
73	1.68
74	-0.37
75	-0.06
76	3.33
77	-0.50
78	-1.83
79	1.83
80	2.26
81	1.15
82	1.31
83	5.12
84	6.36
85	5.74
86	2.69
87	5.27
88	6.32
89	6.95
90	6.07
91	5.34
92	5.17
93	1.91
