Compound Id	Average acceptor superdelocalizability
1	0.285
2	0.285
3	0.285
4	0.285
5	0.286
6	0.286
7	0.285
8	0.285
9	0.285
10	0.285
11	0.286
12	0.286
13	0.285
14	0.310
15	0.287
16	0.287
17	0.288
18	0.292
19	0.299
20	0.299
21	0.299
22	0.325
23	0.322
24	0.327
25	0.339
26	0.338
27	0.340
28	0.320
29	0.311
30	0.339
31	0.340
32	0.340
33	0.339
34	0.339
35	0.279
36	0.279
37	0.279
38	0.279
39	0.280
40	0.283
41	0.292
42	0.318
43	0.331
44	0.336
45	0.308
46	0.308
47	0.308
48	0.282
49	0.283
50	0.282
51	0.282
52	0.283
53	0.296
54	0.309
55	0.324
56	0.337
57	0.310
58	0.344
59	0.294
60	0.309
61	0.309
62	0.321
63	0.324
64	0.323
65	0.339
66	0.337
67	0.367
68	0.381
69	0.304
70	0.286
71	0.297
72	0.296
73	0.285
74	0.304
75	0.302
76	0.304
77	0.296
78	0.306
79	0.292
80	0.290
81	0.289
82	0.304
83	0.351
84	0.285
85	0.340
86	0.305
87	0.279
88	0.279
89	0.289
90	0.288
91	0.352
92	0.350
93	0.312
