Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	N/A
2	-1.26
3	-0.64
4	-0.58
5	1.19
6	N/A
7	1.03
8	0.09
9	0.25
10	-1.46
11	0.36
12	0.55
13	1.18
14	0.77
15	0.47
16	0.03
17	0.19
18	0.22
19	1.26
20	-0.55
21	0.10
22	-0.39
23	-0.52
24	0.57
25	1.80
26	1.17
27	1.31
28	-0.23
29	0.61
30	-0.14
31	-0.35
32	1.55
33	1.29
34	0.72
35	1.21
36	0.93
37	0.96
38	-0.08
39	0.27
40	1.41
41	1.55
42	1.52
43	0.70
44	1.72
45	1.68
46	0.93
47	0.51
48	1.68
49	1.34
50	0.16
51	0.34
52	0.29
53	1.66
54	0.95
55	1.47
56	0.52
57	-0.34
58	1.00
59	0.49
60	1.37
61	0.92
62	0.40
63	1.32
64	1.10
65	0.49
66	N/A
67	0.77
68	0.62
69	0.18
70	1.34
71	0.85
