Compound Id	ChiPathCluster [SPC-5]
13837650	0.0
29015	0.0
258	0.0
7714	0.0
7882	0.0
7837	0.0
7812	0.0
932	0.0
6040	0.0
1004	0.0
10445	2.041
6320	0.0
6312	0.0
6146	0.0
21011	0.289
3644	0.0
29000	0.289
175	0.0
6102	0.0
236	0.0
7224	0.595
7673	0.433
6321	0.0
29012	0.204
5730	0.0
7676	0.433
5977	0.0
7787	0.0
7679	0.433
14840	0.0
8569	0.0
121365	0.433
6104	0.0
3168	0.0
12181	1.305
7890	0.0
682	0.0
8525	0.289
7219	0.595
9614	0.433
8560	0.0
7767	0.0
864	0.0
6335	0.0
14672	0.354
7674	0.433
7641	1.093
11752	0.289
11815	0.0
13014	1.040
6334	0.0
28994	0.0
12814	1.040
7849	0.0
349	0.0
6967	1.040
7712	0.0
7636	1.040
7521	0.760
29080	1.457
7737	0.0
1108	0.433
13619	0.0
