Compound Id	MannholdLogP
13837650	1.46
29015	1.68
258	1.79
7714	1.79
7882	2.45
7837	2.12
7812	2.01
932	2.23
6040	1.90
1004	1.68
10445	2.34
6320	1.79
6312	1.79
6146	1.79
21011	1.90
3644	1.68
29000	1.90
175	1.68
6102	1.57
236	2.12
7224	2.12
7673	2.01
6321	1.79
29012	1.90
5730	1.13
7676	2.01
5977	1.24
7787	2.12
7679	2.01
14840	2.56
8569	2.23
121365	2.23
6104	1.35
3168	1.79
12181	1.90
7890	2.78
682	1.57
8525	1.68
7219	2.34
9614	2.01
8560	2.23
7767	2.12
864	1.46
6335	1.57
14672	1.90
7674	2.23
7641	2.34
11752	1.68
11815	1.57
13014	1.90
6334	1.57
28994	1.46
12814	1.79
7849	2.45
349	2.34
6967	2.34
7712	2.01
7636	1.57
7521	2.34
29080	1.57
7737	1.79
1108	2.23
13619	2.67
