Compound Id	ChiPath [VP-3]
13837650	0.643
29015	0.744
258	0.512
7714	0.754
7882	2.012
7837	1.262
7812	1.012
932	1.512
6040	0.762
1004	0.224
10445	1.021
6320	0.591
6312	0.365
6146	0.0
21011	0.706
3644	0.0
29000	0.706
175	0.0
6102	0.0
236	0.667
7224	0.903
7673	1.262
6321	0.498
29012	0.803
5730	0.0
7676	0.985
5977	0.0
7787	1.5
7679	1.411
14840	1.957
8569	1.284
121365	1.610
6104	0.0
3168	0.408
12181	1.209
7890	2.457
682	0.0
8525	0.348
7219	1.251
9614	0.733
8560	1.207
7767	0.957
864	0.0
6335	0.287
14672	0.612
7674	1.894
7641	1.174
11752	0.426
11815	0.287
13014	1.560
6334	0.352
28994	0.118
12814	1.310
7849	1.707
349	1.457
6967	1.426
7712	0.707
7636	0.733
7521	1.218
29080	2.184
7737	0.827
1108	0.940
13619	2.207
