Compound Id	WienerNumbers [WPOL]
13837650	1.0
29015	3.0
258	2.0
7714	2.0
7882	8.0
7837	5.0
7812	4.0
932	6.0
6040	3.0
1004	1.0
10445	5.0
6320	2.0
6312	2.0
6146	0.0
21011	3.0
3644	0.0
29000	3.0
175	0.0
6102	0.0
236	3.0
7224	7.0
7673	5.0
6321	2.0
29012	5.0
5730	0.0
7676	5.0
5977	0.0
7787	3.0
7679	5.0
14840	7.0
8569	6.0
121365	9.0
6104	0.0
3168	2.0
12181	8.0
7890	9.0
682	0.0
8525	3.0
7219	7.0
9614	5.0
8560	4.0
7767	3.0
864	0.0
6335	2.0
14672	3.0
7674	5.0
7641	7.0
11752	3.0
11815	2.0
13014	8.0
6334	2.0
28994	1.0
12814	5.0
7849	6.0
349	5.0
6967	8.0
7712	2.0
7636	4.0
7521	7.0
29080	4.0
7737	0.0
1108	5.0
13619	8.0
