Compound Id	HybridizationRatio
13837650	1.0
29015	1.0
258	1.0
7714	1.0
7882	1.0
7837	1.0
7812	1.0
932	1.0
6040	1.0
1004	1.0
10445	1.0
6320	1.0
6312	1.0
6146	1.0
21011	1.0
3644	1.0
29000	1.0
175	0.667
6102	1.0
236	0.0
7224	0.0
7673	0.0
6321	0.75
29012	0.833
5730	1.0
7676	0.0
5977	1.0
7787	1.0
7679	0.833
14840	1.0
8569	1.0
121365	0.889
6104	1.0
3168	1.0
12181	0.833
7890	1.0
682	1.0
8525	0.75
7219	0.25
9614	0.0
8560	1.0
7767	1.0
864	1.0
6335	0.667
14672	1.0
7674	1.0
7641	0.25
11752	0.75
11815	0.667
13014	0.833
6334	0.667
28994	0.5
12814	0.8
7849	1.0
349	1.0
6967	0.25
7712	1.0
7636	0.75
7521	0.25
29080	1.0
7737	1.0
1108	0.143
13619	1.0
