Compound Id,LogBCF
e2,-0.22
e6,-0.17
e8,2.07
e11,1.99
e21,0.2
e23,-0.2
e24,-0.04
e40,0.87
e41,0.22
e50,1.18
e68,3.61
e76,1.41
e78,0.98
e79,2.23
e83,1.09
e84,0.75
e89,2.81
e96,1.94
e98,0.1
e103,0.38
e104,-0.14
e112,1.59
e118,3.63
e128,1.03
e144,1.15
e147,-0.13
e160,0.64
e165,0.77
e172,-0.4
e177,2.39
e190,2.43
e191,0.34
e196,2.47
e197,0.23
e202,2.78
e203,0.12
e214,1.24
e219,0.32
e222,0.13
e238,2.36
e240,2.71
e243,0.66
e246,1.84
e251,0.45
e252,1.12
e254,1.14
e257,0.88
e260,1
e264,0.79
e288,0.53
e301,0.34
e302,0
e303,2.6
e304,2.03
e305,1.46
e307,0.2
e309,0.08
e312,3.18
e315,1.7
e323,0.4
e327,0.2
e332,2.31
e335,0.16
e341,1.65
e343,1.4
e349,0.46
e358,1.34
e363,-0.2
e377,2
e378,3.12
e379,2.36
e381,3.8
e382,2.33
e384,-0.8
e386,0.26
e388,0.58
e390,0.91
e398,1.32
e399,2.56
e402,2.15
e403,3.35
e404,4.4
e405,0.24
e406,3.6
e407,0.49
e409,0.31
e413,1.2
e414,0.64
e420,0.6
e422,3.51
e424,1.74
e427,4.57
e429,0.45
e431,3.75
e435,1.12
e436,0.4
e437,-0.03
e438,4.11
e441,3.58
e448,1.48
e450,4.39
e451,4.05
e452,1.04
e459,-0.04
e460,3.06
e468,3.81
e469,0.6
e471,2.71
e472,0.1
e473,0.51
e474,0.49
e475,0.89
e476,1.48
e479,2.26
e491,0.39
e492,2.82
e493,2.78
e494,2.86
e495,0.62
e497,3.68
e504,0.13
e506,1.15
e509,1.29
e513,1.51
e514,3.16
e515,1.59
e525,2.54
e526,0.4
e529,1.12
e535,3.5
e539,2.52
e540,2.09
e546,1.08
e548,0.78
e549,4.16
e554,1.14
e555,2.01
e556,1.95
e557,2.22
e558,3.89
e559,0.5
e561,1.27
e565,2.36
e567,3.81
e568,4.05
e569,3.1
e585,5.69
e587,4.31
e592,3.58
e596,3.64
e600,3.36
e602,2.53
e606,3.97
e607,3.64
e608,2.96
e609,3.09
e614,-0.16
e625,0.63
e629,3.17
e630,0.34
e637,1.13
p1,3.32
p5,3.29
p6,3.56
p7,3.18
p12,2.5
p13,2.91
p14,3.52
p21,2.71
p23,3
p25,2.82
p26,3.12
p34,2.41
p40,2.54
p43,2.38
p45,3.66
p47,2.88
p48,4.52
p49,2.22
p50,3.41
p51,3.11
p55,3.6
p59,2.79
p61,2.31
p67,2.24
p68,2.77
p70,0.81
p71,0.64
p73,1.8
p75,2.57
p76,2.73
p77,2.68
p80,1.83
p83,2.55
p85,3.03
p86,4.14
p87,3.46
p88,1.32
p97,0.53
p99,1.03
p101,1.53
p105,2.72
p109,0.52
p110,2.2
p112,1.92
p115,0.89
p119,2.94
p120,2.28
p141,2.26
p142,1.69
p143,2.11
p145,3.14
p152,3.5
p153,3.37
p157,3.34
p158,3.18
p159,4.23
p165,2.63
p170,4.44
p174,4.26
p183,4.02
p186,4.81
p187,4.68
p189,1.13
p190,1.35
p199,2.86
p204,3.33
p205,3.95
p206,3.79
p211,4.17
p217,4.57
p220,0.87
p223,0.67
p224,0.93
p228,1.15
p237,0.95
p238,1
p241,0.3
p242,0.23
p243,-0.04
p246,2.51
p247,2.43
p250,2.34
p254,3.87
p255,3.74
p258,0.32
p260,0.54
p261,1.72
p264,1.22
p265,1.98
p267,4.37
p270,0.6
p275,0.69
p278,0.92
p280,0.59
p283,-0.13
p285,0.49
p292,0.42
p302,1.19
p305,2
p309,0.34
p310,0.5
p311,1
p317,1.17
p318,1.11
p319,0.43
p320,1.71
p321,1.3
p322,1.4
p325,1.48
p326,1.34
p329,1.09
p332,1.06
p333,0.57
p337,0.75
p338,1.26
p343,0.96
p347,0.71
p348,3.23
p353,0.65
p356,0
p362,1.67
p365,0.6
p367,0.13
p371,-0.21
p375,0.76
p377,1.59
p379,0.58
p395,0.72
p396,0.28
p397,0.37
p399,0.38
p400,0.62
p401,2.07
p405,1.86
p409,-0.3
p414,0.83
p415,0.73
p417,1
p419,-0.38
p421,0.76
p424,0.85
p425,-0.52
p426,0.08
p435,0.26
p438,1.87
p439,3.96
p443,2.83
p444,2.05
p445,1.5
p447,2.97
p454,0.78
p456,0.46
p457,0.9
p461,0.2
p462,0.28
p467,1.61
t2,3.15
t3,3.29
t4,3.22
t8,3.4
t9,3.23
t10,2.51
t11,2.73
t15,2.87
t16,3.34
t17,3.65
t18,3.3
t19,2.5
t20,2.41
t22,2.91
t24,2.55
t27,2.87
t28,2.11
t29,2.78
t30,2.99
t31,3.01
t32,2.56
t33,3.51
t35,2.72
t36,3.18
t37,2.71
t38,2.73
t39,2.41
t41,2.24
t42,2.69
t44,2.8
t46,3.01
t52,2.97
t53,3.5
t54,3.35
t56,3.12
t57,3.73
t58,1.11
t60,3.17
t62,-1
t63,-0.42
t64,0.1
t65,0.73
t66,1.86
t69,0.53
t72,0.7
t74,2.08
t78,2.73
t79,2.55
t81,1.31
t82,1.87
t84,2.39
t89,0.63
t90,1.35
t91,1.5
t92,1.06
t93,1.51
t94,1.17
t95,1.2
t96,0.92
t98,1.01
t100,1.69
t102,1.13
t103,1.02
t104,1.91
t106,1.82
t107,0.21
t108,1
t111,2.27
t113,3.92
t114,3.99
t116,0.54
t117,0.3
t118,2.89
t121,2.07
t122,1.64
t123,1.9
t124,0.26
t125,0.74
t126,1.35
t127,0.6
t128,0.72
t129,0.18
t130,1.11
t131,0
t132,0.3
t133,2.53
t134,3.58
t135,2.04
t136,2.98
t137,2.27
t138,2.88
t139,2.83
t140,2.91
t144,3.78
t146,0.47
t147,0.73
t148,3.18
t149,3.32
