Compound Id	H_046
2	0
5	16
6	16
8	0
9	3
10	0
11	0
13	0
14	0
15	0
16	0
18	0
19	0
23	0
25	2
26	3
28	5
29	7
31	0
32	0
37	9
38	0
39	6
41	6
42	6
43	0
44	3
45	3
47	0
48	0
49	0
50	0
52	11
53	0
54	4
56	3
58	10
59	0
60	0
61	0
65	0
66	0
67	9
68	0
72	0
74	3
75	0
76	0
78	0
79	6
81	0
84	0
85	9
86	3
87	0
88	0
91	0
95	2
96	9
97	0
99	0
100	3
102	0
103	0
104	0
108	0
109	0
110	0
111	0
112	3
113	0
118	14
119	0
120	5
121	6
122	10
123	14
124	0
129	0
131	6
136	3
137	0
138	0
141	7
142	0
143	6
145	3
152	3
155	5
156	0
157	0
159	0
160	9
163	0
164	7
165	0
168	0
169	0
170	8
175	9
176	6
178	4
180	13
181	13
182	13
183	17
185	17
186	0
188	0
189	0
192	0
195	0
199	0
200	3
201	0
202	0
204	0
205	0
207	7
208	0
210	5
211	10
212	0
213	9
215	5
217	21
218	15
219	0
221	0
222	21
223	0
224	3
225	10
226	0
227	0
230	0
231	9
234	0
236	0
240	0
243	6
248	0
250	0
259	9
260	3
261	3
263	11
264	0
265	0
266	0
267	0
269	6
270	0
272	0
273	5
274	7
275	7
277	21
278	6
279	12
280	0
284	0
285	3
289	0
293	2
294	11
295	6
296	0
298	7
301	11
303	14
305	0
306	11
310	10
311	3
316	0
317	0
318	0
320	13
321	4
322	0
323	3
325	0
327	0
328	0
329	0
333	0
336	0
339	0
340	5
341	0
344	0
345	0
347	12
350	2
351	9
352	0
354	0
356	17
359	0
360	0
361	0
362	0
363	15
364	0
366	0
367	6
369	9
370	21
372	0
374	0
376	9
377	2
378	23
379	0
380	0
382	0
387	12
388	0
392	0
396	0
398	0
400	0
402	0
405	0
408	0
410	0
411	0
412	0
413	0
414	15
417	7
418	0
419	13
424	0
425	0
427	10
429	0
431	0
432	9
436	0
437	0
440	9
442	7
443	7
444	0
445	13
446	9
448	9
1	3
3	0
4	0
7	0
12	0
17	9
20	0
21	0
22	0
24	0
27	3
30	0
33	0
34	0
35	0
36	0
40	3
46	0
51	15
55	3
57	0
62	0
63	0
64	0
69	0
70	0
71	0
73	0
77	2
80	3
82	0
83	3
89	0
90	8
92	6
93	0
94	0
98	0
101	3
105	0
106	5
107	0
114	0
115	2
116	9
117	19
125	6
126	3
127	0
128	0
130	3
132	3
133	0
134	0
135	3
139	9
140	0
144	3
146	0
147	6
148	6
149	0
150	3
151	0
153	0
154	5
158	0
161	9
162	14
166	0
167	12
171	11
172	0
173	9
174	9
177	11
179	11
184	15
187	0
190	0
191	0
193	0
194	0
196	0
197	0
198	0
203	0
206	0
209	0
214	5
216	0
220	0
228	0
229	10
232	10
233	15
235	0
237	0
238	0
239	3
241	0
242	0
244	0
245	0
246	0
247	0
249	0
251	0
252	0
253	4
254	0
255	0
256	14
257	6
258	0
262	3
268	0
271	0
276	6
281	0
282	0
283	0
286	0
287	0
288	0
290	0
291	0
292	0
297	0
299	0
300	0
302	15
304	0
307	0
308	3
309	0
312	12
313	9
314	3
315	0
319	9
324	0
326	0
330	5
331	5
332	0
334	0
335	0
337	0
338	0
342	0
343	6
346	0
348	0
349	0
353	10
355	0
357	3
358	0
365	15
368	3
371	0
373	3
375	3
381	0
383	6
384	0
385	0
386	0
389	0
390	3
391	5
393	4
394	0
395	0
397	0
399	0
401	3
403	9
404	0
406	19
407	0
409	0
415	0
416	19
420	0
421	0
422	0
423	0
426	0
428	17
430	0
433	0
434	0
435	14
438	2
439	21
441	0
447	0
449	0
