Compound Id	WA
2	3.077
5	3.317
6	3.483
8	2.545
9	2.333
10	3.282
11	2
13	3.448
14	1.333
15	6.039
16	2.533
18	3.886
19	1
23	1.5
25	4.095
26	2.909
28	2
29	2.333
31	1.6
32	1.333
37	2
38	2
39	2.095
41	2.333
42	1.8
43	1.8
44	1.8
45	1.8
47	1.8
48	1.8
49	1.8
50	1.933
52	2.955
53	2.618
54	2.515
56	5.209
58	4.8
59	3.825
60	2.689
61	2.636
65	2.533
66	2.533
67	3.574
68	2.389
72	2.422
74	3.256
75	3.167
76	3.197
78	2.578
79	2.143
81	2.143
84	2.143
85	2.333
86	2.333
87	2.333
88	2.467
91	2.067
95	3.824
96	2.764
97	2.444
99	2.6
100	2.6
102	2.667
103	2.667
104	2.945
108	2.286
109	2.286
110	2.286
111	2.286
112	2.286
113	2.361
118	2.889
119	2.5
120	2.5
121	2.333
122	4.917
123	5.614
124	2.214
129	2.214
131	2.889
136	1.667
137	1.667
138	2.357
141	2.286
142	2.286
143	2.179
145	2
152	2.476
155	2
156	2
157	1.5
159	1.5
160	2.643
163	2.333
164	2.333
165	2.333
168	1.8
169	1.8
170	3
175	2.667
176	2.667
178	3
180	3.333
181	3.333
182	3.333
183	4.197
185	4
186	3.657
188	3.916
189	4.32
192	2.444
195	3.333
199	2.333
200	3.077
201	3.061
202	2.8
204	2.6
205	4.316
207	2.945
208	3.385
210	2.5
211	2.381
212	2.286
213	3.333
215	2.821
217	4.667
218	4.529
219	1.8
221	2.727
222	3.267
223	4.015
224	3.374
225	4.917
226	1.667
227	2.133
230	2
231	3.511
234	2.727
236	2.5
240	3.154
243	4.211
248	2.773
250	2.803
259	2.444
260	2.389
261	2.389
263	3.309
264	2.357
265	2.179
266	2.985
267	2.727
269	1.933
270	3
272	2.956
273	2.5
274	2.133
275	2.476
277	4.879
278	1.933
279	2.321
280	3.467
284	3
285	2.333
289	4.075
293	2.667
294	3
295	3
296	2.422
298	2.822
301	3.167
303	4
305	1.733
306	3.652
310	3.418
311	2
316	4.627
317	3.842
318	2.714
320	3.511
321	2.143
322	3.615
323	2.833
325	2.578
327	2.467
328	2.381
329	2
333	3
336	2.214
339	2.909
340	3.309
341	3.182
344	3.538
345	3.542
347	3.667
350	2.689
351	3.045
352	2.691
354	3.848
356	4
359	4.6
360	2.133
361	2.955
362	2.545
363	2.727
364	2.727
366	2.773
367	3.077
369	2.422
370	4.667
372	2.727
374	2.691
376	3.829
377	2.956
378	5
379	3.675
380	2.909
382	2.879
387	2.429
388	2.643
392	2.545
396	2.6
398	3
400	2.333
402	2.444
405	2.071
408	3.162
410	2.143
411	2.143
412	3.067
413	4.621
414	4.683
417	2.714
418	3.091
419	5.953
424	3.374
425	2.194
427	3.719
429	2.179
431	3.407
432	2.911
436	2.4
437	2.778
440	4.231
442	6.108
443	5.985
444	3.667
445	5.228
446	3.231
448	4.585
1	3.292
3	2.133
4	2.444
7	2.835
12	2
17	2.667
20	1.5
21	1.5
22	1.5
24	2.071
27	1.667
30	1.8
33	1.333
34	1.333
35	1.6
36	1.867
40	2.095
46	1.8
51	3.308
55	2.356
57	3.717
62	2.444
63	3.066
64	2.533
69	2.545
70	3.077
71	2.655
73	2.873
77	5.386
80	2.143
82	2.143
83	2.143
89	2.067
90	2.067
92	2.067
93	2.756
94	3.077
98	2.444
101	2.667
105	2.571
106	2.286
107	2.286
114	3.385
115	3.288
116	3.164
117	4.95
125	2.214
126	2.214
127	2.214
128	2.214
130	2.214
132	1.667
133	1.667
134	1.667
135	1.667
139	2.444
140	2.444
144	2
146	2
147	2
148	2
149	2
150	2
151	2
153	2
154	2
158	1.5
161	2.821
162	2.333
166	2.333
167	1.8
171	3.167
172	3.167
173	2.667
174	2.667
177	3
179	3
184	3.667
187	1.867
190	3.825
191	3.045
193	2.691
194	3.374
196	3.359
197	2.143
198	2.333
203	2.444
206	2.764
209	2.956
214	2
216	1.8
220	1.933
228	2.179
229	2.689
232	3.333
233	3.667
235	2.444
237	2.778
238	2.194
239	3.077
241	3.527
242	3.848
244	2.667
245	2.924
246	2.214
247	2.489
249	2.389
251	2.924
252	2.5
253	2.327
254	2.194
255	2.286
256	3.311
257	1.933
258	3.676
262	3.143
268	2.727
271	2.143
276	2.333
281	2.636
282	2.545
283	2.444
286	3.205
287	3.359
288	3.121
290	4.125
291	2.611
292	1.952
297	2.422
299	2.821
300	1.933
302	3.855
304	1.733
307	3.051
308	3.359
309	2.067
312	2.643
313	2.255
314	2.655
315	2.636
319	3.056
324	1.733
326	3.769
330	2.667
331	2.667
332	2.333
334	3.374
335	2.889
337	3.657
338	2.444
342	2.636
343	2.214
346	1.867
348	4
349	2.691
353	5.316
355	2.618
357	3.733
358	2.107
365	3.667
368	3.527
371	2.727
373	3.379
375	3.59
381	4
383	3.055
384	2.467
385	2.545
386	4.059
389	3.242
390	2.667
391	2.381
393	3.769
394	2.923
395	3.765
397	3.6
399	3.077
401	2.727
403	1.867
404	2.556
406	4.538
407	3.59
409	2.955
415	2.393
416	4.333
420	2.848
421	2.803
422	3.276
423	3.6
426	2.533
428	4.59
430	2.333
433	2.107
434	2.6
435	3
438	2.286
439	5.309
441	3.198
447	1.8
449	4.088
