Compound Id	Mv
2	0.66
5	0.57
6	0.57
8	0.85
9	0.66
10	0.65
11	0.5
13	0.65
14	0.48
15	0.6
16	0.64
18	0.68
19	0.45
23	0.54
25	0.81
26	0.61
28	0.5
29	0.51
31	0.74
32	0.6
37	0.53
38	0.91
39	0.51
41	0.58
42	0.5
43	0.62
44	0.5
45	0.53
47	0.74
48	0.88
49	0.53
50	0.82
52	0.58
53	0.81
54	0.68
56	0.64
58	0.59
59	0.67
60	1
61	0.91
65	0.71
66	0.65
67	0.6
68	0.65
72	0.69
74	0.58
75	0.64
76	0.61
78	0.65
79	0.61
81	0.77
84	0.69
85	0.6
86	0.72
87	0.73
88	0.88
91	0.68
95	0.7
96	0.59
97	0.64
99	0.63
100	0.64
102	0.64
103	0.65
104	0.61
108	0.61
109	0.66
110	0.61
111	0.72
112	0.61
113	0.53
118	0.51
119	0.71
120	0.6
121	0.61
122	0.56
123	0.54
124	0.71
129	0.69
131	0.55
136	0.58
137	0.72
138	0.51
141	0.53
142	0.51
143	0.61
145	0.63
152	0.53
155	0.5
156	0.49
157	0.62
159	0.63
160	0.53
163	0.6
164	0.53
165	0.57
168	0.65
169	0.53
170	0.55
175	0.51
176	0.54
178	0.61
180	0.56
181	0.51
182	0.51
183	0.53
185	0.52
186	0.59
188	0.77
189	0.61
192	0.89
195	0.58
199	0.75
200	0.64
201	0.61
202	0.63
204	0.71
205	0.58
207	0.61
208	0.67
210	0.61
211	0.53
212	0.56
213	0.53
215	0.53
217	0.52
218	0.53
219	0.55
221	0.64
222	0.57
223	0.66
224	0.59
225	0.54
226	0.48
227	0.53
230	0.62
231	0.53
234	0.63
236	0.61
240	0.66
243	0.59
248	0.64
250	0.69
259	0.6
260	0.67
261	0.64
263	0.58
264	0.53
265	0.77
266	0.61
267	0.67
269	0.53
270	0.66
272	0.62
273	0.6
274	0.53
275	0.53
277	0.53
278	0.5
279	0.51
280	0.67
284	0.61
285	0.65
289	0.68
293	0.59
294	0.56
295	0.56
296	0.88
298	0.6
301	0.51
303	0.52
305	0.6
306	0.55
310	0.53
311	0.57
316	0.65
317	0.69
318	0.56
320	0.53
321	0.61
322	0.67
323	0.55
325	0.76
327	0.55
328	0.56
329	0.57
333	0.69
336	0.71
339	0.67
340	0.59
341	0.67
344	0.66
345	0.6
347	0.55
350	0.63
351	0.6
352	0.79
354	0.66
356	0.52
359	0.66
360	0.56
361	0.62
362	0.97
363	0.53
364	0.72
366	0.64
367	0.6
369	0.6
370	0.54
372	0.73
374	0.7
376	0.59
377	0.59
378	0.52
379	0.7
380	0.71
382	0.68
387	0.53
388	0.56
392	0.85
396	0.8
398	0.56
400	0.66
402	0.6
405	0.64
408	0.8
410	0.73
411	0.7
412	0.65
413	0.52
414	0.55
417	0.55
418	0.62
419	0.61
424	0.69
425	0.53
427	0.6
429	0.7
431	0.59
432	0.55
436	0.53
437	0.67
440	0.57
442	0.66
443	0.66
444	0.56
445	0.57
446	0.6
448	0.63
1	0.65
3	0.52
4	0.64
7	0.62
12	0.63
17	0.53
20	0.49
21	0.53
22	0.86
24	1
27	0.49
30	0.65
33	0.53
34	0.72
35	0.5
36	0.52
40	0.56
46	0.49
51	0.57
55	0.65
57	0.61
62	0.8
63	0.65
64	0.63
69	0.68
70	0.67
71	0.8
73	0.58
77	0.62
80	0.62
82	0.68
83	0.63
89	0.67
90	0.53
92	0.53
93	0.51
94	0.65
98	0.66
101	0.59
105	0.51
106	0.61
107	0.65
114	0.67
115	0.58
116	0.58
117	0.57
125	0.61
126	0.62
127	0.77
128	0.68
130	0.61
132	0.59
133	0.65
134	0.56
135	0.49
139	0.51
140	0.54
144	0.63
146	0.71
147	0.53
148	0.56
149	0.64
150	0.63
151	0.63
153	0.69
154	0.58
158	0.53
161	0.53
162	0.51
166	0.5
167	0.53
171	0.53
172	0.53
173	0.56
174	0.51
177	0.51
179	0.51
184	0.52
187	0.71
190	0.67
191	0.61
193	0.63
194	0.69
196	0.6
197	0.63
198	0.82
203	0.6
206	0.68
209	0.6
214	0.53
216	0.53
220	1
228	0.53
229	0.59
232	0.51
233	0.52
235	0.61
237	0.6
238	0.69
239	0.62
241	0.66
242	0.68
244	0.67
245	0.69
246	0.64
247	0.72
249	0.67
251	0.66
252	0.62
253	0.55
254	0.64
255	0.67
256	0.53
257	0.56
258	0.7
262	0.64
268	0.67
271	0.83
276	0.56
281	1.06
282	0.94
283	0.97
286	0.6
287	0.64
288	0.65
290	0.66
291	0.53
292	0.59
297	0.78
299	0.7
300	0.68
302	0.53
304	0.56
307	0.61
308	0.68
309	0.65
312	0.55
313	0.56
314	0.65
315	0.67
319	0.55
324	0.82
326	0.72
330	0.53
331	0.53
332	0.61
334	0.69
335	0.55
337	0.59
338	0.64
342	0.83
343	0.55
346	0.51
348	0.68
349	0.9
353	0.59
355	0.73
357	0.59
358	0.98
365	0.55
368	0.55
371	0.62
373	0.57
375	0.62
381	0.68
383	0.57
384	0.73
385	0.83
386	0.7
389	0.6
390	0.55
391	0.53
393	0.65
394	0.6
395	0.63
397	0.62
399	0.69
401	0.59
403	0.5
404	0.73
406	0.53
407	0.62
409	0.71
415	0.56
416	0.52
420	0.85
421	0.77
422	0.59
423	0.74
426	0.65
428	0.57
430	0.6
433	0.58
434	0.71
435	0.57
438	0.59
439	0.56
441	0.68
447	0.57
449	0.74
