Compound Id	nN
2	2
5	2
6	2
8	0
9	0
10	2
11	0
13	1
14	0
15	4
16	1
18	0
19	0
23	0
25	0
26	1
28	0
29	0
31	0
32	1
37	0
38	0
39	0
41	0
42	0
43	0
44	0
45	0
47	0
48	0
49	0
50	0
52	0
53	0
54	0
56	0
58	0
59	1
60	0
61	0
65	1
66	1
67	2
68	0
72	0
74	1
75	0
76	1
78	0
79	0
81	0
84	0
85	0
86	0
87	1
88	0
91	0
95	0
96	0
97	0
99	1
100	1
102	2
103	1
104	1
108	1
109	0
110	1
111	2
112	1
113	0
118	0
119	0
120	1
121	0
122	0
123	0
124	1
129	0
131	0
136	1
137	1
138	0
141	0
142	0
143	0
145	1
152	0
155	1
156	1
157	1
159	0
160	0
163	0
164	0
165	0
168	1
169	0
170	0
175	0
176	0
178	2
180	0
181	1
182	0
183	0
185	0
186	1
188	0
189	0
192	0
195	1
199	0
200	2
201	0
202	0
204	1
205	0
207	0
208	1
210	0
211	0
212	0
213	0
215	0
217	1
218	0
219	0
221	0
222	0
223	1
224	1
225	0
226	1
227	0
230	0
231	0
234	0
236	0
240	2
243	2
248	1
250	1
259	0
260	1
261	0
263	0
264	0
265	0
266	0
267	1
269	0
270	2
272	1
273	1
274	0
275	0
277	0
278	1
279	0
280	1
284	0
285	1
289	1
293	0
294	0
295	0
296	0
298	0
301	1
303	0
305	2
306	0
310	1
311	0
316	0
317	0
318	0
320	0
321	0
322	0
323	0
325	0
327	0
328	0
329	0
333	1
336	2
339	0
340	0
341	1
344	1
345	1
347	0
350	0
351	0
352	1
354	0
356	1
359	1
360	0
361	0
362	1
363	0
364	0
366	1
367	0
369	0
370	1
372	1
374	0
376	1
377	1
378	1
379	1
380	0
382	0
387	0
388	0
392	0
396	1
398	0
400	3
402	2
405	0
408	2
410	1
411	1
412	1
413	1
414	0
417	0
418	0
419	0
424	1
425	0
427	1
429	1
431	1
432	0
436	0
437	0
440	1
442	1
443	0
444	0
445	1
446	1
448	0
1	2
3	1
4	1
7	4
12	1
17	0
20	0
21	0
22	0
24	0
27	0
30	0
33	0
34	0
35	0
36	0
40	0
46	1
51	0
55	1
57	0
62	0
63	1
64	2
69	0
70	0
71	0
73	1
77	1
80	0
82	1
83	0
89	0
90	0
92	0
93	1
94	3
98	1
101	1
105	1
106	0
107	0
114	0
115	0
116	1
117	0
125	0
126	0
127	0
128	1
130	1
132	0
133	0
134	0
135	1
139	1
140	0
144	0
146	0
147	0
148	0
149	0
150	1
151	1
153	0
154	0
158	0
161	0
162	0
166	1
167	0
171	0
172	0
173	0
174	1
177	1
179	0
184	1
187	0
190	0
191	0
193	2
194	0
196	1
197	0
198	0
203	1
206	2
209	0
214	0
216	0
220	0
228	1
229	0
232	0
233	0
235	0
237	0
238	0
239	2
241	2
242	0
244	1
245	1
246	1
247	0
249	0
251	0
252	1
253	0
254	0
255	1
256	0
257	0
258	0
262	2
268	1
271	0
276	0
281	0
282	0
283	0
286	2
287	1
288	2
290	0
291	1
292	0
297	1
299	0
300	1
302	0
304	1
307	0
308	1
309	0
312	0
313	1
314	2
315	1
319	0
324	0
326	0
330	0
331	0
332	1
334	0
335	0
337	0
338	1
342	0
343	0
346	0
348	2
349	1
353	0
355	1
357	2
358	2
365	1
368	0
371	1
373	0
375	0
381	1
383	0
384	0
385	1
386	1
389	0
390	0
391	0
393	2
394	2
395	1
397	1
399	1
401	0
403	1
404	2
406	0
407	1
409	1
415	1
416	1
420	0
421	0
422	0
423	1
426	2
428	1
430	4
433	1
434	1
435	1
438	0
439	1
441	1
447	0
449	0
