Compound Id	MAXDP
c01	4.17
c02	2.472
c03	1.507
c04	2.651
c05	1.358
c06	4.331
c07	1.101
c10	0.309
c11	1.478
c12	1.416
c13	1.368
c14	0.884
c15	1.632
c16	0.846
c17	0.354
c18	0.715
c19	2.508
c20	4.798
c21	5.57
c22	0.997
c23	0.451
c24	1.841
c25	1.981
c26	1.86
c27	2.002
c28	0.943
c29	0.653
c30	1.019
c31	4.027
c32	2.713
c33	1.444
c34	0.611
c35	1.226
c36	4.793
c37	5.011
c38	5.45
c39	2.461
c40	2.539
c41	1.558
c42	1.307
c43	1.77
c44	1.77
c45	1.77
c46	2.136
c47	1.033
c48	3.324
c49	0
c50	4.013
c51	0.204
c52	3.193
c53	2.412
c54	2.961
c55	2.739
c56	2.643
c57	2.181
c58	3.782
c59	2.683
c60	3.201
c61	5.341
c62	1.208
c63	1.181
c64	1.005
c65	1.003
c66	0.985
c67	3.008
c68	4.845
c69	3.532
c70	0.651
c71	2.686
c72	2.435
