Compound Id	Cl-086
c01	0
c02	0
c03	0
c04	2
c05	0
c06	1
c07	0
c10	0
c11	0
c12	1
c13	2
c14	0
c15	0
c16	0
c17	0
c18	0
c19	4
c20	0
c21	0
c22	0
c23	0
c24	0
c25	0
c26	0
c27	0
c28	2
c29	0
c30	1
c31	0
c32	2
c33	0
c34	0
c35	1
c36	0
c37	0
c38	0
c39	3
c40	3
c41	0
c42	0
c43	6
c44	6
c45	6
c46	0
c47	0
c48	0
c49	0
c50	0
c51	0
c52	0
c53	0
c54	0
c55	0
c56	0
c57	0
c58	0
c59	0
c60	0
c61	0
c62	0
c63	0
c64	1
c65	0
c66	1
c67	0
c68	0
c69	0
c70	0
c71	0
c72	0
