Compound Id	PetitjeanNumber
291	0.0
6084	0.0
11148	0.0
855	0.0
864	0.0
6089	0.0
6088	0.0
6094	0.5
6085	0.0
6103	0.5
7956	0.5
682	0.5
6100	0.5
6087	0.0
654	0.5
6101	0.5
6086	0.0
7954	0.5
6097	0.5
7555	0.333
1004	0.333
172	0.5
6092	0.5
7560	0.333
11729	0.333
31029	0.333
6102	0.5
5834	0.333
10046	0.5
7556	0.333
9644	0.5
11151	0.5
7712	0.5
6111	0.0
10437	0.333
3168	0.5
7721	0.5
6114	0.0
13837190	0.5
9233	0.5
7577	0.333
21171407	0.333
7566	0.333
258	0.5
13835977	0.333
6093	0.5
7728	0.5
512	0.333
21106015	0.333
7716	0.5
9990	0.333
13836021	0.5
6106	0.5
7713	0.5
21106179	0.5
13836674	0.333
6124	0.5
11835	0.4
7714	0.5
7553	0.333
1114	0.5
7732	0.5
11833	0.4
7711	0.5
6138	0.5
7717	0.5
7557	0.333
11807	0.5
7786	0.4
11834	0.4
256	0.5
7767	0.4
8894	0.0
3644	0.5
7559	0.333
11830	0.4
7567	0.333
7734	0.5
6040	0.4
7776	0.4
12977	0.5
13865015	0.333
9354	0.333
12450	0.5
693	0.5
278	0.5
13835550	0.333
13835336	0.333
10694	0.333
9480	0.5
11723	0.333
6308	0.333
64095	0.333
11099	0.5
7957	0.5
11109	0.4
12209	0.4
6121	0.5
6108	0.5
7737	0.0
7827	0.5
14512	0.333
8543	0.5
7770	0.4
1095	0.0
6104	0.5
12011	0.5
175	0.5
8896	0.0
7782	0.4
7772	0.4
8560	0.5
31016	0.4
6310	0.333
7738	0.0
7815	0.5
12010	0.5
9630	0.5
2916	0.5
7739	0.0
13839553	0.5
7736	0.0
7811	0.5
171	0.5
659	0.5
11728	0.333
173	0.5
2006126	0.5
11167	0.5
10765	0.333
7604	0.5
221079	0.5
7024	0.333
11110	0.4
10730	0.5
10766	0.333
8544	0.0
10113	0.333
68268	0.5
11121	0.5
6307	0.333
29000	0.5
13854808	0.5
6127	0.5
62433	0.5
6125	0.5
11125	0.5
72268	0.333
62241	0.333
10340	0.333
6321	0.333
11871	0.429
7810	0.5
11846	0.5
13836399	0.429
6311	0.333
6313	0.333
21168808	0.333
5993	0.333
13837112	0.333
349	0.429
19100	0.429
8554	0.0
10018	0.0
1020	0.0
13837650	0.333
7837	0.429
2275	0.333
1005	0.333
7835	0.429
13854130	0.333
7791	0.0
13837537	0.0
6336	0.333
236	0.0
11832	0.4
7787	0.0
7551	0.333
29015	0.0
13835209	0.4
8903	0.0
6334	0.333
13837702	0.4
8904	0.0
11229	0.333
7790	0.0
60524	0.333
13420	0.333
121383	0.4
6330	0.333
10951	0.333
1913	0.333
13835459	0.0
10020	0.0
6134	0.5
3530	0.333
6153	0.5
11232	0.333
14893	0.333
12201	0.5
6309	0.333
14686	0.5
12446	0.5
81237	0.333
12430	0.5
7674	0.25
14966	0.5
11551	0.5
11094	0.4
8158	0.5
11222	0.333
9484	0.5
122546	0.5
7605	0.5
76541	0.429
7788	0.0
15221	0.429
7833	0.429
8569	0.5
1108	0.25
21106561	0.5
10653	0.5
11128	0.5
8525	0.5
10536	0.5
7607	0.5
13839107	0.5
11865	0.429
13839199	0.25
13839575	0.5
11866	0.429
5977	0.5
7856	0.5
7715	0.5
11863	0.429
6305	0.333
7849	0.5
10498	0.5
7852	0.5
11874	0.5
6323	0.333
7838	0.429
7016	0.5
10733	0.5
13835401	0.5
29101	0.333
7710	0.5
7688	0.25
119963	0.333
21106520	0.25
7677	0.25
13839441	0.5
9646	0.5
932	0.5
13835180	0.5
259	0.5
7851	0.5
6147	0.5
11526	0.5
13874733	0.25
11750	0.5
6333	0.333
6146	0.5
13835604	0.5
67424	0.25
13884495	0.5
68156	0.5
61471	0.0
5439	0.5
10772140	0.333
72718	0.5
6331	0.333
4200	0.333
10464	0.5
1143	0.5
11787	0.25
62181	0.25
1664	0.25
234	0.5
61632	0.5
6148	0.5
84221	0.333
67620	0.5
6340	0.333
18792	0.5
121154	0.4
11086	0.25
121113	0.5
15438	0.4
454272	0.4
121640	0.333
14751	0.4
14672	0.333
11106	0.5
21073	0.4
6163	0.333
7219	0.4
7706	0.4
126201	0.4
21106560	0.4
2803	0.333
29025	0.5
10465	0.5
21105905	0.4
7022	0.5
7463	0.4
7244	0.4
7242	0.4
55123	0.5
7850	0.5
11095	0.4
11025	0.4
13840	0.333
11838	0.0
29026	0.5
7878	0.444
11029	0.5
21106032	0.4
7238	0.4
30349	0.5
6326	0.333
7701	0.4
13872667	0.5
14840	0.444
13851383	0.4
59607	0.333
10054	0.5
6967	0.25
12814	0.333
14349	0.444
7026	0.333
7765	0.4
10053	0.5
6165	0.333
69736	0.4
8574	0.444
6170	0.333
8909	0.0
733	0.5
60839	0.0
21997	0.4
15117	0.429
13835861	0.333
13835772	0.25
14608	0.25
13835579	0.429
10328	0.25
13839416	0.429
69525	0.4
6164	0.333
10988	0.4
21106481	0.4
18801	0.429
61810	0.5
737	0.333
5050	0.333
4418329	0.4
773	0.0
2070	0.333
3596	0.333
