Compound Id	KierHallSmarts [khs.dssC]
60121	0
59438	0
12150	0
12144	1
61553	0
7611	1
14991	0
59556	0
13835151	0
9350	0
13844	1
96573	0
11066	1
62628	0
9357	1
66996	0
14609	0
10432	0
1479	0
7610	1
11708	0
10467	1
8882	0
7651	0
764	0
653	1
392	0
24633	0
9611	1
5705	0
11757	1
69826	0
13450	0
7747	1
11603	0
7628	2
7694	1
7065	1
13837280	1
16383	1
8568	1
7794	0
24634	0
21105900	0
8514	1
14205	0
11660	0
19110	0
15432	0
11741	0
21896	0
13875230	0
6406	2
13840690	0
11041	1
17474	0
13875392	0
7891	0
12067	1
13402	0
16486	0
6252	0
6135	0
10236	0
9228	0
5730	0
8160	0
13673	0
13875180	0
7013	0
7224	0
11180	0
12221	0
7392	0
7903	0
63871	1
11882	0
21106525	0
13851576	0
7893	0
7894	0
19108	0
13869480	0
924	0
13840647	0
13875160	0
6409	1
6654	1
11057	0
6630	0
62314	0
59426	0
370	1
7007	0
17221	0
14890	1
7901	0
78543	0
13875258	0
7241	0
13849	1
9563	0
15708	0
13875432	0
21111781	0
14436	0
13875219	0
7795	0
21106513	1
28982	0
18685	0
13839174	0
78	0
13860491	0
62877	0
13868660	0
8665	0
13869414	0
11021	0
7519	0
13842573	0
11242	2
333	0
7480	1
13869339	0
62226	0
13839151	0
59439	0
7236	1
11038	0
6991	0
16257	1
13646	0
11350	0
7634	2
9849	1
10955	2
6983	0
10251740	1
6652	1
1131173	1
9546	1
7632	2
1013196	0
23718	2
11179	1
10795	0
10445	0
10742	0
7657	1
6338	0
8659	0
7248	0
8531	0
11818	2
61026	0
10428	1
10253	0
11911	0
11790	1
13040	0
7509	1
13473	0
12829	0
21242799	0
13451	0
14888	0
6176	1
8013	1
13032	0
21106562	0
7448	0
21168731	0
13875381	0
61200	0
7879	0
11607	0
13839308	0
7129	1
16887	0
8579	0
7900	0
7744	2
11879	0
6628	0
21106155	0
21111850	0
11883	0
7866	1
13881571	0
9360	0
14787	1
12451	2
13856009	1
13848467	0
8138	0
9326	0
13644	1
6677	0
70682	0
72625	0
7132	1
13835630	0
12060	0
66344	0
6990	0
21105859	0
6985	0
66551	1
8098	0
74169	0
191427	0
21106167	0
7135	1
11091	2
6277	0
207215	0
7915	0
6177	1
13861	0
21168837	0
15526	1
13033	0
67466	0
7388	0
14165	0
10649	2
13866817	0
7635	2
14163	0
21111896	0
4642	0
11500	0
25942	0
21105878	0
5704	0
8911	0
25757	0
65689	0
13836283	0
16011	0
6253	0
24133	0
16237	0
60497	1
11651	0
7518	0
21106018	0
60662	0
73531	0
63882	2
12823	0
34095	0
56234	0
63307	0
87265	0
21844	0
12821	0
11181	1
521915	0
22006	0
12822	0
13868640	0
63180	0
9964	0
8852	0
10471	2
16931	0
13837582	0
13837760	0
5975	0
4878	0
12478	0
123	0
11022	0
8528	0
11080	0
68939	0
68309	2
63658	1
14346	1
68282	0
5408	0
5596	0
11489	0
62546	2
1017	1
13421	0
26065	0
21998	2
26066	0
7581	1
17976	0
26068	0
7580	1
15532	0
9478	2
13231	0
21106102	2
63017	1
9903	0
73565	0
7511	1
21106174	0
7659	0
6977	0
13865426	2
6794	0
20521	0
5931	0
21106522	0
21111905	0
6883	1
13622	0
13869451	0
11073	0
9328	0
6143	0
21111798	0
7908	0
13870160	0
12061	0
11930	1
21105937	0
21171406	0
17428	0
61765	1
6974	0
31931	0
11511	0
13438	1
15431	0
11517	3
13837686	0
13854818	0
10935	0
21106578	0
11885	0
37466	0
67735	1
17383	2
60103	0
7871	1
23643	0
13869434	0
12972	1
11432	0
26091	0
13860633	0
81759	0
6881	1
7961	0
13839123	0
21168833	0
29080	0
7437	0
9910	0
21111816	0
8873	0
6951	0
13875441	0
2863	1
13626	0
6788	0
11485	1
19037	1
11433	0
477171	1
7917	0
72054	0
21111785	1
17163	0
69446	0
13254	0
10790335	1
21106019	0
8319	0
63447	0
126037	0
20151	0
21159424	0
6774	0
10857	0
69896	2
21112332	0
61802	0
13839110	0
2005824	1
9564	0
6988	0
6633	0
24729	0
100	0
26031	0
13839128	0
75563	0
10181341	1
6160	0
11460	1
15420	0
60129	0
4962	0
9908	0
96816	0
11663	0
72534	0
12173	1
8876	0
8070	1
13839080	0
6790	0
11662	0
56139	0
880	1
5242	2
10250	1
4963	1
10254	1
589165	1
12480	0
1013337	2
3635	1
20732	1
61354	0
60191	0
352	0
9612	2
6191	0
14830	0
18688	1
13038	0
11919	0
7507	1
7183	0
10355	0
7088	0
6287	0
13850405	1
21106521	0
6342	0
13861934	0
17481	0
6998	2
3973	0
60340	1
8097	0
13857694	0
73564	2
13875377	0
13837988	0
10239201	1
6780	0
12230	0
13848808	1
13063	0
9844	0
24142	0
6949	0
13861158	1
16377	1
7916	0
21105936	0
13875212	0
62402	1
21171515	0
61797	0
67462	0
21105889	0
10540	0
13848341	2
21153	1
29031	0
25119	0
13858096	1
11650	0
14507	0
75479	1
10648	0
7888	1
1072	0
21106470	0
211145	0
60136	0
15310	0
61428	0
11556	0
21168838	0
81705	0
12465	2
21105848	0
21109330	0
13837787	0
4209	2
9327	0
11891	0
21111804	0
8855	0
25968	0
13013	0
65745	0
10333	1
21111842	0
21394	0
13864445	0
70868	0
14390	0
221355	0
62582	0
7185	0
124526	0
62368	0
28973	0
16094	0
26799	0
21111774	0
61036	1
6852	0
62581	0
6999	0
17687	1
65682	0
10831	0
13860434	0
72056	0
7143	0
70511	0
16095	0
61585	0
32002	0
11413	0
72416	2
10892	1
11185	0
59433	0
10004	2
8867	0
21105795	0
1668	0
97850	2
10298354	1
21105699	0
4489	2
11673	0
238	1
2241	1
7951	1
911	1
13262	1
993	1
6995	0
21125563	0
6674	1
69983	0
8066	1
2015070	0
62423	2
58489	0
1078	2
70865	1
11477	1
11672	0
913	1
3268	3
10796	2
26070	0
12199	0
387	0
7073	1
15468	0
13439	0
7670	1
21105987	1
6656	0
13885245	1
13837281	2
7876	0
13882337	0
21106517	0
11412	0
26801	0
21159680	0
9078	0
83703	0
13876103	0
59482	1
6657	0
12044	0
21105867	0
11889	0
21106014	0
21106112	1
21111819	0
21108245	1
67835	0
17019	0
60586	1
21111817	0
21171496	0
11892	0
10800462	1
10771160	1
61434	0
21105932	0
69057	0
16685	0
6862	0
63909	1
11510	0
85185	0
21865	0
6479	1
64147	0
21106008	0
8140	0
3756	1
62236	0
20548	0
12818	0
15622	0
71784	0
13869655	0
18707	0
4611	1
11778	0
69628	0
13873600	0
15440	0
9900	0
68896	0
10772050	1
65	0
15317	0
6954	0
13667	0
11970	0
60848	0
13860817	0
12229	0
12675	0
11083	0
10881	0
97904	1
6481	0
13875161	0
6621	1
11327	1
1847	0
14836	0
8154	0
11509	0
13869661	0
63459	0
65701	1
10322	1
71655	1
62466	1
6739	0
6480	0
723	2
21106518	1
64111	0
7189	1
11417	0
7140	1
67879	0
11263	2
21106017	0
10895	0
8341	0
63931	0
7589	1
13835557	0
6943	0
62682	1
7797	2
29129	2
62532	1
3708	1
8438	0
64644	1
58563	1
62485	1
7190	1
68568	1
953	1
6787	2
132	1
571424	0
58968	0
9128	1
11588	1
452568	0
7090	0
21171506	2
10245	0
13865630	2
11246	1
7430	0
13448	0
21111758	1
12831	1
14942	0
6735	0
62359	1
21108549	0
7847	1
12674	0
62938	0
20140	1
10273	1
15644	1
11824	2
61196	1
21723	0
66365	0
62618	2
73658	0
7921	0
13867055	2
11304	0
13835126	1
69792	0
21111776	0
13881395	0
78722	0
21170125	0
33137	0
11145	0
6574	0
73537	0
14309	0
7175	1
13859497	0
14956	0
1306	0
13835344	1
13258	0
17720	0
33621	0
66385	0
11507	0
12013	1
6023	1
7186	1
776	0
21111723	0
62471	1
10303	1
14348	0
258907	1
10894	0
21159611	1
14918	0
12690	1
61763	0
19669	0
60464	0
60093	0
7662	0
53706	1
11332993	1
21106121	0
13868642	0
6828	0
70309	0
13867714	0
10248	0
79453	1
12669	0
59562	0
6878	0
7199	0
21112367	0
39404	0
9454	1
9218	1
11781	2
17347	0
11638	1
7740	0
217532	1
70512	0
12244	0
60032	0
62536	0
72274	0
6950	0
18107	1
11971	0
8998	0
1928	2
10977	1
91446	0
11585	1
11589	1
62484	1
63310	2
11776	0
23422	1
10380	1
7176	1
8382	0
88942	1
638258	1
13036	0
6724	1
11289	1
11626	1
13846959	0
10396	1
10243171	1
124	1
191	2
9225	1
81061	1
10972	1
11369	0
11773	0
10297844	1
6482	1
11576	1
10256859	1
73183	0
68122	1
5593	0
11587	1
608157	0
68837	1
5878	0
10181338	1
13257	0
62884	1
75095	1
1446	1
20160	1
62307	0
2005830	3
6079	1
10980	1
13866746	0
61190	0
31082	0
58333	1
6942	0
7301	0
21112244	0
63002	2
12045	0
15603	0
7300	0
8187	1
15410	0
67145	0
63057	0
7925	0
21111810	0
62633	0
7302	0
11372	0
67268	0
16913	0
67803	0
11573	1
11895	0
21278	1
21159579	0
6585	0
65704	1
6957	0
55242	1
11353	0
124512	0
61790	1
21106584	1
10966	0
13669	1
21106577	0
73763	0
59691	1
12047	0
21108577	1
6748	0
21105998	0
510851	2
10621	1
60092	0
62483	1
11003	0
6835	0
72918	0
15016	0
12259	0
63503	0
10539	1
11354	0
11488	1
62656	0
21111840	0
13029	0
66663	1
13839012	0
7928	0
60259	1
5966	0
73125	0
32882	0
11450	0
12586	0
13668	0
77230	0
7001	0
31264	0
14948	1
62390	0
12830	0
14690	1
60900	0
2972	2
11009	1
11584	1
8381	0
58331	1
13854242	1
10897	0
72141	1
3637837	1
63495	1
73626	1
72466	1
13846663	0
72148	1
68265	2
73512	1
61199	1
62698	1
15093	1
376	2
15244	0
10298355	1
11484	0
21106900	1
1583	1
50	3
8127	1
67229	1
13846749	1
61279	1
15663	1
9574	1
9547	1
284794	1
5622	1
9965	1
7805	2
6175	1
7279	1
11628	1
63512	1
121262	1
13476	1
222	1
6032	2
63328	1
6658	0
331	1
6675	1
14560	0
20861	1
7399	1
7141	1
79400	0
6246	2
10411	1
15753	1
11563	1
62357	0
7142	1
8155	1
68899	1
21185	1
11591	1
12055	1
61257	0
6270	0
7170	0
452969	0
452968	0
7116	0
6179	0
72051	0
13835108	2
11424	0
4436353	2
6296	2
15494	0
9425	1
14530	0
21159425	1
20124	0
15488	0
21171393	0
29024	1
64152	1
7926	0
77127	0
83365	0
8277	0
62583	0
21106529	1
7929	0
11434	0
62453	3
61418	1
1346	1
63533	0
60462	0
63208	1
12697	0
1688	0
60937	1
68404	0
21106540	0
70085	1
10237273	0
14340	1
7114	1
68709	0
21106585	0
55806	0
2973	1
13249	1
7364	0
6855	1
13272	0
6898	2
66847	0
15886	1
12840	0
38364	0
14559	1
12861	0
6620	0
1615	1
63956	1
27488	0
61381	0
71213	1
71964	0
15435	1
13848793	1
10446934	0
61542	4
6906	1
6864	0
15489	0
13490	1
61594	0
23083	1
70988	1
78578	0
11449	0
14413	0
6478	0
15418	2
54970	0
61599	1
6907	1
25276	0
21170959	1
6222	2
11446	0
7174	1
63319	0
8333	0
79481	0
60631	0
61749	2
1278	0
91500	1
8861	0
28829	2
8282	0
11624	1
15517	2
18799	0
68816	1
11399	1
4590	1
62467	1
8071	1
62328	1
1675	1
10025	2
84565	1
11476	1
13048	1
29091	2
62795	0
71934	0
7092	0
6707	1
531832	0
434	1
66572	1
70021	1
24438	1
6824	0
14869	0
72291	0
9929	1
5584	1
6854	1
61739	0
66716	1
2632	0
655	0
34195	1
8055	0
8111	0
84452	0
5027	0
5237	0
13846015	1
7069	2
67479	2
13882366	0
7098	0
2656	0
61311	0
21105876	0
7097	0
10287	1
21159574	1
22012	1
29023	1
66369	0
7091	0
13835351	0
71995	1
83338	0
17879	0
20971	0
21112533	0
76852	0
61383	0
16951	1
11897	0
9571	0
7325	0
12691	1
11373	0
61273	0
10407	0
70450	0
10425	1
10609	0
2388	1
70652	1
21159598	1
6716	0
9961	0
14582	0
960	1
11898	0
11421	2
21106172	0
6575	0
6916	1
71926	0
73945	0
9089	0
10289059	3
6825	1
11961	0
19862	2
15092	1
12524	0
12667	1
21168862	0
71672	0
70048	1
7311	2
62914	1
8807	0
15105	0
21111772	0
16208	1
6872	1
2915	0
8099	1
67953	0
62933	1
60263	1
19739	2
59146	0
60357	2
2179	2
25604	0
14585	0
19331	0
69970	0
15998	0
10363	1
72174	1
61561	1
63211	0
21106171	0
6823	1
532	1
6552	2
6033	0
2923	0
65785	1
454393	1
73131	1
5142	0
13846658	0
18708	1
10256	1
9075	1
65715	1
11580	1
6705	2
12114	2
15308	0
68579	1
15088	1
4444774	1
6928	1
6550	2
11595	1
616466	0
1103	2
19099	2
29090	0
21168888	0
7100	0
6655	0
12941	0
4445872	1
13837329	2
62501	0
7138	0
11437	0
6781	0
7914	1
66675	0
21169500	1
7889	1
205386	1
21733	2
12515	0
21170956	0
62372	0
11899	0
5374	2
67895	0
29002	0
21168556	1
8836	0
16109	0
61759	2
21106571	0
7103	0
60596	1
8862	0
10033	1
14414	0
11969	2
66759	2
66460	2
6770	0
6901	1
7119	0
61388	0
8662	0
21111849	0
63350	1
68350	1
70962	1
21106124	0
12291	0
59892	0
12696	0
19526	0
21159439	0
8434	0
7121	0
6757	0
70660	2
62756	0
16096	0
6834	0
4775	1
16644	1
7427	0
3581	0
970	0
6840	0
13493	0
3915	3
8860	0
11013	1
6592	0
11447	0
5004	2
5820	1
21106163	0
12274	2
5899	1
60188	0
78873	1
11475	1
6235	0
10801689	1
10582	1
11398	1
745600	1
9413	1
6586	1
64143	0
328957	1
13699	0
11974	0
