Compound Id	MannholdLogP
291	1.57
6084	1.68
11148	1.46
855	1.46
864	1.46
6089	1.46
6088	1.46
6094	1.79
6085	1.68
6103	1.570
7956	1.570
682	1.570
6100	1.570
6087	1.46
654	1.570
6101	1.570
6086	1.68
7954	1.79
6097	1.570
7555	1.9
1004	1.68
172	1.570
6092	1.570
7560	1.68
11729	1.68
31029	1.68
6102	1.570
5834	1.46
10046	1.35
7556	1.9
9644	1.35
11151	1.570
7712	2.01
6111	1.79
10437	1.68
3168	1.790
7721	1.790
6114	1.570
13837190	1.57
9233	1.790
7577	1.46
21171407	1.68
7566	1.68
258	1.790
13835977	1.68
6093	1.35
7728	1.57
512	1.68
21106015	1.46
7716	1.790
9990	1.9
13836021	1.57
6106	1.35
7713	2.01
21106179	1.24
13836674	1.68
6124	1.68
11835	1.9
7714	1.790
7553	1.68
1114	1.68
7732	1.790
11833	1.9
7711	1.790
6138	1.68
7717	1.790
7557	1.9
11807	2.01
7786	1.68
11834	1.9
256	1.790
7767	2.12
8894	1.9
3644	1.68
7559	1.68
11830	1.9
7567	1.68
7734	1.57
6040	1.9
7776	1.9
12977	1.790
13865015	1.46
9354	1.46
12450	1.790
693	1.35
278	1.35
13835550	1.46
13835336	1.46
10694	1.46
9480	1.35
11723	1.46
6308	2.01
64095	2.01
11099	2.01
7957	1.9
11109	2.12
12209	2.12
6121	1.68
6108	1.35
7737	1.790
7827	2.010
14512	1.790
8543	1.57
7770	1.9
1095	1.790
6104	1.35
12011	2.010
175	1.68
8896	2.01
7782	1.68
7772	1.9
8560	2.23
31016	2.12
6310	1.790
7738	1.790
7815	2.010
12010	2.010
9630	1.790
2916	1.35
7739	1.790
13839553	1.57
7736	1.790
7811	2.010
171	1.46
659	1.46
11728	1.24
173	1.46
2006126	1.46
11167	1.9
10765	2.01
7604	2.12
221079	2.12
7024	2.12
11110	2.12
10730	1.68
10766	2.01
8544	2.01
10113	2.01
68268	2.23
11121	2.23
6307	1.790
29000	1.9
13854808	1.68
6127	1.46
62433	1.9
6125	1.46
11125	1.790
72268	1.790
62241	2.01
10340	1.9
6321	1.790
11871	1.9
7810	2.010
11846	2.010
13836399	1.9
6311	1.790
6313	1.790
21168808	1.9
5993	1.57
13837112	1.57
349	2.34
19100	2.12
8554	1.9
10018	1.68
1020	1.9
13837650	1.46
7837	2.12
2275	1.57
1005	1.57
7835	2.12
13854130	1.46
7791	1.9
13837537	1.68
6336	1.350
236	2.12
11832	1.68
7787	2.12
7551	1.46
29015	1.68
13835209	1.68
8903	1.68
6334	1.57
13837702	1.68
8904	1.68
11229	1.350
7790	1.46
60524	1.57
13420	1.350
121383	2.12
6330	1.57
10951	1.24
1913	1.350
13835459	1.68
10020	1.68
6134	1.24
3530	1.130
6153	1.130
11232	2.01
14893	2.12
12201	2.12
6309	2.01
14686	2.23
12446	2.12
81237	1.790
12430	2.12
7674	2.23
14966	1.9
11551	2.23
11094	2.23
8158	2.010
11222	2.01
9484	1.350
122546	2.12
7605	1.9
76541	2.34
7788	2.12
15221	2.34
7833	2.34
8569	2.23
1108	2.23
21106561	2.010
10653	1.68
11128	2.010
8525	1.68
10536	2.23
7607	1.9
13839107	1.79
11865	2.12
13839199	2.010
13839575	1.79
11866	2.12
5977	1.24
7856	2.23
7715	1.57
11863	2.12
6305	1.57
7849	2.45
10498	1.57
7852	2.23
11874	2.23
6323	1.57
7838	2.12
7016	1.9
10733	1.790
13835401	1.570
29101	1.790
7710	1.57
7688	1.790
119963	1.350
21106520	2.010
7677	2.010
13839441	1.790
9646	2.01
932	2.23
13835180	1.570
259	1.68
7851	2.23
6147	1.790
11526	1.46
13874733	2.010
11750	1.46
6333	1.57
6146	1.790
13835604	1.570
67424	1.790
13884495	1.57
68156	1.790
61471	1.790
5439	1.46
10772140	1.350
72718	1.24
6331	1.57
4200	1.350
10464	1.68
1143	1.24
11787	1.790
62181	1.570
1664	1.790
234	1.46
61632	1.790
6148	1.350
84221	2.12
67620	2.23
6340	2.12
18792	2.23
121154	2.23
11086	2.23
121113	2.23
15438	2.34
454272	2.23
121640	2.12
14751	2.34
14672	1.9
11106	2.34
21073	2.23
6163	2.12
7219	2.34
7706	1.790
126201	2.23
21106560	2.12
2803	1.9
29025	2.45
10465	1.46
21105905	2.12
7022	1.68
7463	1.790
7244	1.9
7242	2.12
55123	2.01
7850	2.23
11095	2.010
11025	2.010
13840	1.790
11838	2.12
29026	2.23
7878	2.120
11029	2.12
21106032	1.68
7238	2.12
30349	1.68
6326	1.350
7701	1.790
13872667	1.46
14840	2.56
13851383	2.12
59607	1.350
10054	1.790
6967	2.34
12814	1.790
14349	2.340
7026	1.9
7765	1.68
10053	1.790
6165	1.9
69736	1.9
8574	2.340
6170	1.68
8909	2.34
733	1.46
60839	1.350
21997	1.9
15117	1.46
13835861	1.68
13835772	2.12
14608	1.9
13835579	1.9
10328	1.9
13839416	1.9
69525	1.570
6164	1.9
10988	1.9
21106481	1.68
18801	1.9
61810	1.68
737	1.350
5050	1.350
4418329	1.35
773	1.57
2070	1.46
3596	1.350
11795	1.790
13220	1.130
10775	2.12
10755	2.23
16689	2.23
11055	2.23
7619	2.23
10737	2.12
69505	2.34
11056	2.010
7385	2.45
14752	2.45
7475	1.9
7761	1.9
10777	1.9
63026	2.23
7626	2.010
17558	2.45
12924	2.12
7515	1.9
10776	2.12
55090	1.9
21106526	1.790
7027	1.68
8490	1.790
14679	2.23
12809	2.56
13864773	1.680
7387	2.23
11998	2.010
11763	2.010
6119	1.24
21170543	2.23
8141	1.9
12810	2.45
21106016	1.570
6341	1.68
13860641	2.23
10364	2.34
21106583	2.01
9614	2.010
16268	2.340
7514	2.12
13875281	2.12
15846	2.340
11170	1.57
8157	1.35
11087	2.010
7391	2.23
13875320	2.12
13619	2.67
7465	1.570
6248	2.010
55085	1.790
29036	1.24
15480	2.45
5889	2.010
8552	1.9
55110	1.79
21106133	1.9
13860775	2.01
7882	2.45
13838404	1.24
8576	2.45
11909	1.9
11875	2.01
19231	1.680
7678	2.010
11530	1.68
361265	1.79
62737	2.01
447	2.01
15443	2.12
66464	2.010
6728	2.23
971	2.010
62577	1.570
66754	1.570
10301338	1.350
12640	1.68
21069	1.790
10008	1.790
177126	1.24
21111768	1.790
87514	1.570
10989	1.9
2016737	1.680
7225	1.9
8524	1.46
1013221	1.570
11107	1.680
21349	1.35
2005898	1.46
8537	1.790
5978	1.350
1477	1.570
11694	1.680
6332	1.350
2005963	1.13
7690	1.570
7683	1.790
13835293	1.790
61707	1.68
2005897	1.790
12225	1.68
66578	1.02
11244	1.46
1414905	1.35
60308	1.35
26072	2.34
12444	2.23
17801	2.23
10759	2.34
15794	2.23
11064	2.34
11370	2.34
18604	2.34
6149	1.130
66568	2.34
6156	1.790
7334	2.340
10420	2.01
13400	2.34
7419	2.56
25609	2.56
10571	1.790
14729	2.34
7621	2.010
21111805	2.23
10534	2.23
70705	2.45
14753	2.56
12807	2.56
7627	1.790
11410	2.45
21111882	2.23
21132380	2.12
13839109	1.79
13471	2.56
7672	2.010
7641	2.34
7689	1.790
7676	2.010
21106169	1.24
13863629	1.790
11062	2.34
13248	2.45
6042	1.350
8335	2.56
7673	2.010
13860692	2.12
10001	1.790
7881	2.45
11655	2.340
11783	1.790
11765	2.12
13856579	1.680
28777	1.9
7802	2.23
67360	2.45
13860335	2.12
11210	2.12
7890	2.780
11077	2.12
7803	2.01
7229	1.9
13842613	2.12
13835895	1.680
7883	2.45
630	1.68
9349	1.9
11862	1.9
21106134	2.23
13876621	1.9
13881329	2.01
9917	1.68
21105871	2.12
1031	1.46
7521	2.34
7235	1.9
6726	2.23
1071	1.9
11063	2.12
287294	1.9
60121	2.120
59438	1.9
12150	1.130
12144	1.790
61553	2.01
7611	1.46
14991	1.9
