Compound Id	AutocorrelationCharge [ATSc1]
1013221	0.1
11107	0.203
21349	0.217
2005898	0.073
8537	0.140
5978	0.172
1477	0.215
11694	0.223
6332	0.220
2005963	0.1
7690	0.154
7683	0.149
13835293	0.170
61707	0.145
2005897	0.073
12225	0.127
66578	0.185
11244	0.226
1414905	0.097
60308	0.116
26072	0.0
12444	0.001
17801	0.001
10759	0.0
15794	0.003
11064	0.0
11370	0.0
18604	0.0
6149	0.223
66568	0.005
6156	0
7334	0.091
10420	0.268
13400	0.0
7419	0.0
25609	0.0
10571	0.275
14729	0.007
7621	0.121
21111805	0.040
10534	0.004
70705	0.003
14753	0.0
12807	0.0
7627	0.266
11410	0.001
21111882	0.027
21132380	0.062
13839109	0.454
13471	0.0
7672	0.027
7641	0.0
7689	0.103
7676	0.040
21106169	0.393
13863629	0.315
11062	0.0
13248	0.044
6042	0.121
8335	0.0
7673	0.027
13860692	0.027
10001	0.192
7881	0.029
11655	0.163
11783	0.096
11765	0.009
13856579	0.4
28777	0.095
7802	0.121
67360	0.098
13860335	0.083
11210	0.070
7890	0.0
11077	0.064
7803	0.192
7229	0.149
13842613	0.061
13835895	0.554
7883	0.132
630	0.267
9349	0.113
11862	0.058
21106134	0.044
13876621	0.197
13881329	0.204
9917	0.277
21105871	0.075
1031	0.359
7521	0.0
7235	0.023
6726	0.029
1071	0.125
11063	0.070
287294	0.227
60121	0.251
59438	0.172
12150	0.193
12144	0.171
61553	0.162
7611	0.245
14991	0.088
59556	0.170
13835151	0.027
9350	0.161
13844	0.023
96573	0.149
11066	0.229
62628	0.167
9357	0.325
66996	0.168
14609	0.090
10432	0.084
1479	0.090
7610	0.274
11708	0.017
10467	0.147
8882	0.194
7651	0.152
764	0.152
653	0.305
392	0.103
24633	0.116
9611	0.190
5705	0.131
11757	0.005
69826	0.0
13450	0.0
7747	0.271
11603	0.0
7628	0.247
7694	0.268
7065	0.267
13837280	0.098
16383	0.158
8568	0.271
7794	0.064
24634	0.003
21105900	0.062
8514	0.273
14205	0.043
11660	0.0
19110	0.0
15432	0.029
11741	0.071
21896	0.0
13875230	0.040
6406	0.277
13840690	0.044
11041	0.120
17474	0.108
13875392	0.027
7891	0.001
12067	0.192
13402	0.0
16486	0.215
6252	0.405
6135	0.088
10236	0.0
9228	0.126
5730	0.176
8160	0.007
13673	0.163
13875180	0.112
7013	0.149
7224	0.095
11180	0.070
12221	0.029
7392	0.148
7903	0.012
63871	0.193
11882	0.0
21106525	0.027
13851576	0.029
7893	0.085
7894	0.132
19108	0.009
13869480	0.199
924	0.094
13840647	0.027
13875160	0.040
6409	0.271
6654	0.152
11057	0.099
6630	0.027
62314	0.008
59426	0.030
370	0.192
7007	0.1
17221	0.184
14890	0.190
7901	0.083
78543	0.084
13875258	0.027
7241	0.169
13849	0.299
9563	0.114
15708	0.086
13875432	0.118
21111781	0.307
14436	0.075
13875219	0.116
7795	0.234
21106513	0.250
28982	0.075
18685	0.167
13839174	0.075
78	0.166
13860491	0.027
62877	0.179
13868660	0.049
8665	0.247
13869414	0.198
11021	0.083
7519	0.054
13842573	0.103
11242	0.242
333	0.167
7480	0.171
13869339	0.067
62226	0.163
13839151	0.075
59439	0.037
7236	0.023
11038	0.035
6991	0.055
16257	0.265
13646	0.160
11350	0.154
7634	0.378
9849	0.368
10955	0.291
6983	0.152
10251740	0.381
6652	0.220
1131173	0.133
9546	0.303
7632	0.197
1013196	0.141
23718	0.008
11179	0.003
10795	0.0
10445	0.0
10742	0.0
7657	0.268
6338	0.075
8659	576.890
7248	0.001
8531	0.0
11818	0.007
61026	0.175
10428	0.268
10253	0.0
11911	0.190
11790	0.268
13040	0.0
7509	0.268
13473	0.0
12829	0.0
21242799	0.040
13451	0.0
14888	0.0
6176	0.119
8013	0.414
13032	0.0
21106562	0.027
7448	0.0
21168731	0.099
13875381	0.040
61200	0.086
7879	0.464
11607	0.095
13839308	0.098
7129	0.003
16887	0.0
8579	0.029
7900	0.044
7744	0.244
11879	0.197
6628	0.068
21106155	0.191
21111850	0.044
11883	0.0
7866	0.192
13881571	0.198
9360	0.165
14787	0.379
12451	0.007
13856009	0.188
13848467	0.265
8138	0.086
9326	0.177
13644	0.185
6677	0.075
70682	0.058
72625	0.052
7132	0.120
13835630	0.370
12060	0.075
66344	0.028
6990	0.068
21105859	0.254
6985	0.068
66551	0.120
8098	0.064
74169	0.055
191427	0.172
21106167	0.095
7135	0.190
11091	0.317
6277	0.084
207215	0.409
7915	0.083
6177	0.188
13861	0.181
21168837	0.017
15526	0.221
13033	0.352
67466	0.336
7388	0.194
14165	0.116
10649	0.626
13866817	0.080
7635	0.385
14163	0.118
21111896	0.088
4642	0.264
11500	0.038
25942	0.199
21105878	0.341
5704	0.079
8911	0.0
25757	0.151
65689	0.102
13836283	0.055
16011	0.102
6253	0.179
24133	0.085
16237	0.160
60497	0.370
11651	0.240
7518	0.067
21106018	0.116
60662	0.149
73531	0.271
63882	0.309
12823	0.123
34095	0.167
56234	0.077
63307	0.110
87265	0.140
21844	0.054
12821	0.173
11181	0.290
521915	0.339
22006	0.067
12822	0.122
13868640	0.054
63180	0.338
9964	0.159
8852	0.059
10471	0.297
16931	0.154
13837582	0.059
13837760	0.167
5975	0.055
4878	0.155
12478	0.171
123	0.207
11022	0.166
8528	0.117
11080	0.105
68939	0.104
68309	0.342
63658	0.170
14346	0.211
68282	0.054
5408	0.105
5596	0.112
11489	0.121
62546	0.347
1017	0.3
13421	0.0
26065	0.0
21998	0.008
26066	0.0
7581	0.005
17976	0.0
26068	0.0
7580	0.003
15532	0.040
9478	0.128
13231	0.008
21106102	0.582
63017	0.158
9903	0.0
73565	0.089
7511	0.268
21106174	0.061
7659	0.0
6977	0.0
13865426	0.409
6794	0.090
20521	0.0
5931	0.386
21106522	0.163
21111905	0.082
6883	0.275
13622	0.001
13869451	0.068
11073	0.036
9328	0.212
6143	0.160
21111798	0.268
7908	0.736
13870160	0.061
12061	0.098
11930	0.271
21105937	0.302
21171406	0.052
17428	0.093
61765	0.230
6974	0.111
31931	0.088
11511	0.053
13438	0.192
15431	0.028
11517	0.379
13837686	0.127
13854818	0.062
10935	0.038
21106578	0.027
11885	0.0
37466	0.135
67735	0.120
17383	0.313
60103	0.216
7871	0.121
23643	0.132
13869434	0.027
12972	0.120
11432	0.062
26091	0.301
13860633	0.055
81759	0.341
6881	0.119
7961	0.239
13839123	0.075
21168833	0.220
29080	0.163
7437	0.084
9910	0.023
21111816	0.059
8873	0.234
6951	0.026
13875441	0.104
2863	0.192
13626	0.275
6788	0.0
11485	0.456
19037	0.221
11433	0.062
477171	0.221
7917	0.083
72054	0.343
21111785	0.344
17163	0.103
69446	0.125
13254	0.206
10790335	0.232
21106019	0.171
8319	0.027
63447	0.124
126037	0.107
20151	0.248
21159424	0.247
6774	0.443
10857	0.177
69896	0.474
21112332	0.266
61802	0.056
13839110	0.075
2005824	0.101
9564	0.167
6988	0.167
6633	0.180
24729	0.174
100	0.159
26031	0.311
13839128	0.075
75563	0.097
10181341	0.192
6160	0.193
11460	0.173
15420	0.430
60129	0.247
4962	0.162
9908	0.059
96816	0.093
11663	0.135
72534	0.110
12173	0.279
8876	0.0
8070	0.190
13839080	0.155
6790	0.027
11662	0.122
56139	0.342
880	0.171
5242	0.321
10250	0.227
4963	0.229
10254	0.145
589165	0.069
12480	0.150
1013337	0.194
3635	0.210
20732	0.180
61354	0.149
60191	484.697
352	0.238
9612	0.363
6191	0.635
14830	0.086
18688	0.265
13038	0.0
11919	0
7507	0.268
7183	0.0
10355	0.0
7088	0.0
6287	0.551
13850405	0.271
21106521	0.223
6342	0.209
13861934	0.266
17481	0.0
6998	0.609
3973	0.474
60340	0.158
8097	0.0
13857694	0.082
73564	0.385
13875377	0.068
13837988	0.088
10239201	0.550
6780	0.062
12230	0.073
13848808	0.359
13063	0.0
9844	0.0
24142	0.001
6949	0.003
13861158	0.345
16377	0.345
7916	0.029
21105936	0.258
13875212	0.058
62402	0.336
21171515	0.027
61797	0.195
67462	0.329
21105889	0.295
10540	0.0
13848341	0.558
21153	0.121
29031	0.132
25119	0.075
13858096	0.307
11650	0.1
14507	0.186
75479	0.152
10648	0.262
7888	0.192
1072	0.190
21106470	0.133
211145	0.138
60136	0.074
15310	0.270
61428	0.053
11556	0.070
21168838	0.088
81705	0.027
12465	0.264
21105848	0.397
21109330	0.152
13837787	0.158
4209	0.310
9327	0.166
11891	0.083
21111804	0.532
8855	0.128
25968	0.125
13013	0.074
65745	0.129
10333	0.216
21111842	0.123
21394	0.075
13864445	0.138
70868	0.231
14390	0.075
221355	0.140
62582	0.166
7185	0.075
124526	0.259
62368	0.167
28973	0.240
16094	0.158
26799	0.126
21111774	0.327
61036	0.487
6852	0.170
62581	0.058
6999	0.0
17687	0.331
65682	0.112
10831	0.0
13860434	0.390
72056	0.167
7143	0.171
70511	0.356
16095	0.144
61585	0.118
32002	0.262
11413	0.182
72416	0.303
10892	0.368
11185	0.0
59433	0.226
10004	0.253
8867	0.121
21105795	0.207
1668	0.207
97850	0.417
10298354	0.171
21105699	0.128
4489	0.250
11673	0.262
238	0.190
2241	0.145
7951	0.174
911	0.214
13262	0.291
993	0.269
6995	0.154
21125563	0.058
6674	0.222
69983	0.156
8066	0.404
2015070	484.683
62423	0.392
58489	0.269
1078	0.389
70865	0.378
11477	0.255
11672	0.190
913	0.260
3268	0.435
10796	0.008
26070	0.0
