Compound Id	KierHallSmarts [khs.sCH3]
291	0
6084	1
11148	1
855	1
864	1
6089	1
6088	1
6094	2
6085	0
6103	1
7956	2
682	1
6100	1
6087	1
654	2
6101	1
6086	0
7954	1
6097	1
7555	2
1004	1
172	1
6092	1
7560	1
11729	2
31029	1
6102	1
5834	0
10046	0
7556	1
9644	0
11151	0
7712	2
6111	0
10437	1
3168	2
7721	1
6114	0
13837190	2
9233	2
7577	1
21171407	0
7566	1
258	1
13835977	0
6093	0
7728	1
512	1
21106015	0
7716	1
9990	2
13836021	1
6106	0
7713	1
21106179	0
13836674	0
6124	2
11835	2
7714	1
7553	0
1114	3
7732	1
11833	2
7711	1
6138	1
7717	1
7557	0
11807	2
7786	2
11834	2
256	1
7767	2
8894	0
3644	2
7559	0
11830	1
7567	0
7734	1
6040	1
7776	1
12977	0
13865015	0
9354	0
12450	1
693	0
278	0
13835550	0
13835336	0
10694	1
9480	0
11723	0
6308	3
64095	1
11099	0
7957	2
11109	1
12209	1
6121	2
6108	0
7737	0
7827	2
14512	3
8543	0
7770	1
1095	0
6104	0
12011	2
175	2
8896	0
7782	1
7772	1
8560	2
31016	2
6310	2
7738	0
7815	1
12010	1
9630	2
2916	0
7739	0
13839553	0
7736	0
7811	1
171	1
659	2
11728	0
173	1
2006126	1
11167	1
10765	2
7604	3
221079	1
7024	1
11110	0
10730	1
10766	2
8544	0
10113	3
68268	2
11121	1
6307	2
29000	2
13854808	3
6127	1
62433	2
6125	1
11125	1
72268	0
62241	2
10340	1
6321	2
11871	2
7810	1
11846	1
13836399	1
6311	2
6313	2
21168808	1
5993	2
13837112	0
349	2
19100	1
8554	0
10018	0
1020	0
13837650	0
7837	1
2275	0
1005	1
7835	1
13854130	0
7791	0
13837537	0
6336	1
236	0
11832	0
7787	0
7551	0
29015	0
13835209	0
8903	0
6334	2
13837702	0
8904	0
11229	1
7790	0
60524	2
13420	1
121383	2
6330	1
10951	0
1913	1
13835459	0
10020	0
6134	0
3530	0
6153	0
11232	1
14893	1
12201	2
6309	1
14686	1
12446	2
81237	1
12430	2
7674	1
14966	2
11551	3
11094	3
8158	3
11222	2
9484	1
122546	2
7605	2
76541	2
7788	0
15221	2
7833	1
8569	2
1108	1
21106561	0
10653	2
11128	0
8525	2
10536	2
7607	2
13839107	1
11865	1
13839199	1
13839575	2
11866	1
5977	0
7856	2
7715	0
11863	1
6305	1
7849	2
10498	0
7852	1
11874	1
6323	1
7838	1
7016	2
10733	3
13835401	0
29101	1
7710	0
7688	1
119963	0
21106520	1
7677	0
13839441	0
9646	4
932	1
13835180	0
259	1
7851	1
6147	3
11526	2
13874733	1
11750	1
6333	0
6146	3
13835604	0
67424	1
13884495	0
68156	0
61471	0
5439	1
10772140	0
72718	1
6331	0
4200	1
10464	1
1143	0
11787	0
62181	0
1664	0
234	0
61632	2
6148	1
84221	2
67620	1
6340	4
18792	2
121154	2
11086	1
121113	1
15438	1
454272	3
121640	2
14751	1
14672	4
11106	3
21073	2
6163	4
7219	1
7706	2
126201	3
21106560	1
2803	0
29025	1
10465	1
21105905	1
7022	1
7463	2
7244	1
7242	1
55123	1
7850	1
11095	2
11025	2
13840	0
11838	0
29026	1
7878	1
11029	2
21106032	0
7238	1
30349	0
6326	0
7701	1
13872667	1
14840	2
13851383	0
59607	0
10054	3
6967	2
12814	1
14349	1
7026	0
7765	0
10053	3
6165	3
69736	0
8574	1
6170	3
8909	0
733	0
60839	0
21997	0
15117	0
13835861	2
13835772	1
14608	1
13835579	0
10328	0
13839416	0
69525	1
6164	3
10988	0
21106481	0
18801	0
61810	1
737	0
5050	0
4418329	1
773	0
2070	0
3596	0
11795	1
13220	1
10775	3
10755	4
16689	3
11055	4
7619	4
10737	3
69505	0
11056	3
7385	1
14752	1
7475	2
7761	2
10777	3
63026	2
7626	4
17558	3
12924	3
7515	2
10776	4
55090	3
21106526	0
7027	0
8490	1
14679	2
12809	1
13864773	2
7387	1
11998	2
11763	2
6119	0
21170543	1
8141	0
12810	2
21106016	0
6341	2
13860641	1
10364	0
21106583	2
9614	0
16268	1
7514	2
13875281	1
15846	1
11170	2
8157	3
11087	0
7391	1
13875320	1
13619	2
7465	1
6248	3
55085	0
29036	0
15480	1
5889	0
8552	1
55110	0
21106133	2
13860775	1
7882	1
13838404	0
8576	1
11909	3
11875	0
19231	0
7678	0
11530	0
361265	0
62737	0
447	1
15443	0
66464	1
6728	1
971	0
62577	0
66754	1
10301338	0
12640	1
21069	0
10008	0
177126	1
21111768	0
87514	2
10989	0
2016737	2
7225	0
8524	0
1013221	1
11107	1
21349	0
2005898	0
8537	0
5978	2
1477	1
11694	2
6332	0
2005963	1
7690	0
7683	0
13835293	2
61707	2
2005897	0
12225	1
66578	0
11244	2
1414905	1
60308	1
26072	2
12444	3
17801	3
10759	4
15794	3
11064	4
11370	4
18604	2
6149	0
66568	1
6156	4
7334	3
10420	2
13400	4
7419	1
25609	3
10571	3
14729	2
7621	3
21111805	1
10534	0
70705	2
14753	1
12807	3
7627	3
11410	1
21111882	1
21132380	2
13839109	2
13471	2
7672	0
7641	2
7689	0
7676	0
21106169	0
13863629	0
11062	2
13248	1
6042	1
8335	2
7673	0
13860692	1
10001	2
7881	1
11655	1
11783	0
11765	1
13856579	1
28777	0
7802	2
67360	1
13860335	0
11210	3
7890	2
11077	2
7803	1
7229	0
13842613	2
13835895	0
7883	1
630	2
9349	0
11862	0
21106134	1
13876621	0
13881329	1
9917	0
21105871	1
1031	1
7521	2
7235	0
6726	1
1071	0
11063	1
287294	1
60121	1
59438	1
12150	1
12144	0
61553	0
7611	0
14991	1
59556	2
13835151	1
9350	0
13844	0
96573	0
11066	0
62628	0
9357	0
66996	0
14609	1
10432	0
1479	1
7610	0
11708	0
10467	2
8882	0
7651	1
764	0
653	2
392	0
24633	1
9611	0
5705	0
11757	4
69826	2
13450	4
7747	3
11603	2
7628	2
7694	2
7065	3
13837280	0
16383	1
8568	2
7794	4
24634	2
21105900	2
8514	1
14205	0
11660	2
19110	1
15432	0
11741	3
21896	3
13875230	1
6406	2
13840690	0
11041	1
17474	0
13875392	1
7891	1
12067	2
13402	4
16486	0
6252	2
6135	1
10236	3
9228	0
5730	0
8160	0
13673	1
13875180	0
7013	0
7224	0
11180	4
12221	1
7392	0
7903	1
63871	0
11882	2
21106525	1
13851576	0
7893	0
7894	1
19108	1
13869480	1
924	2
13840647	2
13875160	1
6409	2
6654	1
11057	3
6630	2
62314	2
59426	1
370	1
7007	0
17221	0
14890	0
7901	1
78543	0
13875258	1
7241	0
13849	1
9563	1
15708	2
13875432	0
21111781	1
14436	0
13875219	0
7795	2
21106513	0
28982	1
18685	0
13839174	2
78	0
13860491	2
62877	1
13868660	0
8665	1
13869414	1
11021	1
7519	0
13842573	0
11242	0
333	1
7480	0
13869339	0
62226	2
13839151	2
59439	0
7236	0
11038	0
6991	1
16257	1
13646	2
11350	1
7634	0
9849	0
10955	0
6983	1
10251740	0
6652	0
1131173	1
9546	0
7632	1
1013196	0
23718	4
11179	4
10795	5
10445	5
10742	5
7657	3
6338	1
8659	3
7248	1
8531	2
11818	2
61026	0
10428	2
10253	3
11911	0
11790	2
13040	3
7509	2
13473	2
12829	3
21242799	1
13451	4
14888	3
6176	4
8013	1
13032	3
21106562	1
7448	2
21168731	0
13875381	2
61200	0
7879	0
11607	1
13839308	0
7129	1
16887	3
8579	1
7900	1
7744	2
11879	0
6628	1
21106155	1
21111850	1
11883	2
7866	1
13881571	1
9360	0
14787	1
12451	4
13856009	1
13848467	0
8138	1
