Compound Id	BCUT [BCUTw-1l]
1013221	11.999
11107	11.994
21349	11.953
2005898	11.995
8537	11.996
5978	11.999
1477	11.996
11694	11.890
6332	11.999
2005963	11.999
7690	11.994
7683	11.996
13835293	11.996
61707	11.994
2005897	11.999
12225	11.989
66578	12.0
11244	11.994
1414905	11.999
60308	11.998
26072	11.9
12444	11.79
17801	11.890
10759	11.89
15794	11.890
11064	11.89
11370	11.89
18604	11.9
6149	11.998
66568	11.8
6156	11.998
7334	11.890
10420	11.890
13400	11.89
7419	11.850
25609	11.890
10571	11.996
14729	11.89
7621	11.89
21111805	11.999
10534	11.9
70705	11.890
14753	11.9
12807	11.890
7627	11.890
11410	11.790
21111882	11.999
21132380	11.890
13839109	11.89
13471	11.890
7672	11.999
7641	11.890
7689	11.999
7676	11.999
21106169	11.997
13863629	11.989
11062	11.9
13248	11.999
6042	11.999
8335	11.890
7673	11.999
13860692	11.994
10001	11.890
7881	11.999
11655	11.850
11783	11.999
11765	11.999
13856579	11.953
28777	11.994
7802	11.890
67360	11.953
13860335	11.996
11210	11.996
7890	11.890
11077	11.890
7803	11.996
7229	11.996
13842613	11.890
13835895	11.996
7883	11.989
630	11.89
9349	11.998
11862	11.999
21106134	11.999
13876621	11.953
13881329	11.999
9917	11.997
21105871	11.996
1031	11.890
7521	11.890
7235	11.999
6726	11.999
1071	11.994
11063	11.996
287294	11.996
60121	11.996
59438	11.996
12150	12.0
12144	11.9
61553	11.994
7611	11.997
14991	11.994
59556	11.996
13835151	11.994
9350	11.850
13844	11.9
96573	11.996
11066	11.997
62628	11.996
9357	11.997
66996	11.999
14609	11.994
10432	11.999
1479	11.994
7610	11.994
11708	11.999
10467	11.994
8882	11.995
7651	11.994
764	11.996
653	11.996
392	11.996
24633	11.994
9611	11.994
5705	11.994
11757	11.890
69826	11.9
13450	11.890
7747	11.890
11603	11.890
7628	11.890
7694	11.89
7065	11.89
13837280	11.999
16383	11.999
8568	11.890
7794	11.890
24634	11.9
21105900	11.890
8514	11.790
14205	11.999
11660	11.890
19110	11.9
15432	11.999
11741	11.890
21896	11.89
13875230	11.999
6406	11.996
13840690	11.999
11041	11.9
17474	11.999
13875392	11.999
7891	11.790
12067	11.996
13402	11.890
16486	11.989
6252	11.997
6135	12.0
10236	11.890
9228	11.999
5730	11.999
8160	11.9
13673	11.850
13875180	11.999
7013	11.999
7224	11.953
11180	11.996
12221	11.999
7392	11.996
7903	11.998
63871	11.996
11882	11.890
21106525	11.993
13851576	11.999
7893	11.996
7894	11.989
19108	11.999
13869480	11.994
924	11.850
13840647	11.993
13875160	11.999
6409	11.994
6654	11.998
11057	11.997
6630	11.890
62314	11.999
59426	11.993
370	11.996
7007	11.999
17221	11.996
14890	11.996
7901	11.996
78543	11.996
13875258	11.999
7241	11.953
13849	11.994
9563	11.994
15708	11.890
13875432	11.850
21111781	11.989
14436	11.9
13875219	11.999
7795	11.996
21106513	11.999
28982	11.996
18685	11.996
13839174	11.89
78	11.953
13860491	11.993
62877	11.999
13868660	11.999
8665	11.996
13869414	11.994
11021	11.996
7519	11.999
13842573	11.850
11242	11.999
333	11.996
7480	11.9
13869339	11.999
62226	11.890
13839151	11.890
59439	11.999
7236	11.9
11038	11.999
6991	11.994
16257	11.989
13646	11.850
11350	11.996
7634	11.989
9849	11.996
10955	11.989
6983	11.996
10251740	11.994
6652	11.996
1131173	11.997
9546	11.995
7632	11.9
1013196	11.999
23718	11.890
11179	11.890
10795	11.890
10445	11.890
10742	11.89
7657	11.890
6338	11.999
8659	11.009
7248	11.790
8531	11.850
11818	11.890
61026	12.0
10428	11.890
10253	11.890
11911	11.999
11790	11.89
13040	11.890
7509	11.890
13473	11.850
12829	11.890
21242799	11.850
13451	11.890
14888	11.890
6176	11.890
8013	11.999
13032	11.890
21106562	11.850
7448	11.890
21168731	11.999
13875381	11.890
61200	11.997
7879	11.999
11607	11.953
13839308	11.953
7129	11.850
16887	11.890
8579	11.999
7900	11.999
7744	11.890
11879	11.953
6628	11.994
21106155	11.993
21111850	11.999
11883	11.890
7866	11.996
13881571	11.999
9360	11.996
14787	11.995
12451	11.890
13856009	11.850
13848467	11.996
8138	11.998
9326	11.998
13644	11.850
6677	11.996
70682	11.999
72625	11.999
7132	11.850
13835630	11.996
12060	11.996
66344	11.993
6990	11.999
21105859	11.996
6985	11.994
66551	11.9
8098	11.850
74169	11.994
191427	11.999
21106167	11.953
7135	11.9
11091	11.996
6277	11.996
207215	11.989
7915	11.996
6177	11.996
13861	11.997
21168837	11.999
15526	11.996
13033	11.996
67466	11.89
7388	11.989
14165	11.999
10649	11.996
13866817	11.850
7635	11.989
14163	11.996
21111896	11.999
4642	11.989
11500	11.999
25942	11.993
21105878	11.996
5704	11.9
8911	11.9
25757	11.999
65689	11.996
13836283	11.994
16011	11.999
6253	11.999
24133	11.999
16237	11.999
60497	11.953
11651	11.996
7518	11.999
21106018	11.996
60662	11.999
73531	11.953
63882	11.989
12823	11.999
34095	11.996
56234	11.850
63307	11.999
87265	11.999
21844	11.994
12821	11.850
11181	11.996
521915	11.999
22006	11.994
12822	11.994
13868640	11.850
63180	11.996
9964	11.996
8852	11.850
10471	11.989
16931	11.996
13837582	11.994
13837760	11.996
5975	11.89
4878	11.996
12478	11.996
123	11.850
11022	11.996
8528	11.994
11080	11.994
68939	11.999
68309	11.994
63658	11.989
14346	11.994
68282	11.989
5408	11.850
5596	11.996
11489	11.890
62546	11.89
1017	11.989
13421	11.890
26065	11.890
21998	11.89
26066	11.890
7581	11.890
17976	11.890
26068	11.890
7580	11.890
15532	11.999
9478	11.890
13231	11.890
21106102	11.996
63017	11.999
9903	11.9
73565	11.890
7511	11.890
21106174	11.890
7659	11.890
6977	11.890
13865426	11.890
6794	11.850
20521	11.9
5931	11.890
21106522	11.997
21111905	11.999
6883	11.85
13622	11.79
13869451	11.994
11073	11.999
9328	11.994
6143	12.0
21111798	11.998
7908	11.996
13870160	11.988
12061	11.953
11930	11.994
21105937	11.85
21171406	11.999
17428	11.999
61765	11.85
6974	11.999
31931	11.999
11511	11.999
13438	11.996
15431	11.999
11517	11.989
13837686	11.999
13854818	11.850
10935	11.999
21106578	11.890
11885	11.890
37466	11.999
67735	11.890
17383	11.996
60103	11.850
7871	11.890
23643	11.989
13869434	11.89
12972	11.890
11432	11.850
26091	11.999
13860633	11.994
81759	11.996
6881	11.850
7961	11.997
13839123	11.996
21168833	11.999
29080	11.9
7437	11.999
9910	11.998
21111816	11.999
8873	11.994
6951	11.998
13875441	11.996
2863	11.89
13626	11.9
6788	11.850
11485	11.994
19037	11.999
11433	11.850
477171	11.996
7917	11.996
72054	11.996
21111785	11.850
17163	11.953
69446	11.993
13254	11.989
10790335	11.999
21106019	11.999
8319	11.850
63447	11.890
126037	11.999
20151	11.999
21159424	11.996
6774	11.996
10857	11.999
69896	11.996
21112332	11.953
61802	11.999
13839110	11.850
2005824	11.890
9564	11.996
6988	11.999
6633	11.996
24729	11.996
100	11.996
26031	11.999
13839128	11.850
75563	11.999
10181341	11.85
6160	11.997
11460	11.850
15420	11.996
60129	11.999
4962	11.996
9908	11.994
96816	11.999
11663	11.999
72534	11.996
12173	11.999
8876	11.850
8070	11.89
13839080	11.996
6790	11.850
11662	11.999
56139	11.996
880	11.890
5242	11.999
10250	11.996
4963	11.994
10254	11.993
589165	11.850
12480	11.890
1013337	11.999
3635	11.850
20732	11.994
61354	11.994
60191	11.007
352	11.996
9612	11.995
6191	11.998
14830	11.999
18688	11.890
13038	11.850
11919	11.890
7507	11.890
7183	11.890
10355	11.890
7088	11.850
6287	11.890
13850405	11.850
21106521	11.997
6342	11.999
13861934	11.999
17481	11.9
6998	11.890
3973	11.998
60340	11.999
8097	11.9
13857694	11.999
73564	11.890
13875377	11.999
13837988	11.999
10239201	11.997
6780	11.988
12230	11.999
13848808	11.996
13063	11.850
9844	11.890
24142	11.790
6949	11.9
13861158	11.999
16377	11.988
7916	11.999
21105936	11.996
13875212	11.999
62402	11.85
21171515	11.890
61797	11.999
67462	11.89
21105889	11.989
10540	11.890
13848341	11.996
21153	11.890
29031	11.988
25119	11.996
13858096	11.993
11650	11.997
14507	11.997
75479	11.89
10648	11.999
7888	11.890
1072	11.993
21106470	11.988
211145	11.999
60136	11.999
15310	11.999
61428	11.998
11556	11.996
21168838	11.850
81705	11.9
12465	11.9
21105848	11.989
21109330	11.996
13837787	11.996
4209	11.989
9327	11.998
11891	11.996
21111804	11.996
8855	11.988
25968	11.999
13013	11.999
65745	11.994
10333	11.996
21111842	11.953
21394	11.996
13864445	11.999
70868	11.999
14390	11.9
221355	11.989
62582	11.996
7185	11.89
124526	11.953
62368	11.996
28973	11.850
16094	11.999
26799	11.999
21111774	11.89
61036	11.994
6852	11.85
62581	11.999
6999	11.89
17687	11.999
65682	11.999
10831	11.890
13860434	11.989
72056	11.996
7143	11.996
70511	11.953
16095	11.999
61585	11.989
32002	11.850
11413	11.996
72416	11.999
10892	11.996
11185	11.890
59433	11.953
10004	11.9
8867	11.850
21105795	11.989
1668	11.999
97850	11.989
10298354	11.890
21105699	11.850
4489	11.989
11673	11.989
238	11.996
2241	11.994
7951	11.850
911	11.994
13262	11.890
993	11.996
6995	11.996
21125563	11.999
6674	11.999
69983	11.996
8066	11.996
2015070	11.007
62423	11.890
58489	11.9
1078	11.996
70865	11.996
11477	11.996
11672	11.953
913	11.996
3268	11.989
10796	11.890
26070	11.890
12199	11.998
387	11.999
7073	11.890
15468	11.850
13439	11.890
7670	11.890
21105987	11.85
6656	11.994
13885245	11.85
13837281	11.999
7876	11.993
13882337	11.999
21106517	11.999
11412	11.999
26801	11.890
21159680	11.850
9078	11.997
83703	11.890
13876103	11.790
59482	11.850
6657	11.996
12044	11.850
21105867	11.890
11889	11.790
21106014	11.999
21106112	11.993
21111819	11.989
21108245	11.996
67835	11.997
17019	11.998
60586	11.996
21111817	11.999
21171496	11.999
11892	11.890
10800462	11.997
10771160	11.996
61434	11.996
21105932	11.996
69057	11.999
16685	11.993
6862	11.850
63909	11.996
11510	11.996
85185	11.998
21865	11.953
6479	11.989
64147	11.999
21106008	11.989
8140	11.850
3756	11.996
62236	11.890
20548	11.953
12818	11.999
15622	11.999
71784	11.999
13869655	11.999
18707	11.996
4611	11.850
11778	11.994
69628	11.999
13873600	11.999
15440	11.999
9900	11.997
68896	11.999
10772050	11.989
65	11.999
15317	11.999
6954	11.988
13667	11.9
11970	11.988
60848	11.9
13860817	11.994
12229	11.999
12675	11.850
11083	11.996
10881	11.993
97904	11.953
6481	11.999
13875161	11.890
6621	11.989
11327	11.989
1847	11.996
14836	11.996
8154	11.989
11509	11.994
13869661	11.996
63459	11.850
65701	11.999
10322	11.999
71655	11.999
62466	11.993
6739	11.996
6480	11.85
723	11.996
21106518	11.993
64111	11.996
7189	11.996
11417	11.993
7140	11.996
67879	11.996
11263	11.996
21106017	11.996
10895	11.993
8341	11.996
63931	11.993
7589	11.79
13835557	11.996
6943	11.989
62682	11.996
7797	11.996
29129	11.999
62532	11.994
3708	11.996
8438	11.996
64644	11.997
58563	11.996
62485	11.993
7190	11.996
68568	11.994
953	11.850
6787	11.989
132	11.996
571424	11.989
58968	11.999
9128	11.994
11588	11.850
452568	11.890
7090	11.997
21171506	11.89
10245	11.850
13865630	11.890
11246	11.999
7430	11.85
13448	11.89
21111758	11.989
12831	11.999
14942	11.9
6735	11.999
62359	11.850
21108549	11.998
7847	11.996
12674	11.9
62938	11.850
20140	11.89
10273	11.989
15644	11.999
11824	11.996
61196	11.997
21723	11.790
66365	11.953
62618	11.890
73658	11.993
7921	11.999
13867055	11.999
11304	11.890
13835126	11.999
69792	11.999
21111776	11.999
13881395	11.999
78722	11.999
21170125	11.999
33137	11.953
11145	11.890
6574	11.850
73537	11.996
14309	11.999
7175	11.996
13859497	11.997
14956	11.999
1306	11.994
13835344	11.996
13258	11.999
17720	11.999
33621	11.999
66385	11.999
11507	11.850
12013	11.890
6023	11.999
7186	11.999
776	11.988
21111723	11.996
62471	11.996
10303	11.999
14348	11.996
258907	11.890
10894	11.999
21159611	11.850
14918	11.996
12690	11.9
61763	11.850
19669	11.996
60464	11.989
60093	11.953
7662	11.850
53706	11.996
11332993	11.850
21106121	11.996
13868642	11.999
6828	11.850
70309	11.988
13867714	11.988
10248	11.890
79453	11.996
12669	11.996
59562	11.999
6878	11.999
7199	11.850
21112367	11.989
39404	11.996
9454	11.997
9218	11.997
11781	11.996
17347	11.85
11638	11.993
7740	11.996
217532	11.996
70512	11.997
12244	11.890
60032	11.999
62536	11.953
72274	11.994
6950	11.989
18107	11.996
11971	11.996
8998	11.999
1928	11.996
10977	11.996
91446	11.953
11585	11.85
11589	11.996
62484	11.999
63310	11.994
11776	11.85
23422	11.989
10380	11.999
7176	11.996
8382	11.994
88942	11.993
638258	11.999
13036	11.996
6724	11.996
11289	11.996
11626	11.996
13846959	11.999
10396	11.993
10243171	11.890
124	11.850
191	11.996
9225	11.997
81061	11.850
10972	11.85
11369	11.999
11773	11.953
10297844	11.993
6482	11.996
11576	11.996
10256859	11.993
73183	11.993
68122	11.996
5593	11.989
11587	11.999
608157	11.998
68837	11.996
5878	11.994
10181338	11.989
13257	11.89
62884	11.999
75095	11.996
1446	11.996
20160	11.994
62307	11.996
2005830	11.995
6079	11.999
10980	11.85
13866746	11.998
61190	11.997
31082	11.89
58333	11.999
6942	11.999
7301	11.9
21112244	11.890
63002	11.890
12045	11.850
15603	11.85
7300	11.988
8187	11.999
15410	11.850
67145	11.9
63057	11.993
7925	11.790
21111810	11.994
62633	11.69
7302	11.850
11372	11.994
67268	11.997
16913	11.998
67803	11.997
11573	11.999
11895	11.890
21278	11.999
21159579	11.999
6585	11.953
65704	11.89
6957	11.890
55242	11.890
11353	11.999
124512	11.850
61790	11.999
21106584	11.850
10966	11.996
13669	11.999
21106577	11.999
73763	11.850
59691	11.999
12047	11.850
21108577	11.996
6748	11.993
21105998	11.890
510851	11.998
10621	11.996
60092	11.996
62483	11.999
11003	11.850
6835	11.850
72918	11.993
15016	11.993
12259	11.890
63503	11.999
10539	11.996
11354	11.999
11488	11.9
62656	11.999
21111840	11.999
13029	11.999
66663	11.953
13839012	11.996
7928	11.996
60259	11.996
5966	11.989
73125	11.953
32882	11.989
11450	11.953
12586	11.890
13668	11.890
77230	11.9
7001	11.999
31264	11.999
14948	11.996
62390	11.989
12830	11.989
14690	11.994
60900	11.997
2972	11.890
11009	11.999
11584	11.999
8381	11.989
58331	11.953
13854242	11.850
10897	11.993
72141	11.999
3637837	11.996
63495	11.996
73626	11.996
72466	11.953
13846663	11.996
72148	11.996
68265	11.996
73512	11.994
61199	11.997
62698	11.993
15093	11.996
376	11.996
15244	11.996
10298355	11.994
11484	11.988
21106900	11.989
1583	11.994
50	11.996
8127	11.850
67229	11.996
13846749	11.996
61279	11.997
15663	11.996
9574	11.996
9547	11.997
284794	11.994
5622	11.996
9965	11.996
7805	11.996
6175	11.997
7279	11.993
11628	11.996
63512	11.996
121262	11.996
13476	11.996
222	11.994
6032	11.996
63328	11.996
6658	11.999
331	11.996
6675	11.999
14560	11.999
20861	11.999
7399	11.999
7141	11.996
79400	11.989
6246	11.89
10411	11.999
15753	11.89
11563	11.996
62357	11.996
7142	11.996
8155	11.996
68899	11.993
21185	11.996
11591	11.996
12055	11.996
61257	11.998
6270	11.890
7170	11.89
452969	11.89
452968	11.890
7116	11.999
6179	11.999
72051	11.850
13835108	11.890
11424	11.850
4436353	11.890
6296	11.890
15494	11.999
9425	11.997
14530	11.890
21159425	11.996
20124	11.999
15488	11.850
21171393	11.999
29024	11.996
64152	11.996
7926	11.999
77127	11.999
83365	11.999
8277	11.953
62583	11.953
21106529	11.999
7929	11.890
11434	11.999
62453	11.996
61418	11.997
1346	11.850
63533	11.85
60462	11.989
63208	11.996
12697	11.850
1688	11.996
60937	11.996
68404	11.993
21106540	11.999
70085	11.999
10237273	11.85
14340	11.996
7114	11.9
68709	11.996
21106585	11.993
55806	11.953
2973	11.994
13249	11.996
7364	11.850
6855	11.850
13272	11.988
6898	11.850
66847	11.890
15886	11.996
12840	11.890
38364	11.999
14559	11.989
12861	11.85
6620	11.999
1615	11.997
63956	11.953
27488	11.999
61381	11.993
71213	11.999
71964	11.850
15435	11.996
13848793	11.997
10446934	11.999
61542	11.890
6906	11.993
6864	11.996
15489	11.850
13490	11.989
61594	11.993
23083	11.850
70988	11.996
78578	11.999
11449	11.850
14413	11.988
6478	11.9
15418	11.89
54970	11.989
61599	11.999
6907	11.85
25276	11.999
21170959	11.999
6222	11.989
11446	11.850
7174	11.999
63319	11.999
8333	11.989
79481	11.989
60631	11.996
61749	11.996
1278	11.850
91500	11.996
8861	11.850
28829	11.994
8282	11.996
11624	11.996
15517	11.989
18799	11.997
68816	11.997
11399	11.890
4590	11.890
62467	11.994
8071	11.999
62328	11.999
1675	11.996
10025	11.996
84565	11.999
11476	11.996
13048	11.996
29091	11.890
62795	11.988
71934	11.996
7092	11.999
6707	11.996
531832	11.996
434	11.996
66572	11.989
70021	11.999
24438	11.999
6824	11.996
14869	11.993
72291	11.994
