Compound Id	BCUT [BCUTc-1l]
291	-0.077922923146016
6084	-0.177757819850023
11148	-0.287298674925307
855	-0.238057703377773
864	-0.425376469352967
6089	-0.367455384569290
6088	-0.167104542522008
6094	-0.171994663421725
6085	-0.315819182587230
6103	-0.233762459172020
7956	-0.413989067099258
682	-0.422125210921521
6100	-0.161874172226032
6087	-0.223427551482310
654	-0.357422035877071
6101	-0.364361283247916
6086	-0.433050408607692
7954	-0.183136877150630
6097	-0.219300662858193
7555	-0.170621072609785
1004	-0.421734982730327
172	-0.390170709780652
6092	-0.196960440736302
7560	-0.233037644772250
11729	-0.223913356568478
31029	-0.160848153001920
6102	-0.437787237514880
5834	-0.329451896962726
10046	-0.411033120817707
7556	-0.160495655701695
9644	-0.2755027430151
11151	-0.253542581836866
7712	-0.170508481000964
6111	-0.152797442108960
10437	-0.218686609690220
3168	-0.381188044916673
7721	-0.232982875500692
6114	-0.397339538854341
13837190	-0.386460740975953
9233	-0.161970982049562
7577	-0.344508165507887
21171407	-0.151817731238909
7566	-0.436813315997692
258	-0.421714133093128
13835977	-0.359273849054356
6093	-0.190963138113649
7728	-0.418326042690546
512	-0.389508149961228
21106015	-0.419115445686662
7716	-0.363880045808219
9990	-0.176189995175965
13836021	-0.419850426333899
6106	-0.137610148323593
7713	-0.306952295442931
21106179	-0.195242201876534
13836674	-0.212309378429116
6124	-0.229542947374897
11835	-0.380921872306866
7714	-0.218644200218348
7553	-0.189300757543626
1114	-0.348090481903355
7732	-0.353926539055668
11833	-0.410930092153237
7711	-0.196192245455520
6138	-0.393905515096865
7717	-0.436739421722784
7557	-0.294572410762131
11807	-0.175990967936245
7786	-0.140754805789714
11834	-0.223696002757702
256	-0.389461831167454
7767	-0.170505165176607
8894	-0.152797442108960
3644	-0.418896894870653
7559	-0.382195266039863
11830	-0.160760419449499
7567	-0.426043740518227
7734	-0.344469197834211
6040	-0.421714981777929
7776	-0.232982090536305
12977	-0.420240721907401
13865015	-0.230633582999219
9354	-0.417783646503608
12450	-0.406782589712971
693	-0.300009681715949
278	-0.354296388261433
13835550	-0.361754279002868
13835336	-0.394444989543094
10694	-0.277722817788443
9480	-0.257703032016515
11723	-0.157104255885272
6308	-0.169263061234027
64095	-0.145392407157521
11099	-0.304995312003472
7957	-0.175211977592063
11109	-0.170555684492021
12209	-0.422983641097617
6121	-0.215223805451123
6108	-0.198253480542155
7737	-0.380627853051229
7827	-0.166103802067627
14512	-0.221435145694422
8543	-0.218368801348078
7770	-0.4367372245113
1095	-0.161409385840624
6104	-0.185134112248296
12011	-0.170406438336982
175	-0.299794849716148
8896	-0.152797442108960
7782	-0.344469028275457
7772	-0.389461116772922
8560	-0.170505143266967
31016	-0.175984897665994
6310	-0.363455466522870
7738	-0.368305063743932
7815	-0.232983166265025
12010	-0.160760944958391
9630	-0.356023711572023
2916	-0.166165377593192
7739	-0.151741862862507
13839553	-0.421541865464283
7736	-0.262911598020707
7811	-0.363881955097271
171	-0.351666803410558
659	-0.259591814165410
11728	-0.347363515850023
173	-0.297184697460322
2006126	-0.333299593190294
11167	-0.163286268131873
10765	-0.155063464998674
7604	-0.164724890140523
221079	-0.145518640315330
7024	-0.146886307870935
11110	-0.306803057018404
10730	-0.188979389107359
10766	-0.173455871414490
8544	-0.140500559273198
10113	-0.173417077275041
68268	-0.138163290989652
11121	-0.170688839171118
6307	-0.195536178833528
29000	-0.421693144926484
13854808	-0.384498031953373
6127	-0.273530524556770
62433	-0.175455109571547
6125	-0.181346876955694
11125	-0.344470163014372
72268	-0.217985799045322
62241	-0.133470426580996
10340	-0.4093512163907
6321	-0.299501627481187
11871	-0.165716711830586
7810	-0.196193290027639
11846	-0.436737557649354
13836399	-0.418328238538853
6311	-0.435844395961007
6313	-0.388848367741813
21168808	-0.232766636979889
5993	-0.364305844954147
13837112	-0.391017435160808
349	-0.17050515057365
19100	-0.160761505632868
8554	-0.380633055358109
10018	-0.377947507969289
1020	-0.230554456028303
13837650	-0.214484807142895
7837	-0.421717898974819
2275	-0.338918003469913
1005	-0.351378287378502
7835	-0.363883317299863
13854130	-0.215263152520196
7791	-0.315985104957283
13837537	-0.378073280918161
