Compound Id	AutocorrelationMass [ATSm4]
1013221	9.009
11107	5.664
21349	7.672
2005898	5.340
8537	5.830
5978	0.0
1477	8.435
11694	6.997
6332	7.374
2005963	11.229
7690	5.665
7683	6.052
13835293	7.993
61707	4.997
2005897	8.506
12225	2.0
66578	5.827
11244	4.997
1414905	7.949
60308	4.692
26072	7.0
12444	4.0
17801	6.0
10759	7.0
15794	4.0
11064	5.0
11370	8.0
18604	6.0
6149	0.0
66568	7.0
6156	0.0
7334	9.499
10420	7.996
13400	9.0
7419	9.0
25609	8.0
10571	7.660
14729	8.0
7621	4.332
21111805	15.855
10534	7.0
70705	6.0
14753	9.0
12807	7.0
7627	4.332
11410	10.0
21111882	26.958
21132380	7.166
13839109	7.107
13471	11.0
7672	16.305
7641	7.0
7689	9.070
7676	8.904
21106169	6.321
13863629	5.107
11062	7.0
13248	9.952
6042	0.0
8335	12.0
7673	16.305
13860692	7.332
10001	4.664
7881	13.653
11655	9.996
11783	17.577
11765	26.132
13856579	7.162
28777	7.665
7802	6.332
67360	8.166
13860335	7.664
11210	9.996
7890	9.0
11077	7.499
7803	6.664
7229	7.997
13842613	7.166
13835895	9.323
7883	8.332
630	5.439
9349	8.496
11862	16.305
21106134	13.904
13876621	5.332
13881329	29.832
9917	2.664
21105871	7.664
1031	6.213
7521	7.0
7235	7.665
6726	21.305
1071	7.665
11063	7.664
287294	5.664
60121	13.103
59438	7.830
12150	0.0
12144	5.830
61553	11.163
7611	5.616
14991	7.499
59556	10.993
13835151	7.332
9350	8.828
13844	4.997
96573	7.997
11066	9.317
62628	7.664
9357	3.830
66996	9.236
14609	7.665
10432	26.796
1479	7.499
7610	3.664
11708	45.264
10467	4.498
8882	7.360
7651	7.665
764	8.328
653	5.107
392	7.997
24633	8.528
9611	3.499
5705	9.385
11757	4.0
69826	6.0
13450	6.0
7747	5.996
11603	9.0
7628	4.332
7694	9.328
7065	8.660
13837280	17.426
16383	8.284
8568	7.664
7794	6.665
24634	7.0
21105900	9.332
8514	8.328
14205	15.855
11660	9.0
19110	10.0
15432	26.958
11741	6.332
21896	8.0
13875230	10.904
6406	7.660
13840690	10.904
11041	7.664
17474	11.807
13875392	18.305
7891	9.0
12067	5.664
13402	12.0
16486	7.830
6252	7.993
6135	0.0
10236	11.0
9228	12.067
5730	0.0
8160	2.0
13673	10.996
13875180	19.469
7013	23.329
7224	7.332
11180	6.664
12221	14.653
7392	8.664
7903	11.670
63871	6.664
11882	10.0
21106525	9.332
13851576	18.305
7893	9.332
7894	9.332
19108	19.566
13869480	9.997
924	9.332
13840647	11.499
13875160	10.904
6409	9.661
6654	10.558
11057	5.670
6630	11.665
62314	49.264
59426	9.332
370	7.664
7007	101.822
17221	8.720
14890	5.328
7901	10.332
78543	7.996
13875258	18.305
7241	7.692
13849	7.439
9563	12.078
15708	12.004
13875432	11.568
21111781	13.660
14436	12.664
13875219	11.568
7795	7.439
21106513	13.768
28982	9.664
18685	8.664
13839174	12.328
78	7.665
13860491	10.332
62877	28.796
13868660	30.035
8665	10.328
13869414	9.997
11021	9.664
7519	18.638
13842573	18.970
11242	10.528
333	13.435
7480	9.997
13869339	11.236
62226	7.328
13839151	11.996
59439	21.645
7236	7.997
11038	37.437
6991	10.831
16257	6.830
13646	9.499
11350	12.993
7634	5.328
9849	7.660
10955	5.328
6983	11.660
10251740	8.213
6652	8.998
1131173	10.176
9546	9.441
7632	5.052
1013196	5.340
23718	6.0
11179	6.0
10795	8.0
10445	5.0
10742	9.0
7657	7.996
6338	2.664
8659	10.693
7248	9.0
8531	11.0
11818	5.0
61026	0.0
10428	10.328
10253	12.0
11911	26.139
11790	10.328
13040	12.0
7509	9.996
13473	10.0
12829	12.0
21242799	12.904
13451	7.0
14888	12.0
6176	6.996
8013	18.060
13032	13.0
21106562	20.305
7448	11.0
21168731	44.008
13875381	18.807
61200	10.164
7879	13.639
11607	9.332
13839308	8.166
7129	9.0
16887	13.0
8579	15.653
7900	11.952
7744	5.664
11879	7.332
6628	17.354
21106155	10.997
21111850	12.904
11883	11.0
7866	8.664
13881571	20.970
9360	8.828
14787	10.218
12451	5.0
13856009	9.997
13848467	10.439
8138	14.672
9326	10.935
13644	9.830
6677	12.996
70682	18.305
72625	16.243
7132	9.664
13835630	10.660
12060	10.664
66344	9.332
6990	14.402
21105859	12.328
6985	16.188
66551	12.664
8098	12.332
74169	27.290
191427	29.796
21106167	9.332
7135	10.328
11091	5.996
6277	10.996
207215	10.213
7915	11.332
6177	7.993
13861	10.496
21168837	45.264
15526	11.317
13033	16.541
67466	16.103
7388	8.664
14165	14.9
10649	11.762
13866817	14.807
7635	5.328
14163	16.519
21111896	19.807
4642	13.328
11500	38.786
25942	13.329
21105878	12.328
5704	14.329
8911	12.0
25757	15.464
65689	27.622
13836283	7.665
16011	22.302
6253	5.328
24133	13.163
16237	15.954
60497	9.329
11651	11.328
7518	22.209
21106018	16.519
60662	16.121
73531	14.162
63882	9.993
12823	13.568
34095	9.664
56234	9.664
63307	20.970
87265	28.796
21844	27.290
12821	9.997
11181	8.877
521915	18.412
22006	16.188
12822	9.665
13868640	29.611
63180	14.767
9964	10.996
8852	12.665
10471	5.328
16931	13.660
13837582	9.025
13837760	10.103
5975	4.332
4878	8.328
12478	9.997
123	10.328
11022	12.328
8528	7.831
11080	7.997
68939	28.464
68309	7.578
63658	9.329
14346	10.163
68282	14.215
5408	10.830
5596	9.550
11489	11.665
62546	7.329
1017	10.938
13421	10.0
26065	10.0
21998	7.0
26066	8.0
7581	5.0
17976	6.0
26068	10.0
7580	5.0
15532	17.855
9478	6.332
13231	16.737
21106102	9.993
63017	10.284
9903	9.0
73565	10.0
7511	10.996
21106174	9.166
7659	9.0
6977	10.0
13865426	8.328
6794	13.332
20521	12.0
5931	13.332
21106522	9.664
21111905	19.759
6883	12.660
13622	11.0
13869451	11.236
11073	37.437
9328	13.504
6143	0.0
21111798	12.491
7908	13.098
13870160	14.499
12061	9.166
11930	9.993
21105937	12.328
21171406	61.224
17428	93.086
61765	12.771
6974	27.832
31931	28.472
11511	38.263
13438	5.664
15431	20.305
11517	8.993
13837686	15.5
13854818	15.499
10935	107.729
21106578	9.332
11885	12.0
37466	190.338
67735	10.664
17383	6.996
60103	11.997
7871	9.332
23643	11.332
13869434	10.499
12972	10.664
11432	14.665
26091	18.006
13860633	18.638
81759	15.660
6881	11.996
7961	11.796
13839123	10.996
21168833	12.596
29080	5.328
7437	16.807
9910	22.807
21111816	26.396
8873	9.997
6951	12.340
13875441	18.970
2863	9.664
13626	5.328
6788	14.0
11485	11.545
19037	12.317
11433	14.499
477171	14.317
7917	12.332
72054	16.993
21111785	12.993
17163	12.506
69446	10.499
13254	4.886
10790335	23.052
21106019	13.568
8319	15.499
63447	6.499
126037	29.298
20151	19.832
21159424	17.454
6774	18.541
10857	30.116
69896	8.660
21112332	11.997
61802	31.611
13839110	9.664
2005824	14.004
9564	12.103
6988	26.184
6633	25.335
24729	10.830
100	10.328
26031	11.608
13839128	10.996
75563	24.335
10181341	9.664
6160	26.586
11460	12.329
15420	16.767
60129	17.454
4962	11.660
9908	11.025
96816	39.362
11663	13.236
72534	9.997
12173	14.749
8876	13.0
8070	13.328
13839080	10.328
6790	14.332
11662	20.638
56139	16.767
880	9.664
5242	7.553
10250	11.777
4963	13.993
10254	12.997
589165	11.168
12480	9.665
1013337	10.228
3635	12.882
20732	11.168
61354	9.665
60191	10.129
352	10.993
9612	5.550
6191	22.518
14830	13.807
18688	11.325
13038	11.0
11919	12.0
7507	10.328
7183	11.0
10355	11.0
7088	11.0
6287	19.725
13850405	10.996
21106521	12.410
6342	34.852
13861934	10.327
17481	11.0
6998	13.762
3973	30.704
60340	11.284
8097	12.0
13857694	14.807
73564	10.993
13875377	22.209
13837988	23.520
10239201	12.642
6780	12.499
12230	41.846
13848808	16.657
13063	16.0
9844	14.0
24142	12.0
6949	9.0
13861158	11.990
16377	14.269
7916	17.653
21105936	14.103
13875212	73.869
62402	13.993
21171515	26.958
61797	16.649
67462	14.328
21105889	13.328
10540	13.0
13848341	10.993
21153	10.332
29031	12.332
25119	12.664
13858096	16.159
11650	12.002
14507	13.166
75479	12.558
10648	23.403
7888	10.664
1072	11.997
21106470	13.025
211145	14.070
60136	16.678
15310	32.116
61428	17.467
11556	11.664
21168838	18.807
81705	11.332
12465	10.103
21105848	18.099
21109330	11.103
13837787	14.878
4209	11.993
9327	19.069
11891	13.332
21111804	20.541
8855	12.831
25968	21.472
13013	9.162
65745	10.831
10333	14.103
21111842	9.665
21394	12.996
13864445	38.137
70868	16.148
14390	11.664
221355	28.796
62582	12.328
7185	11.664
124526	12.997
62368	13.328
28973	13.660
16094	24.177
26799	16.519
21111774	14.328
61036	11.855
6852	16.664
62581	33.611
6999	13.0
17687	10.546
65682	27.622
10831	18.0
13860434	16.767
72056	11.664
7143	11.997
70511	16.435
16095	14.973
61585	15.004
32002	12.328
11413	11.329
72416	11.541
10892	16.325
11185	9.0
59433	11.997
10004	8.328
8867	9.831
21105795	10.328
1668	18.164
97850	16.238
10298354	12.831
21105699	14.332
4489	8.328
11673	12.328
238	10.328
2241	9.997
7951	11.384
911	10.329
13262	9.996
993	10.937
6995	15.454
21125563	33.611
6674	30.286
69983	17.832
8066	14.209
2015070	13.029
62423	12.906
58489	15.385
1078	6.328
70865	15.985
11477	13.882
11672	11.665
913	10.661
3268	14.457
10796	8.0
26070	12.0
12199	9.491
387	5.328
7073	11.325
15468	13.0
13439	6.0
7670	8.664
21105987	11.664
6656	17.989
13885245	12.996
13837281	34.852
7876	12.166
13882337	16.807
21106517	25.520
11412	19.759
26801	15.0
21159680	14.904
9078	16.745
83703	12.0
13876103	17.103
59482	13.996
6657	14.996
12044	17.0
21105867	14.996
11889	13.0
21106014	16.519
21106112	17.159
21111819	13.568
21108245	18.159
67835	14.666
17019	15.670
60586	17.325
21111817	27.622
21171496	67.127
11892	14.0
10800462	16.292
10771160	10.664
61434	16.103
21105932	13.664
69057	95.283
16685	16.214
6862	17.664
63909	14.993
11510	41.137
85185	16.205
21865	20.638
6479	12.996
64147	17.649
21106008	18.767
8140	21.403
3756	11.664
62236	14.668
20548	19.767
12818	16.188
15622	15.906
71784	17.139
13869655	20.582
18707	28.805
4611	11.664
11778	17.139
69628	39.701
13873600	22.638
15440	27.290
9900	14.993
68896	35.939
10772050	23.592
65	21.403
15317	23.307
6954	11.332
13667	14.664
11970	11.332
60848	15.0
13860817	20.582
12229	5.830
12675	16.0
11083	17.471
10881	16.191
97904	10.495
6481	25.375
13875161	29.958
6621	13.660
11327	19.495
1847	16.716
14836	14.664
8154	17.767
11509	39.701
13869661	16.214
63459	12.499
65701	30.796
10322	19.010
71655	23.864
62466	11.997
6739	15.996
6480	12.499
723	7.328
21106518	11.997
64111	14.325
7189	12.328
11417	15.997
7140	12.328
67879	24.966
11263	12.657
21106017	21.471
10895	14.831
8341	14.664
63931	15.831
7589	7.830
13835557	14.541
6943	14.325
62682	10.664
7797	9.098
29129	19.096
62532	10.162
3708	15.984
8438	14.767
64644	13.160
58563	12.661
62485	11.997
7190	12.328
68568	12.329
953	12.661
6787	17.989
132	12.993
571424	16.502
58968	17.472
9128	12.661
11588	31.460
452568	12.0
7090	14.491
21171506	9.328
10245	13.0
13865630	12.993
11246	25.924
7430	15.0
13448	7.0
21111758	14.328
12831	15.568
14942	15.0
6735	31.958
62359	14.328
21108549	20.658
7847	13.996
12674	14.0
62938	17.0
20140	13.996
10273	15.996
15644	22.970
11824	12.993
61196	16.731
21723	14.0
66365	14.070
62618	10.328
73658	16.025
7921	19.653
13867055	9.568
11304	20.0
13835126	15.568
69792	21.043
21111776	17.021
13881395	36.825
78722	34.496
21170125	47.750
33137	21.472
11145	15.0
6574	19.996
73537	18.232
14309	47.750
7175	14.660
13859497	14.993
14956	28.184
1306	20.910
13835344	14.328
13258	7.997
17720	22.305
33621	19.471
66385	33.396
11507	87.174
12013	12.664
6023	25.179
7186	22.970
776	9.332
21111723	16.993
62471	33.792
10303	16.548
14348	15.332
258907	14.773
10894	25.305
21159611	14.771
14918	22.423
12690	14.664
61763	14.665
19669	17.664
60464	19.767
60093	19.269
7662	20.711
53706	18.452
11332993	11.664
21106121	17.660
13868642	24.711
6828	14.0
70309	11.499
13867714	15.025
10248	14.328
79453	15.325
12669	18.716
59562	46.916
6878	71.216
7199	13.997
21112367	11.997
39404	19.471
9454	12.828
9218	12.828
11781	9.328
17347	15.668
11638	11.162
7740	7.664
217532	11.664
70512	14.661
12244	13.996
60032	34.611
62536	13.332
72274	16.734
6950	9.997
18107	12.213
11971	17.564
8998	22.914
1928	10.162
10977	14.993
91446	12.997
11585	14.993
11589	14.328
62484	33.792
63310	16.989
11776	42.916
23422	52.421
10380	12.744
7176	15.325
8382	15.004
88942	14.661
638258	15.642
13036	15.336
6724	16.325
11289	16.328
11626	12.329
13846959	12.993
10396	10.831
10243171	11.664
124	12.328
191	8.328
9225	12.828
81061	23.302
10972	23.634
11369	97.209
11773	11.665
10297844	11.997
6482	17.657
11576	15.328
10256859	14.661
73183	17.997
68122	15.827
5593	9.665
11587	15.9
608157	18.012
68837	14.993
5878	18.232
10181338	14.993
13257	7.830
62884	23.302
75095	17.668
1446	16.989
20160	15.049
62307	18.495
2005830	14.0
6079	16.232
10980	23.634
13866746	28.826
61190	17.654
31082	13.0
58333	12.284
6942	25.662
7301	14.665
21112244	35.611
63002	12.993
12045	16.0
15603	14.166
7300	14.332
8187	19.471
15410	18.0
67145	14.665
63057	13.332
7925	15.0
21111810	29.295
62633	15.0
7302	15.328
11372	8.545
67268	16.823
16913	17.670
67803	17.856
11573	25.966
11895	16.0
21278	17.9
21159579	26.638
6585	17.332
65704	15.328
6957	16.672
55242	13.332
11353	24.024
124512	19.332
61790	26.873
21106584	10.332
10966	13.664
13669	18.564
21106577	28.184
73763	16.993
59691	25.302
12047	16.0
21108577	17.325
6748	17.499
21105998	14.996
510851	14.819
10621	18.325
60092	18.325
62483	27.179
11003	14.665
6835	16.332
72918	16.332
15016	16.166
12259	17.0
63503	27.305
