Compound Id	BCUT [BCUTp-1l]
6341	3.72175
13860641	5.58384
10364	4.71659
21106583	4.66091
9614	3.83397
16268	5.12480
7514	4.35103
13875281	6.19595
15846	3.75143
11170	6.21850
8157	3.57664
11087	6.91875
7391	4.89379
13875320	6.54643
13619	5.11489
7465	4.05356
6248	5.21049
55085	3.66425
29036	7.10050
15480	5.13264
5889	5.40092
8552	3.68245
55110	4.05801
21106133	4.51362
13860775	4.79684
7882	3.94320
13838404	8.25382
8576	4.75523
11909	4.08152
11875	3.92951
19231	3.67493
7678	4.66125
11530	3.93475
361265	4.87017
62737	4.74641
447	4.71940
15443	3.83119
66464	5.10944
6728	4.42509
971	4.58849
62577	10.80540
66754	6.04887
10301338	3.87125
12640	5.38849
21069	3.61090
10008	5.23358
177126	2.45412
21111768	5.31726
87514	6.47043
10989	3.32159
2016737	5.39656
7225	4.06648
8524	4.08275
1013221	6.28844
11107	3.90845
21349	4.80752
2005898	7.72595
8537	4.42126
5978	5.8435
1477	4.27806
11694	4.26212
6332	3.89175
2005963	5.68949
7690	5.06612
7683	4.50488
13835293	4.32006
61707	4.03150
2005897	6.45243
12225	5.35349
66578	3.864
11244	3.94775
1414905	6.69418
60308	6.11456
26072	5.70737
12444	5.28517
17801	5.62985
10759	5.35472
15794	5.79442
11064	5.19659
11370	5.59147
18604	6.02075
6149	4.87106
66568	5.57406
6156	4.68505
7334	5.31244
10420	4.11471
13400	5.74912
7419	5.20714
25609	5.18661
10571	4.03612
14729	6.33574
7621	4.11525
21111805	5.69209
10534	7.07434
70705	5.12314
14753	5.21617
12807	5.11745
7627	3.72175
11410	5.61123
21111882	5.83671
21132380	5.75162
13839109	3.65291
13471	5.36589
7672	6.94286
7641	5.91886
7689	5.71381
7676	5.88096
21106169	2.59488
13863629	3.49049
11062	6.46813
13248	5.12590
6042	6.56807
8335	5.67660
7673	6.63249
13860692	5.55858
10001	3.72175
7881	5.12816
11655	5.01039
11783	6.29899
11765	6.44356
13856579	3.65496
28777	5.03794
7802	4.09560
67360	3.75399
13860335	4.26745
11210	5.52105
7890	5.11612
11077	5.83519
7803	3.70210
7229	4.22563
13842613	5.75151
13835895	3.71507
7883	3.44561
630	3.88038
9349	3.90224
11862	6.40468
21106134	5.71756
13876621	3.72146
13881329	5.04972
9917	3.70937
21105871	4.74607
1031	3.48787
7521	5.83999
7235	4.91146
6726	6.47168
1071	4.73915
11063	5.29108
287294	3.55345
60121	4.92315
59438	4.71903
12150	3.61138
12144	4.11612
61553	3.93134
7611	3.65187
14991	5.39133
59556	4.47767
13835151	5.47976
9350	3.86859
13844	3.92025
96573	4.28266
11066	3.79650
62628	3.93754
9357	3.45224
66996	5.54659
14609	5.31247
10432	4.93187
1479	5.39133
7610	3.68211
11708	9.66612
10467	4.03150
8882	7.08783
7651	5.22398
764	4.61782
653	3.67987
392	4.65679
24633	5.79081
9611	3.70131
5705	5.59058
11757	5.83686
69826	5.88775
13450	5.74905
7747	3.72175
11603	5.52618
7628	3.76693
7694	4.15401
7065	4.19331
13837280	5.76313
16383	4.44485
8568	3.71192
7794	5.70704
24634	6.51031
21105900	5.44520
8514	4.08120
14205	5.72359
11660	5.48688
19110	5.17158
15432	5.86821
11741	5.13224
21896	5.12699
13875230	6.01265
6406	4.12649
13840690	5.560
11041	4.27847
17474	6.92716
13875392	6.15731
7891	5.12288
12067	3.72175
13402	5.90671
16486	3.72471
6252	5.23865
6135	2.64424
10236	6.23875
9228	3.96144
5730	6.91758
8160	7.09576
13673	5.06869
13875180	4.03375
7013	5.65861
7224	4.08791
11180	5.20633
12221	5.12758
7392	4.06477
7903	5.12723
63871	3.70737
11882	5.11674
21106525	5.48163
13851576	6.59511
7893	3.94477
7894	3.44686
19108	5.12841
13869480	4.72871
924	5.90784
13840647	5.87371
13875160	5.89042
6409	4.47975
6654	4.836
11057	6.26175
6630	6.03592
