Compound Id	ALOGP [ALogP]
291	0.0
6084	0.682
11148	0.582
855	0.613
864	-0.358
6089	-0.648
6088	1.522
6094	-0.185
6085	0.947
6103	0.864
7956	0.050
682	-0.108
6100	1.773
6087	0.847
654	-0.216
6101	-0.397
6086	0.939
7954	1.147
6097	1.097
7555	-0.473
1004	-0.685
172	-0.183
6092	1.242
7560	0.286
11729	1.046
31029	1.195
6102	0.045
5834	-0.216
10046	0.852
7556	0.471
9644	0.752
11151	1.086
7712	-0.761
6111	-0.864
10437	0.519
3168	0.551
7721	-0.002
6114	-0.131
13837190	-0.098
9233	1.296
7577	-0.058
21171407	2.139
7566	0.121
258	-0.973
13835977	-0.031
6093	1.284
7728	-0.489
512	-0.106
21106015	0.307
7716	-1.263
9990	1.874
13836021	-0.755
6106	2.3
7713	0.726
21106179	1.027
13836674	1.463
6124	0.563
11835	-0.026
7714	0.231
7553	1.608
1114	0.320
7732	0.385
11833	-0.565
7711	0.376
6138	-0.142
7717	-0.167
7557	1.415
11807	1.539
7786	1.887
11834	0.180
256	-0.394
7767	-1.049
8894	-1.152
3644	-0.408
7559	0.408
11830	0.619
7567	0.636
7734	0.193
6040	-1.261
7776	-0.290
12977	0.572
13865015	1.045
9354	0.043
12450	0.784
693	-0.704
278	-0.309
13835550	-1.477
13835336	-1.187
10694	0.030
9480	-0.615
11723	2.863
6308	0.336
64095	-0.032
11099	1.477
7957	1.796
11109	0.438
12209	0.303
6121	0.797
6108	1.651
7737	-0.707
7827	0.140
14512	0.745
8543	1.224
7770	-0.455
1095	0.038
6104	1.073
12011	0.430
175	-0.244
8896	-1.440
7782	-0.385
7772	-0.682
8560	-1.337
31016	1.058
6310	-0.165
7738	-0.154
7815	-0.578
12010	0.331
9630	0.403
2916	1.496
7739	0.591
13839553	-1.185
7736	0.0
7811	-1.839
171	-0.230
659	-0.317
11728	-1.299
173	-0.625
2006126	0.274
11167	0.645
10765	1.280
7604	0.592
221079	-0.320
7024	0.069
11110	1.926
10730	1.516
10766	1.461
8544	0.691
10113	1.996
68268	0.723
11121	0.150
6307	1.473
29000	-0.164
13854808	0.370
6127	0.372
62433	-0.013
6125	1.541
11125	-0.673
72268	0.961
62241	1.338
10340	0.285
6321	-0.168
11871	0.731
7810	-0.2
11846	-0.743
13836399	-1.104
6311	0.769
6313	0.542
21168808	1.030
5993	-0.499
13837112	0.563
349	-1.625
19100	0.043
8554	-0.995
10018	-0.567
1020	0.0
13837650	1.512
7837	-1.837
2275	-0.045
1005	-0.154
7835	-2.127
13854130	1.656
7791	-1.261
13837537	-0.528
6336	-0.542
236	0.0
11832	2.287
7787	-1.728
7551	1.801
29015	-0.262
13835209	-1.473
8903	0.0
6334	-0.523
13837702	-2.053
8904	0.0
11229	0.018
7790	-0.446
60524	-0.202
13420	-1.220
121383	2.465
6330	-0.549
10951	-0.582
1913	-1.085
13835459	-0.794
10020	1.228
6134	0.718
3530	-1.088
6153	2.437
11232	0.357
14893	0.726
12201	1.343
6309	1.861
14686	-0.608
12446	0.980
81237	0.923
12430	1.126
7674	-0.219
14966	0.365
11551	-1.016
11094	0.304
8158	1.071
11222	2.091
9484	1.439
122546	1.659
7605	1.041
76541	0.435
7788	0.403
15221	0.242
7833	-0.138
8569	-1.180
1108	0.642
21106561	1.018
10653	0.097
11128	2.029
8525	0.271
10536	-0.436
7607	-0.456
13839107	-0.369
11865	-0.633
13839199	0.440
13839575	-0.211
11866	-1.031
5977	1.617
7856	-1.447
7715	1.368
11863	-0.488
6305	1.790
7849	-1.913
10498	0.825
7852	-1.154
11874	-0.245
6323	0.289
7838	-1.258
7016	-0.092
10733	2.454
13835401	-1.874
29101	1.189
7710	1.513
7688	0.440
119963	0.155
21106520	0.642
7677	-2.240
13839441	-1.761
9646	2.198
932	-2.125
13835180	-1.028
259	-0.442
7851	-2.415
6147	1.545
11526	0.664
13874733	0.642
11750	-0.493
6333	0.361
6146	0.573
13835604	-1.295
67424	0.642
13884495	0.104
68156	-2.051
61471	-1.082
5439	0.269
10772140	0.303
72718	-0.577
6331	-0.034
4200	0.264
10464	-0.837
1143	-0.628
11787	-0.460
62181	-0.750
1664	-0.750
234	-0.943
61632	0.720
6148	1.636
84221	0.704
67620	0.260
6340	1.146
18792	-0.072
121154	1.656
11086	0.656
121113	0.609
15438	-0.352
454272	1.470
121640	0.778
14751	-0.896
14672	0.982
11106	0.016
21073	0.692
6163	1.863
7219	0.307
7706	-0.306
126201	2.127
21106560	0.307
2803	-1.952
29025	-0.426
10465	1.266
21105905	0.307
7022	0.612
7463	0.348
7244	0.258
7242	-0.237
55123	-1.249
7850	-0.921
11095	-0.744
11025	-0.380
13840	-0.482
11838	1.060
29026	-1.319
7878	-1.680
11029	-1.560
21106032	0.936
7238	-0.052
30349	0.502
6326	1.956
7701	-0.730
13872667	0.554
14840	-2.201
13851383	0.523
59607	2.523
10054	1.778
6967	1.284
12814	-0.774
14349	-1.442
7026	-1.663
7765	1.225
10053	1.922
6165	-0.103
69736	-0.738
8574	-2.413
6170	0.990
