Compound Id	ALOGP [ALogp2]
291	0.0
6084	0.465
11148	0.339
855	0.376
864	0.128
6089	0.419
6088	2.318
6094	0.034
6085	0.897
6103	0.746
7956	0.003
682	0.012
6100	3.143
6087	0.717
654	0.047
6101	0.158
6086	0.882
7954	1.316
6097	1.203
7555	0.224
1004	0.470
172	0.033
6092	1.541
7560	0.082
11729	1.093
31029	1.428
6102	0.002
5834	0.047
10046	0.726
7556	0.222
9644	0.566
11151	1.179
7712	0.580
6111	0.746
10437	0.270
3168	0.304
7721	0
6114	0.017
13837190	0.010
9233	1.680
7577	0.003
21171407	4.576
7566	0.015
258	0.948
13835977	0.001
6093	1.650
7728	0.239
512	0.011
21106015	0.094
7716	1.595
9990	3.513
13836021	0.570
6106	5.290
7713	0.528
21106179	1.055
13836674	2.142
6124	0.317
11835	0.001
7714	0.053
7553	2.585
1114	0.102
7732	0.148
11833	0.319
7711	0.141
6138	0.020
7717	0.028
7557	2.002
11807	2.369
7786	3.559
11834	0.032
256	0.155
7767	1.101
8894	1.327
3644	0.167
7559	0.167
11830	0.383
7567	0.404
7734	0.037
6040	1.591
7776	0.084
12977	0.327
13865015	1.092
9354	0.002
12450	0.614
693	0.495
278	0.095
13835550	2.180
13835336	1.409
10694	0.001
9480	0.378
11723	8.199
6308	0.113
64095	0.001
11099	2.183
7957	3.225
11109	0.192
12209	0.092
6121	0.634
6108	2.727
7737	0.5
7827	0.020
14512	0.555
8543	1.498
7770	0.207
1095	0.001
6104	1.151
12011	0.185
175	0.060
8896	2.074
7782	0.148
7772	0.466
8560	1.789
31016	1.120
6310	0.027
7738	0.024
7815	0.334
12010	0.110
9630	0.162
2916	2.238
7739	0.349
13839553	1.405
7736	0.0
7811	3.382
171	0.053
659	0.1
11728	1.688
173	0.391
2006126	0.075
11167	0.416
10765	1.639
7604	0.350
221079	0.102
7024	0.005
11110	3.710
10730	2.297
10766	2.134
8544	0.477
10113	3.983
68268	0.523
11121	0.023
6307	2.171
29000	0.027
13854808	0.137
6127	0.138
62433	0
6125	2.374
11125	0.453
72268	0.924
62241	1.790
10340	0.081
6321	0.028
11871	0.534
7810	0.040
11846	0.552
13836399	1.219
6311	0.591
6313	0.294
21168808	1.061
5993	0.249
13837112	0.317
349	2.642
19100	0.002
8554	0.990
10018	0.322
1020	0.0
13837650	2.286
7837	3.376
2275	0.002
1005	0.024
7835	4.524
13854130	2.743
7791	1.591
13837537	0.279
6336	0.293
236	0.0
11832	5.232
7787	2.986
7551	3.243
29015	0.069
13835209	2.171
8903	0.0
6334	0.273
13837702	4.213
8904	0.0
11229	0
7790	0.199
60524	0.041
13420	1.489
121383	6.075
6330	0.301
10951	0.339
1913	1.178
13835459	0.631
10020	1.507
6134	0.516
3530	1.184
6153	5.941
11232	0.127
14893	0.527
12201	1.803
6309	3.465
14686	0.369
12446	0.960
81237	0.853
12430	1.267
7674	0.048
14966	0.133
11551	1.033
11094	0.092
8158	1.148
11222	4.373
9484	2.071
122546	2.752
7605	1.083
76541	0.189
7788	0.162
15221	0.058
7833	0.019
8569	1.393
1108	0.412
21106561	1.036
10653	0.009
11128	4.116
8525	0.074
10536	0.190
7607	0.208
13839107	0.136
11865	0.4
13839199	0.193
13839575	0.045
11866	1.063
5977	2.615
7856	2.093
7715	1.872
11863	0.238
6305	3.204
7849	3.661
10498	0.681
7852	1.332
11874	0.060
6323	0.083
7838	1.583
7016	0.008
10733	6.021
13835401	3.511
29101	1.413
7710	2.289
7688	0.193
119963	0.024
21106520	0.412
7677	5.019
13839441	3.103
9646	4.832
932	4.517
13835180	1.057
259	0.195
7851	5.832
6147	2.386
11526	0.441
13874733	0.412
11750	0.243
6333	0.130
6146	0.329
13835604	1.676
67424	0.412
13884495	0.011
68156	4.207
61471	1.172
5439	0.072
10772140	0.092
72718	0.333
6331	0.001
4200	0.070
10464	0.7
1143	0.394
11787	0.212
62181	0.562
1664	0.562
234	0.890
61632	0.519
6148	2.676
84221	0.495
67620	0.068
6340	1.313
18792	0.005
121154	2.742
11086	0.431
121113	0.371
15438	0.124
454272	2.161
121640	0.605
14751	0.802
14672	0.964
11106	0
21073	0.478
6163	3.471
7219	0.094
7706	0.094
126201	4.522
21106560	0.094
2803	3.811
29025	0.181
10465	1.602
21105905	0.094
7022	0.375
7463	0.121
7244	0.067
7242	0.056
55123	1.560
7850	0.848
11095	0.553
11025	0.144
13840	0.233
11838	1.124
29026	1.740
7878	2.823
11029	2.434
21106032	0.876
7238	0.003
30349	0.253
6326	3.824
7701	0.532
13872667	0.307
14840	4.846
13851383	0.273
59607	6.366
10054	3.161
6967	1.649
12814	0.599
14349	2.080
7026	2.765
7765	1.5
10053	3.696
6165	0.011
69736	0.545
8574	5.824
6170	0.980
8909	5.308
733	1.983
60839	0.177
21997	4.071
15117	0.094
13835861	0.365
13835772	0.033
14608	0.012
13835579	6.910
10328	0.921
13839416	4.2
69525	2.051
6164	1.227
10988	0.201
21106481	0.019
18801	5.471
61810	0.985
737	0.813
5050	0.957
4418329	0.007
773	0.177
2070	0.025
3596	0.340
11795	1.265
13220	0.388
10775	2.982
10755	2.335
16689	2.481
11055	1.910
7619	1.460
10737	5.124
69505	0.159
11056	0.023
7385	0.030
14752	0.410
7475	0.004
7761	0.019
10777	0.231
63026	1.434
7626	0.002
17558	0.074
12924	5.388
7515	0.053
10776	6.994
55090	1.214
21106526	0.420
7027	1.264
8490	0.744
14679	0.214
12809	0.509
13864773	0.012
7387	0.005
11998	2.160
11763	0.525
6119	3.316
21170543	0.002
8141	0.593
12810	1.023
21106016	1.907
6341	0.245
13860641	0.196
10364	0.585
21106583	0.084
9614	0.230
16268	1.461
7514	0.446
13875281	1.922
15846	2.583
11170	1.416
8157	0.024
11087	2.017
7391	0.039
13875320	2.343
13619	6.197
7465	0.647
6248	0.607
55085	0.575
29036	4.1
15480	0.674
5889	0.562
8552	1.036
55110	0.283
21106133	0.808
13860775	0.643
7882	7.298
13838404	4.967
8576	8.946
11909	2.531
11875	5.463
19231	0.658
7678	3.805
11530	0.768
361265	0.674
62737	8.507
447	0.262
15443	0.476
66464	0.137
6728	0.037
971	0.212
62577	8.323
66754	0.079
10301338	0.2
12640	0
21069	0.387
10008	0.562
177126	0.845
21111768	0.562
87514	0.481
10989	0.001
2016737	0.954
7225	0.001
8524	1.505
1013221	2.375
11107	1.301
21349	2.121
2005898	1.950
8537	0.212
5978	0.049
1477	2.228
11694	0.006
6332	0.009
2005963	0.393
7690	0.562
7683	0.212
13835293	0
61707	0.010
2005897	0.261
12225	0.136
66578	3.308
11244	0.179
1414905	1.329
60308	0.012
26072	0.016
12444	6.682
17801	3.719
10759	1.096
15794	4.194
11064	1.197
11370	0.043
18604	0.041
6149	10.875
66568	0.103
6156	10.087
7334	0.438
10420	0.052
13400	1.423
7419	0.214
25609	0.164
10571	0.556
14729	0.827
7621	0.125
21111805	1.105
10534	2.149
70705	0.013
14753	0.861
12807	0.314
7627	0.001
11410	1.821
21111882	1.430
21132380	1.170
13839109	0.020
