Compound Id	ALOGP [AMR]
1013221	22.218
11107	26.377
21349	33.132
2005898	32.651
8537	2.565
5978	20.035
1477	26.811
11694	29.924
6332	17.619
2005963	17.286
7690	4.222
7683	2.565
13835293	28.178
61707	22.528
2005897	8.692
12225	9.199
66578	20.511
11244	21.336
1414905	22.384
60308	17.914
26072	34.027
12444	34.029
17801	34.122
10759	37.651
15794	33.452
11064	35.714
11370	34.691
18604	31.797
6149	22.214
66568	34.589
6156	22.196
7334	43.466
10420	32.553
13400	39.174
7419	16.587
25609	40.883
10571	27.075
14729	34.437
7621	29.587
21111805	15.966
10534	35.821
70705	36.840
14753	36.615
12807	39.176
7627	26.911
11410	15.649
21111882	18.950
21132380	11.235
13839109	32.750
13471	19.178
7672	26.555
7641	11.004
7689	6.102
7676	5.616
21106169	13.711
13863629	7.913
11062	32.090
13248	39.519
6042	26.217
8335	20.701
7673	8.599
13860692	9.724
10001	26.036
7881	42.503
11655	15.142
11783	8.599
11765	19.448
13856579	27.030
28777	8.934
7802	32.865
67360	37.028
13860335	7.277
11210	31.299
7890	40.913
11077	11.004
7803	29.314
7229	7.277
13842613	11.465
13835895	36.641
7883	37.123
630	21.541
9349	5.095
11862	38.269
21106134	15.830
13876621	27.319
13881329	15.915
9917	21.247
21105871	8.067
1031	17.990
7521	11.004
7235	8.584
6726	18.813
1071	39.328
11063	28.239
287294	29.458
60121	14.174
59438	29.805
12150	24.321
12144	22.526
61553	10.516
7611	22.096
14991	9.955
59556	33.027
13835151	9.724
9350	3.437
13844	23.802
96573	30.167
11066	25.080
62628	32.023
9357	17.967
66996	5.992
14609	9.724
10432	16.511
1479	9.724
7610	18.189
11708	27.892
10467	26.259
8882	34.069
7651	9.955
764	5.129
653	26.073
392	6.787
24633	20.826
9611	17.855
5705	8.444
11757	34.370
69826	36.663
13450	40.351
7747	30.696
11603	15.853
7628	26.924
7694	36.085
7065	31.369
13837280	25.262
16383	33.172
8568	33.973
7794	41.260
24634	38.015
21105900	16.083
8514	32.798
14205	15.763
11660	15.853
19110	39.527
15432	18.746
11741	35.418
21896	42.088
13875230	11.118
6406	26.418
13840690	10.328
11041	31.883
17474	19.998
13875392	14.101
7891	43.791
12067	30.488
13402	44.023
16486	26.953
6252	22.735
6135	9.307
10236	16.506
9228	6.488
5730	26.849
