Compound Id	XLogP
291	0.739
6084	1.478
11148	0.903
855	0.947
864	-0.499
6089	-0.566
6088	1.578
6094	2.047
6085	1.262
6103	1.305
7956	0.020
682	-0.076
6100	1.936
6087	1.04
654	-0.176
6101	-0.143
6086	0.418
7954	1.786
6097	1.398
7555	2.616
1004	0.282
172	0.334
6092	1.736
7560	1.663
11729	1.669
31029	2.294
6102	0.031
5834	0.106
10046	0.873
7556	2.25
9644	1.526
11151	1.725
7712	3.185
6111	1.707
10437	1.756
3168	0.866
7721	2.232
6114	-0.19
13837190	-0.033
9233	2.027
7577	0.005
21171407	1.928
7566	0.284
258	0.851
13835977	0.049
6093	1.857
7728	-0.689
512	0.587
21106015	0.266
7716	0.784
9990	1.616
13836021	-0.885
6106	2.595
7713	2.819
21106179	1.663
13836674	1.390
6124	1.602
11835	1.224
7714	2.325
7553	1.728
1114	0.063
7732	1.247
11833	1.37
7711	2.663
6138	0.270
7717	0.853
7557	1.956
11807	2.08
7786	2.282
11834	2.596
256	1.156
7767	3.754
8894	2.276
3644	0.384
7559	0.293
11830	3.432
7567	0.320
7734	0.428
6040	1.42
7776	2.801
12977	-0.073
13865015	1.554
9354	0.129
12450	0.368
693	-1.044
278	-0.316
13835550	-1.342
13835336	-1.275
10694	1.618
9480	-0.565
11723	2.816
6308	3.124
64095	2.784
11099	2.642
7957	1.848
11109	3.388
12209	2.619
6121	1.695
6108	1.777
7737	0.526
7827	2.743
14512	1.966
8543	2.098
7770	1.422
1095	1.687
6104	1.519
12011	2.954
175	0.185
8896	2.845
7782	0.786
7772	1.725
8560	4.323
31016	2.649
6310	0.512
7738	1.018
7815	3.37
12010	4.001
9630	0.813
2916	2.195
7739	2.119
13839553	-0.850
7736	0.934
7811	1.922
171	-0.08
659	-0.718
11728	-1.524
173	-0.808
2006126	-0.24
11167	2.215
10765	2.754
7604	3.693
221079	3.353
7024	3.353
11110	3.022
10730	1.4
10766	2.312
8544	2.329
10113	2.372
68268	3.113
11121	3.957
6307	2.391
29000	1.359
13854808	0.427
6127	0.581
62433	2.318
6125	1.816
11125	1.355
72268	1.713
62241	1.985
10340	1.515
6321	0.438
11871	2.998
7810	3.801
11846	1.991
13836399	0.661
6311	0.577
6313	0.880
21168808	2.231
5993	-0.384
13837112	0.612
349	4.892
19100	4.57
8554	0.884
10018	0.115
1020	1.4
13837650	1.74
7837	2.558
2275	-0.139
1005	0.173
7835	2.491
13854130	2.078
7791	0.688
13837537	-0.576
6336	-0.579
236	4.062
11832	3.532
7787	3.414
7551	2.416
29015	-0.38
13835209	-0.492
8903	0.469
6334	-0.290
13837702	-0.626
8904	0.004
11229	-0.637
7790	-0.159
60524	0.428
13420	-1.288
121383	2.276
6330	-0.555
10951	-1.319
1913	-0.728
13835459	-0.772
10020	1.942
6134	3.688
3530	-1.606
6153	2.316
11232	2.784
14893	2.837
12201	3.327
6309	2.348
14686	3.922
12446	2.881
81237	1.829
12430	2.776
7674	3.922
14966	2.749
11551	4.262
11094	4.262
8158	1.332
11222	3.921
9484	2.058
122546	2.558
7605	2.833
76541	3.682
7788	2.898
15221	3.682
7833	4.526
8569	2.72
1108	4.385
21106561	1.054
10653	0.494
11128	2.011
8525	0.664
10536	3.881
7607	1.007
13839107	-0.456
11865	4.032
13839199	1.897
13839575	-0.36
11866	2.56
5977	2.074
7856	2.524
7715	2.436
11863	4.37
6305	2.713
7849	5.461
10498	0.626
7852	4.508
11874	5.139
6323	0.422
7838	2.863
7016	0.691
10733	2.628
13835401	-1.728
29101	0.501
7710	2.774
7688	0.501
119963	0.41
21106520	1.512
7677	1.262
13839441	-0.134
9646	3.161
932	3.127
13835180	-1.398
259	0.742
7851	3.060
6147	1.997
11526	0.412
13874733	1.723
11750	-0.598
6333	0.212
6146	0.801
13835604	-1.594
67424	0.581
13884495	-0.657
68156	-0.201
61471	-0.414
5439	-0.214
10772140	0.157
72718	-1.117
6331	-0.516
4200	0.592
10464	0.014
1143	-1.686
11787	0.437
62181	-0.061
1664	0.37
234	-1.026
61632	1.772
6148	2.195
84221	3.39
67620	2.96
6340	3.632
18792	3.892
121154	3.127
11086	2.96
121113	2.855
15438	4.491
454272	3.048
121640	3.292
14751	4.491
14672	1.32
11106	4.831
21073	3.450
6163	3.73
7219	4.954
7706	1.022
126201	3.157
21106560	2.292
2803	0.693
29025	5.095
10465	1.06
21105905	2.081
7022	0.533
7463	0.917
7244	0.086
7242	2.255
55123	2.493
7850	4.601
11095	1.576
11025	1.26
13840	-0.007
11838	2.760
29026	3.129
7878	1.799
11029	2.238
21106032	2.456
7238	2.563
30349	0.565
6326	2.158
7701	1.311
13872667	0.478
14840	6.030
13851383	3.79
59607	3.172
10054	2.09
6967	4.708
12814	-0.170
14349	5.077
7026	0.760
7765	3.132
10053	2.428
6165	1.159
69736	0.313
8574	3.696
6170	0.851
8909	4.552
733	-1.880
60839	0.155
21997	-0.214
15117	0.018
13835861	-0.398
13835772	2.156
14608	0.982
13835579	0.090
10328	2.467
13839416	0.224
69525	-0.466
6164	0.974
10988	0.380
21106481	-0.488
18801	0.157
61810	0.794
737	-1.117
5050	0.695
4418329	-0.447
773	-0.109
2070	0.193
3596	-0.033
11795	0.583
13220	-1.252
10775	2.816
10755	4.299
16689	3.405
11055	4.299
7619	4.201
10737	3.166
69505	4.125
11056	1.728
7385	5.523
14752	5.06
7475	1.486
7761	1.863
10777	0.731
63026	2.453
7626	1.786
17558	5.4
12924	2.397
7515	1.275
10776	2.434
55090	2.448
21106526	2.814
7027	2.215
8490	0.956
14679	3.959
12809	5.664
13864773	0.051
7387	2.790
11998	2.343
11763	2.012
6119	2.412
21170543	2.928
8141	0.351
12810	5.019
21106016	1.550
6341	0.466
13860641	2.658
10364	4.185
21106583	0.486
9614	2.966
16268	5.17
7514	1.829
13875281	3.215
15846	3.698
11170	2.211
8157	0.156
11087	3.641
7391	2.986
13875320	3.553
13619	6.599
7465	0.901
6248	1.517
55085	0.945
29036	2.75
15480	6.277
5889	1.977
8552	1.880
55110	-1.046
21106133	0.405
13860775	1.322
7882	4.265
13838404	3.088
8576	4.198
11909	0.778
11875	0.793
19231	-0.784
7678	1.329
11530	-0.312
361265	-1.113
62737	0.659
447	1.389
15443	2.247
66464	1.177
6728	2.732
971	2.044
62577	3.387
66754	0.690
10301338	0.495
12640	0.388
21069	0.176
10008	0.870
177126	-0.894
21111768	0.37
87514	1.251
10989	2.542
2016737	0.971
7225	0.748
8524	1.053
1013221	1.608
11107	0.182
21349	0.396
2005898	0.464
8537	0.937
5978	0.090
1477	-1.530
11694	0.196
6332	-0.571
2005963	0.153
7690	-0.066
7683	0.437
13835293	-0.158
61707	-0.262
2005897	1.788
12225	0.423
66578	-2.646
11244	-1.026
1414905	1.142
60308	0.224
26072	4.528
12444	3.933
17801	3.735
10759	4.868
15794	3.389
11064	4.868
11370	4.77
18604	4.43
6149	2.727
66568	3.424
6156	2.112
7334	2.406
10420	2.055
13400	4.868
7419	6.092
25609	5.969
10571	0.787
14729	3.022
7621	1.515
21111805	3.784
10534	2.768
70705	4.588
14753	5.629
12807	5.969
7627	1.124
11410	5.277
21111882	4.122
21132380	2.220
