Compound Id	cvf
1	15.23
2	15.68
3	14.64
4	17.1
5	15.91
6	16.29
7	16.51
8	12
9	15.76
10	15.37
11	14.61
12	11.92
13	17.3
14	12
15	16.01
16	14.91
17	15.8
18	12.23
19	15.55
20	15.39
21	12.18
22	11.24
23	10.72
24	15.42
25	14.74
26	15.69
27	10.07
28	10.53
29	9.74
30	15
31	15.68
32	15.1
33	16.46
34	15.34
35	16.18
36	13.91
37	13.01
38	15.34
39	14.96
40	15.27
41	17.52
42	15.69
43	15.84
44	15.63
45	15.1
46	16.18
47	16.3
48	16.09
49	16.7
50	10.34
51	14.31
52	11.84
53	13.41
54	15.98
55	16.27
56	15.87
57	12.28
58	15.82
59	15.74
60	15.62
61	14.13
62	14.52
63	12.5
64	14.06
65	11.99
66	15.7
67	10.98
68	14.29
69	15.59
70	11.63
71	16.85
72	12.33
73	15.86
74	15.86
75	15.97
76	9.41
77	11.38
78	15.65
79	12.17
80	15.22
81	12.61
82	13.17
83	11.02
84	11.64
85	14.73
86	16.13
87	11.92
88	16.48
89	10.73
90	10.24
91	10.02
92	12.46
93	10.77
94	10.91
95	15.36
96	15.21
97	12.42
98	15.12
99	12.27
100	12.32
101	14.8
102	12.84
103	11.85
104	11.8
105	10.62
106	11
107	10.98
108	11.19
109	10.8
110	10.95
111	10.46
112	11.09
113	10.66
114	14.29
