Compound Id	X0v
2	10.928
4	4.872
6	11.778
7	9.928
8	14.588
14	3.302
16	8.358
18	1.433
19	2.355
22	3.025
25	7.803
26	5.112
28	3.569
30	3.464
31	13.914
33	3.805
34	2.418
35	2.284
37	2.975
39	3.947
42	3.732
45	4.479
47	3.196
49	5.69
50	4.524
54	13.158
55	8.076
56	7.326
57	5.809
61	6.02
64	5.619
66	6.119
68	9.027
72	5.309
73	4.757
74	5.577
76	4.887
78	7.155
79	7.69
80	7.004
83	4.322
87	5.573
88	5.02
89	5.094
92	4.795
96	5.679
97	5.309
98	5.577
100	2.569
105	2.439
107	3.249
108	2.394
109	4.322
111	3.601
115	6.232
117	5.351
118	5.113
120	4.257
122	4.69
123	4.56
124	4.444
128	4.121
130	3.699
131	3.101
132	3.237
138	4.243
139	3.983
140	3.334
142	4.223
144	5.504
145	6.243
147	6.397
151	2.408
152	8.566
155	5.799
156	7.682
158	4.204
159	6.634
162	5.834
167	3.4
168	5.438
169	3.645
170	7.657
171	2.5
172	3.625
174	7.942
180	3.276
181	5.184
182	10.928
184	10.928
187	5.657
190	10.267
192	9.764
193	13.754
194	3.765
197	7.129
199	4.09
200	7.464
201	5.922
202	5.03
205	4.515
209	3.724
212	7.69
216	9.664
219	11.661
221	8.186
222	17.339
223	7.83
224	11.787
228	12.154
230	8.238
231	8.707
233	12.05
234	9.943
235	12.056
238	14.169
240	13.535
242	14.831
243	9.548
244	15.479
246	10.605
247	12.718
248	11.253
249	12.828
250	16.282
1	13.366
3	12.083
5	5.036
9	10.267
10	3.822
11	2.486
12	13.883
13	3.964
15	3.303
17	2.154
20	4.742
21	1.447
23	2.908
24	3.979
27	2.861
29	4.276
32	12.232
36	1.986
38	4.809
40	5.123
41	6.747
43	4.552
44	3.615
46	2.64
48	3.316
51	9.357
52	12.185
53	7.774
58	7.004
59	5.573
60	5.02
62	5.165
63	6.541
65	5.489
67	6.774
69	7.971
70	9.385
71	5.689
75	5.021
77	6.232
81	5.079
82	5.393
84	5.964
85	5.295
86	4.65
90	4.671
91	4.541
93	7.182
94	5.801
95	5.358
99	5.021
101	2.27
102	3.682
103	2.654
104	2.232
106	2.309
110	3.77
112	5.193
113	5.309
114	7.245
116	6.634
119	4.387
121	4.521
125	3.834
126	4.257
127	4.731
129	3.699
133	2.718
134	3.534
135	5.737
136	4.828
137	4.241
141	4.983
143	5.237
146	5.82
148	6.62
149	9.071
150	9.111
153	9.803
154	5.665
157	7.774
160	5.947
161	6.759
163	13.939
164	8.39
165	7.274
166	2.693
173	8.774
175	7.027
176	6.119
177	10.793
178	2.439
179	4.024
183	8.774
185	9.928
186	3.536
188	10.734
189	13.475
191	9.355
195	5.431
196	6.232
198	5.577
203	4.308
204	3.276
206	8.747
207	6.131
208	3.347
210	6.145
211	7.69
213	4.199
214	9.116
215	7.249
217	12.592
218	4.908
220	9.26
225	12.844
226	9.391
227	15.888
229	9.14
232	14.949
236	9.809
237	13.113
239	11.661
241	9.548
245	8.492
