Compound Id	Mv
2	0.74
4	0.64
6	0.62
7	0.72
8	0.82
14	0.59
16	0.65
18	0.52
19	0.53
22	0.49
25	1
26	0.65
28	0.5
30	0.65
31	0.68
33	0.8
34	0.65
35	0.48
37	0.72
39	0.5
42	0.5
45	0.88
47	0.62
49	0.82
50	0.56
54	0.63
55	0.68
56	0.7
57	0.6
61	0.66
64	0.69
66	0.67
68	0.74
72	0.61
73	0.62
74	0.77
76	0.61
78	0.59
79	0.88
80	0.8
83	0.53
87	0.64
88	0.65
89	0.61
92	0.62
96	0.61
97	0.61
98	0.77
100	0.58
105	0.53
107	0.56
108	0.53
109	0.53
111	0.57
115	0.6
117	0.74
118	0.53
120	0.63
122	0.53
123	0.53
124	0.56
128	0.51
130	0.5
131	0.53
132	0.53
138	0.53
139	0.56
140	0.65
142	0.5
144	0.59
145	0.51
147	0.51
151	0.48
152	0.56
155	0.7
156	0.69
158	0.63
159	0.82
162	0.6
167	0.53
168	0.53
169	0.53
170	0.52
171	0.48
172	0.65
174	0.63
180	0.57
181	0.53
182	0.74
184	0.74
187	0.53
190	0.77
192	0.66
193	0.59
194	0.66
197	0.64
199	0.63
200	0.65
201	0.77
202	0.53
205	0.53
209	0.6
212	0.88
216	0.6
219	0.83
221	0.7
222	1
223	0.71
224	0.61
228	0.78
230	0.7
231	0.63
233	0.61
234	0.78
235	0.84
238	0.9
240	0.58
242	0.92
243	0.76
244	0.98
246	0.8
247	0.86
248	0.84
249	0.59
250	0.97
1	0.77
3	0.73
5	1
9	0.77
10	0.5
11	0.52
12	0.77
13	0.63
15	0.52
17	0.48
20	0.65
21	0.45
23	0.53
24	0.86
27	0.49
29	0.51
32	0.77
36	0.53
38	0.94
40	0.66
41	0.91
43	0.62
44	0.53
46	0.58
48	0.53
51	0.61
52	0.59
53	0.71
58	0.8
59	0.64
60	0.65
62	0.61
63	0.67
65	0.69
67	0.68
69	0.7
70	0.66
71	0.73
75	0.68
77	0.6
81	0.64
82	0.68
84	0.6
85	0.64
86	0.66
90	0.65
91	0.62
93	0.67
94	0.6
95	0.61
99	0.68
101	0.59
102	0.65
103	0.58
104	0.66
106	0.48
110	0.53
112	0.53
113	0.61
114	0.58
116	0.82
119	0.63
121	0.71
125	0.64
126	0.63
127	0.53
129	0.53
133	0.63
134	0.7
135	0.53
136	0.51
137	0.58
141	0.51
143	0.51
146	0.53
148	0.58
149	0.52
150	0.59
153	1
154	0.63
157	0.71
160	0.75
161	0.64
163	0.58
164	0.6
165	0.67
166	0.53
173	0.73
175	0.71
176	0.67
177	0.64
178	0.48
179	0.53
183	0.73
185	0.72
186	0.53
188	0.63
189	0.78
191	0.66
195	0.63
196	0.6
198	0.77
203	0.56
204	0.57
206	0.94
207	0.53
208	0.57
210	0.53
211	0.88
213	0.56
214	0.55
215	0.65
217	0.59
218	0.51
220	0.59
225	0.63
226	0.78
227	0.96
229	0.78
232	0.75
236	0.72
237	0.87
239	0.83
241	0.76
245	0.73
