Compound Id	MAXDP
2	0.309
4	3.423
6	3.504
7	0.299
8	2.508
14	0.843
16	4.092
18	1.361
19	2
22	2.056
25	1.033
26	3.262
28	2.066
30	0
31	2.073
33	0.804
34	0.651
35	0.847
37	0.653
39	2.521
42	2.144
45	0.846
47	2.236
49	1.003
50	3.19
54	5.243
55	3.782
56	0.218
57	1.682
61	3.463
64	0.12
66	1.624
68	3.209
72	0.12
73	2.919
74	1.466
76	1.52
78	0.241
79	1.5
80	2.95
83	3.181
87	3.118
88	3.036
89	0.162
92	1.414
96	3.044
97	0.12
98	1.442
100	0.361
105	1.757
107	0.853
108	1.951
109	3.044
111	2.75
115	0.188
117	0.561
118	0.36
120	0.846
122	1.635
123	2.909
124	3.463
128	0.212
130	1.139
131	2.183
132	1.444
138	0
139	0.267
140	0.785
142	2.149
144	1.368
145	0.256
147	2.423
151	0.75
152	3.532
155	3.337
156	4.846
158	2.669
159	1.486
162	0.083
167	2.405
168	3.096
169	1.444
170	0.27
171	0.25
172	1.039
174	4.225
180	0.236
181	2.874
182	0.247
184	0.333
187	0
190	1.77
192	4.353
193	2.185
194	3.907
197	3.372
199	0.884
200	0.241
201	0.16
202	3.203
205	2.457
209	0.181
212	1.516
216	4.154
219	2.138
221	3.731
222	2.092
223	1.784
224	4.806
228	2.056
230	2.075
231	3.531
233	5.305
234	2.006
235	2.01
238	2.062
240	4.441
242	2.132
243	2.145
244	2.128
246	2.144
247	2.137
248	2.138
249	5.188
250	2.085
1	2.002
3	0.333
5	0.715
9	1.77
10	1.333
11	2.222
12	2.713
13	1.358
15	2.181
17	1.569
20	3.201
21	1
23	2.444
24	0.694
27	1.875
29	2.197
32	1.897
36	1.806
38	0.846
40	2.757
41	1.024
43	1.219
44	2.813
46	2.25
48	2.59
51	4.544
52	4.945
53	0.178
58	3.008
59	3.227
60	3.067
62	2.986
63	0.157
65	1.181
67	0.12
69	3.157
70	3.223
71	0.139
75	1.473
77	0.204
81	1.595
82	1.275
84	0.204
85	3.645
86	3.006
90	0.631
91	2.538
93	2.078
94	0.201
95	3.002
99	1.445
101	2.056
102	0.943
103	1.625
104	1.507
106	1.625
110	2.599
112	3.254
113	0.167
114	1.785
116	1.47
119	0.083
121	1.429
125	2.632
126	0.884
127	2.98
129	0.55
133	1.083
134	0.042
135	3.319
136	0.232
137	1.115
141	2.293
143	1.632
146	0.658
148	1.372
149	0.279
150	4.03
153	1.558
154	3.422
157	0.241
160	2.853
161	3.38
163	4.802
164	1.568
165	0.804
166	2.174
173	0.212
175	2.152
176	1.756
177	1.406
178	1.75
179	2.822
183	0.22
185	0.236
186	0
188	3.526
189	2.651
191	4.247
195	0.238
196	0.157
198	1.449
203	2.933
204	0.479
206	1.544
207	2.961
208	2.528
210	3.185
211	1.523
213	0.965
214	4.412
215	0.197
217	4.845
218	1.438
220	1.616
225	4.875
226	3.399
227	2.128
229	2.145
232	2.341
236	2.066
237	1.86
239	2.14
241	2.145
245	2.149
