Compound Id	CIC0
2	4.046
4	2.456
6	3.067
7	3.936
8	3.03
14	1.512
16	3.195
18	0.8
19	1.5
22	2.396
25	2.189
26	2.495
28	2.748
30	2.585
31	3.593
33	0.4
34	1.126
35	2.165
37	0.8
39	2.748
42	2.748
45	1.126
47	1.094
49	1.5
50	2.507
54	4.073
55	3.13
56	3.536
57	3.103
61	2.639
64	3.179
66	3.087
68	2.375
72	3.179
73	2.728
74	2.126
76	2.834
78	3.605
79	2.126
80	1.925
83	2.802
87	2.43
88	2.125
89	3.179
92	2.728
96	3.012
97	3.179
98	2.126
100	2.351
105	2.026
107	1.512
108	1.5
109	2.802
111	2.126
115	3.407
117	2.26
118	3.474
120	2.512
122	3.181
123	3.08
124	2.866
128	3.213
130	2.878
131	2.024
132	2.462
138	3.252
139	3.046
140	2.111
142	2.67
144	2.267
145	3.81
147	3.669
151	1.946
152	2.96
155	2.217
156	3.389
158	2.359
159	2.085
162	3.103
167	2.462
168	3.026
169	2.429
170	4.104
171	2.165
172	1.961
174	3.102
180	2.739
181	3.026
182	4.046
184	4.046
187	3.667
190	2.585
192	2.71
193	3.55
194	2.26
197	2.439
199	1.333
200	3.585
201	2.26
202	3.08
205	2.755
209	2.822
212	2.126
216	3.432
219	2.774
221	2.435
222	3.465
223	3.252
224	3.272
228	3.281
230	3.111
231	3.041
233	3.618
234	3.065
235	3.011
238	3.065
240	3.898
242	2.94
243	2.842
244	3.191
246	2.79
247	2.79
248	2.81
249	3.871
250	3.252
1	3.337
3	4.206
5	1.6
9	2.585
10	2.748
11	1.512
12	3.057
13	2.512
15	1.774
17	1.946
20	2.477
21	1.333
23	2.026
24	0.951
27	2.396
29	3.035
32	3.327
36	1.429
38	0.4
40	1.523
41	1.701
43	2.024
44	2.462
46	1.639
48	2.024
51	3.477
52	4.05
53	3.605
58	1.925
59	2.43
60	2.125
62	2.685
63	3.394
65	2.834
67	3.465
69	2.435
70	2.928
71	2.634
75	2.216
77	3.407
81	2.824
82	1.92
84	3.407
85	2.824
86	2.08
90	3
91	2.728
93	3.315
94	3.407
95	2.689
99	2.216
101	1.594
102	1.5
103	1.818
104	1.359
106	1.951
110	2.429
112	3.08
113	3.179
114	2.882
116	2.085
119	2.91
121	2.26
125	2.386
126	2.512
127	2.755
129	2.989
133	1.778
134	1.778
135	3.316
136	3.441
137	2.127
141	3.277
143	3.277
146	3.667
148	2.57
149	4.348
150	3.38
153	2.585
154	2.778
157	3.605
160	1.962
161	2.377
163	3.459
164	2.971
165	3.378
166	2.026
173	3.739
175	3.191
176	3.087
177	2.855
178	1.968
179	2.429
183	3.739
185	3.936
186	2.989
188	2.694
189	3.174
191	2.74
195	3.25
196	3.407
198	2.126
203	2.507
204	2.739
206	2.26
207	3.079
208	2.126
210	3.259
211	2.126
213	3.046
214	3.524
215	3.585
217	3.323
218	3.035
220	3.175
225	3.187
226	2.215
227	3.137
229	2.882
232	3.23
236	3.333
237	3.024
239	2.774
241	2.842
245	2.94
