Compound Id	96-h Fathead minnow toxicity as log(1/LC50)
1	-1.96
2	-1.70
3	-1.25
4	-1.18
5	-1.11
6	-1.09
7	-1.07
8	-0.99
9	-0.87
10	-0.59
11	-0.59
12	-0.54
13	-0.51
14	-0.45
15	-0.43
16	-0.26
17	-0.17
18	-0.15
19	-0.14
20	-0.04
21	-0.03
22	-0.01
23	0.06
24	0.41
25	0.57
26	0.60
27	0.69
28	0.74
29	0.93
30	1.08
31	1.17
32	1.19
33	1.34
34	1.61
35	1.68
36	1.73
37	1.74
38	1.78
39	1.80
40	1.95
41	2.09
42	2.36
43	2.57
44	4.29
45	4.78
46	NTAS
47	-1.90
48	-1.65
49	-1.53
50	-1.36
51	-1.23
52	-1.21
53	-1.19
54	-1.13
55	-0.99
56	-0.93
57	-0.61
58	-0.46
59	-0.41
60	-0.30
61	-0.27
62	-0.11
63	-0.11
64	0.30
65	0.34
66	0.49
67	0.71
68	0.89
69	0.98
70	1.00
71	1.21
72	1.38
73	1.42
74	1.47
75	1.58
76	1.74
77	1.75
78	1.83
79	1.91
80	2.05
81	2.07
82	2.17
83	2.19
84	2.31
85	2.31
86	2.94
87	3.80
88	NTAS
89	NTAS
90	-1.94
91	-1.69
92	-0.53
93	1.37
94	1.56
95	1.71
96	2.49
97	2.67
98	3.60
99	0.41
100	2.59
