Compound Id	Mode of action
1	Narcotic
2	Narcotic
3	Narcotic
4	Narcotic
5	Narcotic
6	Narcotic
7	Narcotic
8	Narcotic
9	Narcotic
10	Narcotic
11	Narcotic
12	Narcotic
13	Narcotic
14	Narcotic
15	Narcotic
16	Narcotic
17	Narcotic
18	Narcotic
19	Narcotic
20	Narcotic
21	Narcotic
22	Narcotic
23	Narcotic
24	Narcotic
25	Narcotic
26	Narcotic
27	Narcotic
28	Narcotic
29	Narcotic
30	Narcotic
31	Narcotic
32	Narcotic
33	Narcotic
34	Narcotic
35	Narcotic
36	Narcotic
37	Narcotic
38	Narcotic
39	Narcotic
40	Narcotic
41	Narcotic
42	Narcotic
43	Narcotic
44	Narcotic
45	Narcotic
46	Narcotic
47	Electro(nucleo)phile
48	Electro(nucleo)phile
49	Electro(nucleo)phile
50	Electro(nucleo)phile
51	Electro(nucleo)phile
52	Electro(nucleo)phile
53	Electro(nucleo)phile
54	Electro(nucleo)phile
55	Electro(nucleo)phile
56	Electro(nucleo)phile
57	Electro(nucleo)phile
58	Electro(nucleo)phile
59	Electro(nucleo)phile
60	Electro(nucleo)phile
61	Electro(nucleo)phile
62	Electro(nucleo)phile
63	Electro(nucleo)phile
64	Electro(nucleo)phile
65	Electro(nucleo)phile
66	Electro(nucleo)phile
67	Electro(nucleo)phile
68	Electro(nucleo)phile
69	Electro(nucleo)phile
70	Electro(nucleo)phile
71	Electro(nucleo)phile
72	Electro(nucleo)phile
73	Electro(nucleo)phile
74	Electro(nucleo)phile
75	Electro(nucleo)phile
76	Electro(nucleo)phile
77	Electro(nucleo)phile
78	Electro(nucleo)phile
79	Electro(nucleo)phile
80	Electro(nucleo)phile
81	Electro(nucleo)phile
82	Electro(nucleo)phile
83	Electro(nucleo)phile
84	Electro(nucleo)phile
85	Electro(nucleo)phile
86	Electro(nucleo)phile
87	Electro(nucleo)phile
88	Electro(nucleo)phile
89	Electro(nucleo)phile
90	Carboxylic acid
91	Carboxylic acid
92	Carboxylic acid
93	Diester
94	Diester
95	Diester
96	Diester
97	Diester
98	Diester
99	Proelectrophile
100	Respiratory uncoupler
