Compound Id	L
11125	2.958
6307	2.96
7787	2.964
6334	2.974
13255	2.98
109838	2.982
11849	2.989
173	2.99
66656	2.99
13837280	2.997
11845	3
11094	3.001
13854944	3.009
29000	3.011
8398	3.011
10791	3.011
8733	3.016
10786	3.016
8554	3.017
92731	3.02
7788	3.021
9233	3.021
1020	3.022
11992	3.028
6187	3.03
8158	3.04
11023	3.044
11731	3.052
11207996	3.054
1609	3.056
7721	3.059
1095	3.061
11121	3.063
10498	3.07
7065	3.072
7791	3.075
109705	3.077
7636	3.088
7621	3.089
11551	3.091
13835836	3.103
7711	3.105
8543	3.106
6040	3.106
10445	3.106
11351244	3.108
7770	3.108
23150	3.115
12161	3.124
13874867	3.128
31029	3.13
4444456	3.137
7769	3.139
18607	3.14
10001	3.151
7747	3.161
10788	3.163
23621376	3.171
5993	3.173
8560	3.173
555074	3.18
10437074	3.198
13861343	3.208
7705	3.214
8141	3.221
10512	3.223
11180	3.223
7701	3.227
62589	3.23
7686	3.23
5439	3.234
11056	3.24
7026	3.241
66675	3.26
2005981	3.262
7622	3.263
7684	3.27
8900	3.271
11025	3.271
7475	3.271
59674	3.277
21171407	3.28
11095	3.286
13837537	3.289
10614293	3.289
6326	3.29
56117	3.29
7466	3.3
29036	3.304
7761	3.306
21168808	3.308
11104	3.308
16778	3.31
13835376	3.31
127750	3.31
10790	3.315
2018460	3.316
68503	3.317
13863629	3.318
7674	3.319
1143	3.32
1108	3.325
7029	3.326
29001	3.326
11788	3.33
11732	3.332
7688	3.333
7515	3.338
11794	3.34
13836520	3.341
11678	3.343
2038738	3.35
8562	3.351
29012	3.353
21106535	3.364
13875283	3.366
13867413	3.367
13837702	3.367
5949	3.37
71089	3.373
7551	3.382
11706	3.392
66996	3.395
61487	3.4
10797	3.403
26325086	3.404
7478	3.412
11799	3.415
13839199	3.422
13835459	3.438
11793	3.439
10534	3.442
9326	3.453
63863	3.457
659	3.459
7459	3.471
10787	3.476
12228	3.48
18688	3.481
10795	3.481
55130	3.482
11086	3.483
11841	3.485
12012	3.488
4489	3.492
48024	3.493
11024	3.493
512621	3.493
66655	3.493
21106032	3.501
6330	3.51
11035	3.51
13439	3.512
7021	3.519
7018	3.52
120464	3.52
11864	3.521
4444608	3.522
10948	3.527
11761	3.545
12229	3.549
24099	3.562
22453	3.565
12499	3.568
7833	3.568
7657	3.579
7013	3.582
13837281	3.584
5708	3.585
7703	3.587
4512642	3.593
4516601	3.6
11244	3.603
4516599	3.607
11846	3.608
7812	3.61
10652594	3.61
7766	3.611
844	3.616
13816	3.618
19953955	3.62
7776	3.624
1141	3.626
11857	3.626
66021	3.627
10497	3.628
70715	3.631
21106520	3.631
66809	3.631
10452	3.632
10433	3.635
29107	3.639
10265264	3.639
13874733	3.64
11911	3.641
7811	3.655
13836399	3.656
7676	3.657
7064	3.658
349	3.677
10488	3.68
4514549	3.681
11193	3.681
4512361	3.683
11739	3.686
8552	3.697
8908	3.704
28986	3.705
10526	3.708
17443	3.721
68832	3.728
21800	3.728
10179173	3.736
81815	3.737
29016	3.74
7003	3.741
59447	3.745
13839109	3.747
13865426	3.752
7678	3.758
13842613	3.76
71430	3.76
7760	3.76
971	3.766
10420	3.769
11695	3.77
12643	3.772
7219	3.778
11784	3.783
7482	3.783
13838404	3.784
7679	3.792
15443	3.794
11434292	3.794
65936	3.795
13835209	3.795
7677	3.796
6342	3.803
15438	3.803
1348	3.805
11216	3.805
68328	3.808
4517338	3.81
11194	3.817
11819	3.819
13402	3.82
20843	3.826
55091	3.829
10487	3.832
15954	3.832
11045	3.833
11210	3.838
7521	3.839
7641	3.839
11543	3.839
13638	3.84
11752	3.844
7242	3.844
11843	3.844
7530	3.845
15765	3.847
10101	3.85
16791	3.85
11029	3.85
9633	3.85
28992	3.851
18717	3.856
6106	3.857
99440	3.858
7838	3.86
120621	3.864
9581	3.865
15413	3.869
7710	3.872
7536	3.874
7689	3.875
10710415	3.876
14751	3.877
7073	3.885
24533	3.887
7238	3.89
13835293	3.89
13866593	3.895
13875196	3.904
120489	3.91
10197150	3.916
374462	3.918
13839575	3.92
8569	3.924
11600	3.933
5889	3.934
191367	3.938
6967	3.939
192642	3.95
1078	3.951
23101	3.964
17558	3.966
55123	3.97
68179	3.972
733	3.973
11042	3.986
21132380	4.006
9349	4.007
73412	4.007
235	4.008
7827	4.01
68156	4.014
773	4.018
17880	4.019
20119	4.021
70714	4.026
7225	4.033
7786	4.036
7224	4.039
13448	4.039
7673	4.041
10940	4.045
10939	4.05
13842993	4.07
