Compound Id	L
104816	15.92
75995	16.414
15520	17.272
1043	17.309
65272	17.47
11906	17.74
4067	18.824
75662	19.68
29400	21.09
4444362	25.831
6045	28.94
