Compound Id	72-h Algal toxicity as log(1/EC50)
10	3.93
138	4.36
142	5.16
159	4.49
184	5.15
198	4.61
242	4.69
305	5.44
310	6.01
311	5.06
324	5.5
359	5.5
364	6.51
368	4.62
371	4.98
376	5.48
377	4.13
387	4.51
388	3.1
389	3.6
390	3.09
391	3.23
392	3.11
393	5.3
394	5.57
395	6.72
396	4.75
397	4.88
398	4.94
399	6.05
400	3.84
401	3.36
402	3.28
403	6.12
404	5.38
